col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
1,2019-03-09,2,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2019-11-15,enable impactful technologies,"02489 Cook Park
Sherriport, MT 50853",6587,6.9641667,158.2083333
2,2019-07-03,3,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2019-12-07,exploit revolutionary portals,"23450 Timothy Divide
Wuland, UT 20341",2904,5.623505,10.2544044
3,2019-06-27,2,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2019-11-23,matrix next-generation e-commerce,"0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",1170,63.593219,53.9068532
4,2019-01-01,1,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",2019-11-10,benchmark plug-and-play infomediaries,"1097 Santos Springs Suite 264
New Michelleborough, WY 51884",838,20.5800358,-75.2435307
5,2019-09-07,3,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2019-12-15,integrate cross-platform e-business,"5100 Scott Burg
East Clayton, SC 66353",7484,14.9326574,-91.6941845
6,2018-11-01,7,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2019-11-24,enable dot-com niches,"412 Snow Manors Apt. 161
South Kimtown, NV 57004",5725,40.163127,116.638868
7,2019-09-13,5,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2019-11-19,transform web-enabled relationships,"5415 David Square
West Michaeltown, IN 48447",4414,44.3794871,20.2638941
8,2019-04-01,8,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2019-11-14,strategize frictionless solutions,"03104 Norris Rapids
Port Donald, DE 62982",3454,-7.3251485,108.3607464
9,2019-03-28,4,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2019-12-12,innovate seamless metrics,"03557 Phillips Wells Suite 291
New Beverlyburgh, FL 16915",3101,43.0,-87.97
10,2019-05-01,4,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2019-12-19,integrate wireless infomediaries,"332 Watson Shore Apt. 290
Millerland, MT 39742",6562,41.3410168,-8.3169303
