col0,col1,col2,col3,col4,col5,col6,col7,col8
10/02/2016,Short,Track,Cross,Country,Men,C,Collegiate,
"Place,License",,,,,,,,
"1,460009,Kieran,Hook,Santa","Barbara,CA,,California",Polytechnic-San,Luis,Obispo,,,,
"2,518923,Wilton,Springer,Stanford,CA,,Stanford",University,,,,,,,
"3,519775,Konor,Von","Kraut,San",Luis,"Obispo,CA,,California",Polytechnic-San,Luis,Obispo,,
"4,456979,Chris,Neale,Aliso","Viejo,CA,,University",of,California-Santa,Barbara,,,,
"5,497915,Jose,Moreno","Pinete,San","Diego,CA,,San",Diego,State,University,,,
"6,488502,Nicholas,McCabe,Thousand","Oaks,CA,,University",of,California-Santa,Cruz,,,,
"7,492743,Jake,Rugh,Templeton,CA,,University",of,California-Santa,Barbara,,,,,
"8,519097,Austin,Erb,Santa","Cruz,CA,,University",of,California-Santa,Cruz,,,,
"9,0,Calvin,Yeh-Tinetti,,,,San",Diego,State,University,,,,,
"10,0,Scott,Teague,,,,San",Diego,State,University,,,,,
"11,519104,Mitchell,Etzel,Santa","Cruz,CA,,University",of,California-Santa,Cruz,,,,
10/02/2016,Short,Track,Cross,Country,Men,B,Collegiate,
"Place,License",,,,,,,,
"1,412561,Nathaniel,Ng,San","Francisco,CA,,University",of,California-Santa,Cruz,,,,
"2,422362,Alexander,DeRoche,Glendale,CA,,University",of,California-Los,Angeles,,,,,
"3,489589,Christopher,Zahasky,Stanford,CA,,Stanford",University,,,,,,,
"4,519106,Ryan,Roemer,Bellevue,ID,,University",of,California-Santa,Cruz,,,,,
"5,460528,Alexander,Villagran,Santa","Cruz,CA,,University",of,California-Santa,Cruz,,,,
"6,493018,Tristan,Ballard,East","Lansing,MI,,Stanford",University,,,,,,
"7,486367,Gael,Ngangnang,Richmond,CA,,University",of,California-Berkeley,,,,,,
"8,487095,Scott,Johnston,San","Francisco,CA,,Stanford",University,,,,,,
"9,414577,Lucas,Chambliss,Oakland,CA,,University",of,California-Santa,Cruz,,,,,
"10,488527,Carl,Lindquist,Los","Angeles,CA,,University",of,California-Santa,Cruz,,,,
"11,455949,Walker,Busby,Santa","Cruz,CA,,University",of,California-Santa,Cruz,,,,
10/02/2016,Short,Track,Cross,Country,Men,A,Collegiate,
"Place,License",,,,,,,,
"1,255493,Christopher,Blevins,Durango,CO,,California",Polytechnic-San,Luis,Obispo,,,,,
"2,322250,Anders,Johnson,Huntsville,UT,,California",Polytechnic-San,Luis,Obispo,,,,,
"3,346448,Dominik,Cinka,Mill","Valley,CA,,University",of,California-Santa,Barbara,,,,
"4,471702,Nicolas,Theunissen,Berkeley,CA,,University",of,California-Santa,Cruz,,,,,
"5,471822,Jason,Tang,Albany,CA,,University",of,California-Berkeley,,,,,,
"6,351080,Michael,Beard,Healdsburg,CA,,California",Polytechnic-San,Luis,Obispo,,,,,
"7,406308,Drake,Murphy,Larkspur,CA,,California",Polytechnic-San,Luis,Obispo,,,,,
"8,389837,Jacob,Crabill,Stanford,CA,,Stanford",University,,,,,,,
"9,362587,Quinn,Tirpak,Monument,CO,,California",Polytechnic-San,Luis,Obispo,,,,,
"10,418177,Eric,Bryan,Los","Angeles,CA,,University",of,California-Los,Angeles,,,,
10/02/2016,Short,Track,Cross,Country,Women,B,Collegiate,
"Place,License",,,,,,,,
"1,466237,Diniana,Piekutowski,Stanford,CA,,Stanford",University,,,,,,,
"2,488759,Heidi,Maupin,Orinda,CA,,University",of,California-Santa,Cruz,,,,,
10/02/2016,Short,Track,Cross,Country,Women,A,Collegiate,
"Place,License",,,,,,,,
"1,431596,Rachel,Anders,Sandy,UT,,Stanford",University,,,,,,,
"2,354768,Megan,Bradley,Lake","Arrowhead,CA,,University",of,California-Berkeley,,,,,
"3,238713,Kimberly,Fong,Berkeley,CA,,University",of,California-Berkeley,,,,,,
"4,341002,Audrey,Ford,Berkeley,CA,,University",of,California-Berkeley,,,,,,
"5,354114,McKenzie,Melcher,San","Diego,CA,,San",Diego,State,University,,,,
"6,488844,Debra,Hausladen,Stanford,CA,,Stanford",University,,,,,,,
"7,487913,Carina,Bilodeau,Danville,CA,,University",of,California-Santa,Barbara,,,,,
10/02/2016,Cross,Country,Men,C,Collegiate,,,
"Place,License",,,,,,,,
"1,460009,Kieran,Hook,Santa","Barbara,CA,,California",Polytechnic-San,Luis,Obispo,,,,
"2,519795,Mauricio,Sanchez,Stanford,CA,,Stanford",University,,,,,,,
"3,481875,Juan,Duarte,Berkeley,CA,,University",of,California-Berkeley,,,,,,
"4,518923,Wilton,Springer,Stanford,CA,,Stanford",University,,,,,,,
"5,497915,Jose,Moreno","Pinete,San","Diego,CA,,San",Diego,State,University,,,
"6,519775,Konor,Von","Kraut,San",Luis,"Obispo,CA,,California",Polytechnic-San,Luis,Obispo,,
"7,0,Sean,Metzger,,,,Stanford",University,,,,,,,
"8,456979,Chris,Neale,Aliso","Viejo,CA,,University",of,California-Santa,Barbara,,,,
"9,489505,Jonathan,Ma,Berkeley,CA,,University",of,California-Berkeley,,,,,,
"10,519097,Austin,Erb,Santa","Cruz,CA,,University",of,California-Santa,Cruz,,,,
"11,492743,Jake,Rugh,Templeton,CA,,University",of,California-Santa,Barbara,,,,,
10/02/2016,Cross,Country,Men,B,Collegiate,,,
"Place,License",,,,,,,,
"1,429355,Drew,Fagerlin,Clayton,CA,,University",of,California-Berkeley,,,,,,
"2,422362,Alexander,DeRoche,Glendale,CA,,University",of,California-Los,Angeles,,,,,
"3,489589,Christopher,Zahasky,Stanford,CA,,Stanford",University,,,,,,,
"4,493018,Tristan,Ballard,East","Lansing,MI,,Stanford",University,,,,,,
"5,519106,Ryan,Roemer,Bellevue,ID,,University",of,California-Santa,Cruz,,,,,
"6,486367,Gael,Ngangnang,Richmond,CA,,University",of,California-Berkeley,,,,,,
"7,460528,Alexander,Villagran,Santa","Cruz,CA,,University",of,California-Santa,Cruz,,,,
10/02/2016,Cross,Country,Men,A,Collegiate,,,
"Place,License",,,,,,,,
"1,255493,Christopher,Blevins,Durango,CO,,California",Polytechnic-San,Luis,Obispo,,,,,
"2,322250,Anders,Johnson,Huntsville,UT,,California",Polytechnic-San,Luis,Obispo,,,,,
"3,346448,Dominik,Cinka,Mill","Valley,CA,,University",of,California-Santa,Barbara,,,,
"4,471702,Nicolas,Theunissen,Berkeley,CA,,University",of,California-Santa,Cruz,,,,,
"5,471822,Jason,Tang,Albany,CA,,University",of,California-Berkeley,,,,,,
"6,251552,Evan,Geary,Seattle,WA,,University",of,California-Berkeley,,,,,,
