col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
6,0,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ControlCenter/user_controls_ajax.php,MANAGE,redcap_user_information,update redcap_user_information set super_user = 1 where username = 'trex',trex,,username = 'trex',Designate super user,0.0,
7,0,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ControlCenter/file_upload_settings.php,MANAGE,redcap_config,UPDATE redcap_config SET value = 'C:\\\\edocs' WHERE field_name = 'edoc_path',,,edoc_path = 'C:\\edocs',Modify system configuration,0.0,
8,0,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ControlCenter/file_upload_settings.php,MANAGE,redcap_config,UPDATE redcap_config SET value = '10' WHERE field_name = 'edoc_upload_max',,,edoc_upload_max = '10',Modify system configuration,0.0,
9,4,2013-09-12_15-36-01,raptor,xxx.xxx.xxx.xxx,ProjectGeneral/create_project.php,MANAGE,redcap_projects,,4,,project_id = 4,Create project,0.0,
10,4,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_download.php,MANAGE,redcap_metadata,,4,,project_id = 4,Download data dictionary,0.0,
11,4,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_download.php,MANAGE,redcap_metadata,,4,,project_id = 4,Download data dictionary,0.0,
12,4,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_upload.php,MANAGE,redcap_metadata,,4,,project_id = 4,Upload data dictionary,0.0,
13,5,2013-09-12_15-36-01,trex,xxx.xxx.xxx.xxx,ProjectGeneral/create_project.php,MANAGE,redcap_projects,,,,,Create project,0.0,
14,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_upload.php,MANAGE,redcap_metadata,,,,,Upload data dictionary,0.0,
15,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,FileRepository/index.php,MANAGE,redcap_docs,,,,,Upload document to file repository,0.0,
25,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,FileRepository/file_download.php,MANAGE,redcap_docs,,,,,Download exported data file (CSV raw),0.0,
26,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,FileRepository/file_download.php,MANAGE,redcap_docs,,,,,Download exported data file (CSV raw),0.0,
31,5,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/edit_field.php,MANAGE,redcap_metadata,,,,,Create project field,0.0,
32,6,2013-09-12_15-36-01,trex,xxx.xxx.xxx.xxx,ProjectGeneral/create_project.php,MANAGE,redcap_projects,,6,,project_id = 6,Create project,0.0,
33,6,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,Design/data_dictionary_upload.php,MANAGE,redcap_metadata,,6,,project_id = 6,Upload data dictionary,0.0,
34,6,2013-09-12_15-36-01,bigman,xxx.xxx.xxx.xxx,DataEntry/index.php,INSERT,redcap_data,"INSERT INTO redcap_data VALUES (6, 21, '1', 'last_name', 'aaaa');
INSERT INTO redcap_data VALUES (6, 21, '1', 'participant_demographics_complete', '0');
INSERT INTO redcap_data VALUES (6, 21, '1', 'first_name', '1')",,21.0,"last_name = 'aaaa',
participant_demographics_complete = '0',
first_name = '1'",Create record,0.0,
