col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Norma Fisher,Norma Fisher,Norma Fisher,2006-10-07,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street everywhere you go you always take the weather,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,1983-10-30,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,2011-01-18,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Susan Wagner,Susan Wagner,Susan Wagner,2007-03-29,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Peter Montgomery,Peter Montgomery,Peter Montgomery,2009-12-27,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,1989-07-29,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Stephanie Collins,Stephanie Collins,Stephanie Collins,2000-04-13,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,1976-03-27,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Brian Hamilton,Brian Hamilton,Brian Hamilton,2010-07-30,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Susan Levy,Susan Levy,Susan Levy,1996-03-11,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Sean Green,Sean Green,Sean Green,1991-07-30,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Kimberly Smith,Kimberly Smith,Kimberly Smith,2009-03-04,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Jennifer Summers,Jennifer Summers,Jennifer Summers,1986-06-23,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,April Snyder,April Snyder,April Snyder,1989-10-04,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Dana Nguyen,Dana Nguyen,Dana Nguyen,1982-07-07,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Cheryl Bradley,Cheryl Bradley,Cheryl Bradley,1982-11-21,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Walter Pratt,Walter Pratt,Walter Pratt,1982-09-16,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Bobby Flores,Bobby Flores,Bobby Flores,1972-03-30,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Tasha Rodriguez,Tasha Rodriguez,Tasha Rodriguez,2011-09-13,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
liksz750,12704,78345,61790,20325,73022,44255,43569,78010,22102,45494,60319,82185,54780,45133,23348,Harrison,Michelle Kelley,Michelle Kelley,Michelle Kelley,2014-09-08,1,1101,U,1,101,2,N,1201,3,3,0.43,3A,3E,50143,50143,1,1,kwmka208,50143,N,N,N,1,5,1,1201,3,6,3,7100,57 Mt Pleasant Street,,DUNDEE BEACH,840,NT
