col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
,Norma Fisher,Norma Fisher,Norma Fisher,630463926,"097 Sanchez Islands Apt. 393
Port Tammy, ND 59217",https://avatars0.githubusercontent.com/u/8536487?s=460&v=4,3.0,,,,,,,,
,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,945230104,"714 Mann Plaza Suite 839
Seanfurt, OK 32234",,3.0,,,,,,,,
,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,945171465,"09471 Erika Curve
North Megan, UT 71358",https://scontent.fbkk14-1.fna.fbcdn.net/v/t1.0-9/64407956_2629730310586999_1158889696672088064_n.jpg?_nc_cat=106&_nc_eui2=AeF1XRfq4gjCwJ9onVc-HGq_5oSOEc8pyABqzLmtgWP14b3QTsquwMoI6TeRk11nVNHlluYA_1X8H_aE5AcLxOnyq3M3y18Jc0isREhn1i-Lww&_nc_oc=AQlubXV6DYegC9iJVYqB5BnUajNxT6uJLyJaspzg1y_8LyZJ21eSi0yesJQKcWHBuvU&_nc_ht=scontent.fbkk14-1.fna&oh=2d993954b2004336f710a65cd5b90338&oe=5E2ED400,3.0,,,,,,,,
,Susan Wagner,Susan Wagner,Susan Wagner,933948090,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",photo.php?fbid=2297376653712064&set=a.103440693105682&type=3,4.0,,,,,,,,
,Peter Montgomery,Peter Montgomery,Peter Montgomery,981892325,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",,3.0,,,,,,,,
,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,942786868,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",,4.0,,,,,,,,
,Stephanie Collins,Stephanie Collins,Stephanie Collins,611223344,"87091 Gonzalez Knolls
Masseyshire, UT 88665",,3.0,,,,,,,,
,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,999274854,"225 Wilson Mills
North Thomas, OK 67164",,3.0,,,,,,,,
,Brian Hamilton,Brian Hamilton,Brian Hamilton,980419649,"PSC 5642, Box 8071
APO AA 97365",,3.0,,,,,,,,
,Susan Levy,Susan Levy,Susan Levy,653479935,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",,4.0,,,,,,,,
,Sean Green,Sean Green,Sean Green,896199936,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",,,,,,,,,,
,Kimberly Smith,Kimberly Smith,Kimberly Smith,928633834,"75470 Lopez Roads
Port Jessicatown, TX 55221",,3.0,,,,,,,,
