col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
0,34896,128,4,5.0,4.0,2,2,3,5,4,3,3,2.0,3.0,5,3,3,4,5653753
1,38030,65,4,5.0,4.0,1,2,1,3,2,3,2,3.0,3.0,0,0,0,0,6923131
2,39880,68,2,4.0,5.0,2,3,2,1,1,1,1,1.0,3.0,0,0,0,0,2055379
3,39479,84,6,4.5,6.0,4,4,8,20,12,1,10,2.5,7.5,25,12,12,6,2675511
4,38480,71,3,4.0,4.0,2,2,2,2,2,2,1,1.0,3.0,5,1,3,3,4316715
5,38759,65,6,6.0,7.5,8,10,10,5,6,1,5,7.5,5.0,0,0,0,0,5017319
6,39000,128,2,3.0,4.0,1,5,2,2,4,2,1,1.0,3.0,4,5,4,4,5166635
7,39253,128,4,5.0,5.0,2,3,4,3,5,4,2,3.0,2.0,0,0,0,0,4491607
8,38956,65,1,1.0,4.0,1,2,1,1,1,1,1,2.0,3.0,4,5,4,5,4952497
9,39401,69,6,4.5,7.5,6,4,2,25,3,1,10,5.0,2.5,0,0,0,0,5444227
10,40033,75,9,6.0,6.0,4,4,8,25,15,3,20,10.0,2.5,0,0,0,0,3745135
11,39589,128,2,4.0,4.0,2,5,2,2,5,1,3,3.0,3.0,5,5,4,2,5161370
12,39871,65,2,2.0,4.0,2,1,3,3,4,2,2,1.0,3.0,0,0,0,0,1734634
13,39005,128,4,5.0,4.0,1,3,2,3,4,2,1,3.0,3.0,0,0,0,0,4807746
14,39444,66,2,2.0,4.0,1,2,2,3,3,3,2,2.0,3.0,0,0,0,0,1999097
15,39484,128,12,7.5,6.0,2,10,4,10,9,2,5,7.5,7.5,5,15,16,4,3218918
16,35070,128,3,5.0,4.0,2,5,3,1,4,1,1,2.0,2.0,0,0,0,0,19696939
17,38663,128,2,4.0,5.0,1,3,3,1,1,1,1,1.0,1.0,0,0,0,0,8213524
18,39558,128,4,5.0,3.0,1,2,2,4,5,4,2,2.0,3.0,3,5,3,2,5337526
19,39309,83,2,4.0,4.0,2,2,1,2,1,1,1,2.0,3.0,0,0,0,0,2021934
20,38953,69,3,4.0,4.0,2,2,3,5,5,1,5,1.0,3.0,5,1,5,4,5525735
21,40202,128,5,5.0,4.0,2,2,4,4,5,3,1,3.0,1.0,0,0,0,0,1149870
22,37437,75,9,6.0,6.0,4,6,2,15,12,3,10,7.5,7.5,0,0,0,0,3956086
23,38505,83,2,4.0,4.0,2,2,5,2,2,1,1,2.0,3.0,0,0,0,0,2999068
