col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32
0,0,1,,1,1,87,0,1,0,8,1,0,1,1,1,1,1,1,1,0,1,1,1,2,3,0,0,0,0,13,9,2
1,1,1,,1,1,77,1,1,0,4,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,10,8,3
2,2,1,,1,0,64,0,0,0,4,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,11,7,2
3,3,1,,1,0,70,0,1,0,4,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,12,7,2
4,4,1,,1,0,63,1,0,0,4,1,0,1,1,1,1,1,1,1,0,1,1,1,0,3,1,0,0,0,10,7,3
5,5,1,,1,0,54,0,0,0,4,1,0,0,1,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,10,7,3
6,6,1,,1,0,116,1,1,0,6,1,0,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,0,0,20,8,4
7,7,1,,1,0,139,1,0,0,6,1,0,1,1,1,1,1,1,1,0,1,1,1,0,5,0,0,0,0,21,8,4
8,8,1,,1,0,69,0,0,0,6,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,11,9,2
9,9,1,,1,0,116,0,0,0,6,1,1,1,1,1,1,1,1,1,0,1,1,1,0,3,0,0,0,0,16,11,3
10,10,1,,1,1,111,0,1,0,7,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,18,11,2
11,11,1,,1,1,43,0,0,0,3,1,0,0,1,0,1,1,0,1,0,0,1,1,1,2,0,0,0,0,6,6,2
12,12,1,,1,1,90,0,0,0,6,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,12,11,2
13,13,1,,1,0,121,1,2,0,4,1,0,1,1,1,1,0,0,1,1,0,0,1,2,1,0,0,0,0,17,7,3
14,14,1,,1,0,118,0,0,0,5,1,0,1,1,1,1,1,0,1,0,0,1,1,0,2,0,0,0,0,14,13,2
15,15,1,,1,0,65,1,0,0,4,1,0,0,1,0,1,1,1,1,0,1,1,1,0,2,0,0,0,0,9,8,3
16,16,1,,1,0,81,0,0,0,6,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,14,10,3
17,17,1,,1,0,150,1,2,0,6,1,0,1,1,1,1,1,1,1,0,0,1,1,2,3,0,0,0,0,24,16,2
18,18,1,,1,0,95,0,0,0,6,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1,1,0,15,11,3
19,19,1,,1,0,80,0,1,0,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,12,7,3
20,20,1,,1,0,86,1,0,0,6,1,0,1,1,1,1,1,0,1,1,0,1,1,0,2,1,0,0,0,13,9,2
21,21,1,,1,0,84,1,0,0,6,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,14,7,4
22,22,1,,1,0,57,0,0,0,4,1,0,0,1,0,1,1,1,1,0,1,1,1,0,2,0,0,0,0,10,9,3
