col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37
1,STEWARDS,36,ARS-IAWC-IAWC225,ARS,Land,70801050907,US:19:015,SRID=4269;POINT(-93.6982205 41.9607224),IAWC225,USDA Agricultural Research Service,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,STEWARDS,46,ARS-IAWC-IAWC410,ARS,Stream,7100004,US:19:015,SRID=4269;POINT(-93.7590729 41.9505493),IAWC410,USDA Agricultural Research Service,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NWIS,1353690,USGS-05425700,USGS-WI,Stream,7090002,US:55:021,SRID=4269;POINT(-89.0320546 43.3466571),"ROBBINS CREEK NEAR COLUMBUS, WI",USGS Wisconsin Water Science Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NWIS,1360035,USGS-431925089002701,USGS-WI,Well,7090102,US:55:027,SRID=4269;POINT(-89.0076094 43.3236024),DG-10/13E/19-0891,USGS Wisconsin Water Science Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NWIS,12312312,USGS-433830088977331,USGS,Well,10090003,CN:55:013,,a well,USGS Wisconsin Water Science Center,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NWIS,61233184,USGS-11421000,USGS,Stream,18020107,US:06:115,SRID=4269;POINT(-121.5249647 39.1757251),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,STORET,777,organization-siteId2,organization,siteType,0,XX:44:555,SRID=4269;POINT(-90.8989 43.333),stationName,organizationName,descriptionText,stationTypeName,43.333,-89.8989,mapScale,geopositioningMethod,hdatumIdCode,elevationValue,elevationUnit,elevationMethod,vdatumIdCode,4569872.0,drainAreaUnit,567893.0,contribDrainAreaUnit,geopositionAccyValue,geopositionAccyUnit,verticalAccuracyValue,verticalAccuracyUnit,natAqfrName,aqfrName,aqfrTypeName,constructionDate,2333.0,wellDepthUnit,2345.0,holeDepthUnit
3,STORET,888,organization-siteId,organization,siteType,0,XX:44:555,SRID=4269;POINT(-89.8989 43.333),stationName,organizationName,descriptionText,stationTypeName,43.333,-89.8989,mapScale,geopositioningMethod,hdatumIdCode,elevationValue,elevationUnit,elevationMethod,vdatumIdCode,4569872.0,drainAreaUnit,567893.0,contribDrainAreaUnit,geopositionAccyValue,geopositionAccyUnit,verticalAccuracyValue,verticalAccuracyUnit,natAqfrName,aqfrName,aqfrTypeName,constructionDate,2333.0,wellDepthUnit,2345.0,holeDepthUnit
3,STORET,999,organization-siteId3,organization,siteType,0,XX:44:555,SRID=4269;POINT(-76.8989 43.333),stationName,organizationName,descriptionText,stationTypeName,43.333,-89.8989,mapScale,geopositioningMethod,hdatumIdCode,elevationValue,elevationUnit,elevationMethod,vdatumIdCode,4569872.0,drainAreaUnit,567893.0,contribDrainAreaUnit,geopositionAccyValue,geopositionAccyUnit,verticalAccuracyValue,verticalAccuracyUnit,natAqfrName,aqfrName,aqfrTypeName,constructionDate,2333.0,wellDepthUnit,2345.0,holeDepthUnit
3,STORET,1383,WIDNR_WQX-113086,WIDNR_WQX,Stream,70900011105,US:55:027,SRID=4269;POINT(-89.009255 43.348562),Crawfish River at Old Hwy 73 Bridge,Wisconsin Department of Natural Resources,STATION FOR STEVEN FIX	 OF SOUTHERN DISTRICT  (608)275-3280 THIS IS A FIXED AMBIENT MONITORING STATION IN THE UPPER RIVER BASIN. IT IS PAIRED WITH AN EXISTING STORET AND USGS STATION AT MILFORD. IT IS LOCATED BELOW THE CONFLUENCE OF THE NORTH BR,River/Stream,43.348562,-89.009255,,Unknown,NAD83,,,,,,,,,,,,,,,,,,,,
3,STORET,436723,WIDNR_WQX-10030952,WIDNR_WQX,Stream,70900011105,US:55:017,SRID=4269;POINT(-88.9557 43.326298),Crawfish River -- Astico County Park Canoe Launch,Wisconsin Department of Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,STORET,504707,21NYDECA_WQX-ONTARIO-02,21NYDECA_WQX,"Lake, Reservoir, Impoundment",4150200,CN:08:,SRID=4269;POINT(-76.67 44.0167),Lake Ontario,New York State DEC Division of Water,Near Kingston Bay (Canada),Great Lake,44.0167,-76.67,,GPS-Unspecified,NAD83,74.,m,Topographic Map Interpolation,SEALV,,,,,,,,,,,,,,,,
3,STORET,1043441,11NPSWRD-BICA_MFG_B,11NPSWRD,"Lake, Reservoir, Impoundment",70801050907,US:30:003,SRID=4269;POINT(-108.0188666 45.2756528009432),BIGHORN LAKE NEAR BLACK CANYON,National Park Service Water Resources Division,,,,,,,,,,,,,,,,,,,,,,,,,,,
