col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
zb1,2021-03-15 14:21:13,True,,150000,per_unit,2017-05-10 18:50:13,usd,month,1,False,True,,prod_BUZaPcD5jIhqAG,,,,,licensed
ab2,2021-03-15 14:21:13,True,,150000,per_unit,2017-05-05 16:56:44,usd,month,1,False,True,,prod_BUqcov3uJTssuQ,,,,,licensed
5gh,2021-03-15 14:21:13,True,,150000,per_unit,2017-05-15 18:53:55,usd,month,6,False,True,,prod_BTzAZ8EnmwNUqW,,,,,licensed
3gf,2021-03-15 14:21:13,True,,180000,per_unit,2017-06-15 16:01:06,usd,month,6,False,True,,prod_BUonomUNsdG3qx,,,,,licensed
214gfdg,2021-03-15 14:21:13,True,,264030,per_unit,2017-08-04 16:29:13,usd,month,3,False,True,,prod_BUo1nHP2vIrVtF,,,,,licensed
fgds754,2021-03-15 14:21:13,True,,45000,per_unit,2017-06-21 16:23:32,usd,month,1,False,True,,prod_BUBtgJBLlTGcy9,,,,,licensed
dfgdw576,2021-03-15 14:21:13,True,,20000,per_unit,2015-05-28 1:08:05,usd,month,1,False,True,,prod_BV5IFAOt2EwqSl,,,,,licensed
rhsdr456,2021-03-15 14:21:13,True,,100,per_unit,2015-05-28 1:10:13,usd,month,1,False,True,,prod_BU23UCziUM7ezw,,,,,licensed
3gds,2021-03-15 14:21:13,True,,50000,per_unit,2015-10-23 21:23:35,usd,month,1,False,True,,prod_BTXZakZKkKlf6g,,,,,licensed
234rtgh,2021-03-15 14:21:13,True,,40000,per_unit,2015-12-01 21:06:02,usd,month,1,False,True,,prod_BUrKq3BcaxvjkU,,,,,licensed
658jfgh,2021-03-15 14:21:13,True,,15000,per_unit,2015-11-16 22:42:15,usd,month,1,False,True,,prod_BUaE6AwT15sLSX,,,,,licensed
hfdstrt345,2021-03-15 14:21:13,True,,11500,per_unit,2016-01-06 16:58:21,usd,month,1,False,True,,prod_BTN1m9rU6ivOBN,,,,,licensed
634mfh,2021-03-15 14:21:13,True,,89000,per_unit,2016-03-09 23:16:21,usd,month,1,False,True,,prod_BTNNlwDZ0nGHYp,,,,,licensed
