col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
'abreujo02','1987','1','29','Cuba','Cienfuegos','Cienfuegos','','','','','','',Norma Fisher,Norma Fisher,Norma Fisher,'255','75','R','R','2014-03-31','2016-10-02','abrej003','abreujo02'
'altuvjo01','1990','5','6','Venezuela','Aragua','Maracay','','','','','','',Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,'165','66','R','R','2011-07-20','2016-10-02','altuj001','altuvjo01'
'beltrad01','1979','4','7','D.R.','Distrito Nacional','Santo Domingo','','','','','','',Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,'220','71','R','R','1998-06-24','2016-10-02','belta001','beltrad01'
'bogaexa01','1992','10','1','Aruba','','Oranjestad','','','','','','',Susan Wagner,Susan Wagner,Susan Wagner,'210','73','R','R','2013-08-20','2016-10-02','bogax001','bogaexa01'
'brantmi02','1987','5','15','USA','WA','Bellevue','','','','','','',Peter Montgomery,Peter Montgomery,Peter Montgomery,'200','74','L','L','2009-09-01','2016-05-09','branm003','brantmi02'
'braunry02','1983','11','17','USA','CA','Mission Hills','','','','','','',Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,'205','74','R','R','2007-05-25','2016-10-01','braur002','braunry02'
'cabremi01','1983','4','18','Venezuela','Aragua','Maracay','','','','','','',Stephanie Collins,Stephanie Collins,Stephanie Collins,'240','76','R','R','2003-06-20','2016-10-02','cabrm001','cabremi01'
'carpema01','1985','11','26','USA','TX','Galveston','','','','','','',Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,'205','75','L','R','2011-06-04','2016-10-02','carpm002','carpema01'
'ellsbja01','1983','9','11','USA','OR','Madras','','','','','','',Brian Hamilton,Brian Hamilton,Brian Hamilton,'195','73','L','L','2007-06-30','2016-10-02','ellsj001','ellsbja01'
'freemfr01','1989','9','12','USA','CA','Fountain Valley','','','','','','',Susan Levy,Susan Levy,Susan Levy,'220','77','L','R','2010-09-01','2016-10-02','freef001','freemfr01'
'goldspa01','1987','9','10','USA','DE','Wilmington','','','','','','',Sean Green,Sean Green,Sean Green,'225','75','R','R','2011-08-01','2016-10-02','goldp001','goldspa01'
'gonzaad01','1982','5','8','USA','CA','San Diego','','','','','','',Kimberly Smith,Kimberly Smith,Kimberly Smith,'215','74','L','L','2004-04-18','2016-10-02','gonza003','gonzaad01'
'gordode01','1988','4','22','USA','FL','Windermere','','','','','','',Jennifer Summers,Jennifer Summers,Jennifer Summers,'170','71','L','R','2011-06-06','2016-10-02','gordd002','gordode01'
'harpebr03','1992','10','16','USA','NV','Las Vegas','','','','','','',April Snyder,April Snyder,April Snyder,'215','75','L','R','2012-04-28','2016-10-02','harpb003','harpebr03'
'harrijo05','1987','7','8','USA','OH','Cincinnati','','','','','','',Dana Nguyen,Dana Nguyen,Dana Nguyen,'190','68','R','R','2011-05-31','2016-09-10','harrj002','harrijo05'
'jeterde01','1974','6','26','USA','NJ','Pequannock','','','','','','',Cheryl Bradley,Cheryl Bradley,Cheryl Bradley,'195','75','R','R','1995-05-29','2014-09-28','jeted001','jeterde01'
'johnsch05','1984','10','1','USA','FL','Naples','','','','','','',Walter Pratt,Walter Pratt,Walter Pratt,'225','75','R','R','2009-09-09','2016-10-02','johnc003','johnsch05'
'kempma01','1984','9','23','USA','OK','Midwest City','','','','','','',Bobby Flores,Bobby Flores,Bobby Flores,'210','76','R','R','2006-05-28','2016-10-02','kempm001','kempma01'
'martivi01','1978','12','23','Venezuela','Bolivar','Ciudad Bolivar','','','','','','',Tasha Rodriguez,Tasha Rodriguez,Tasha Rodriguez,'210','74','B','R','2002-09-10','2016-10-02','martv001','martivi01'
'mauerjo01','1983','4','19','USA','MN','St. Paul','','','','','','',Michelle Kelley,Michelle Kelley,Michelle Kelley,'225','77','L','R','2004-04-05','2016-09-25','mauej001','mauerjo01'
'mccutan01','1986','10','10','USA','FL','Fort Meade','','','','','','',Kimberly Maynard,Kimberly Maynard,Kimberly Maynard,'195','70','R','R','2009-06-04','2016-10-02','mccua001','mccutan01'
'molinya01','1982','7','13','P.R.','','Bayamon','','','','','','',Laurie Wallace,Laurie Wallace,Laurie Wallace,'205','71','R','R','2004-06-03','2016-10-02','moliy001','molinya01'
'morneju01','1981','5','15','CAN','BC','New Westminster','','','','','','',Janice Johnston,Janice Johnston,Janice Johnston,'220','76','L','R','2003-06-10','2016-10-02','mornj001','morneju01'
'polloaj01','1987','12','5','USA','CT','Hebron','','','','','','',Collin Lopez,Collin Lopez,Collin Lopez,'195','73','R','R','2012-04-18','2016-09-09','polla001','polloaj01'
'poseybu01','1987','3','27','USA','GA','Leesburg','','','','','','',Mary Alvarez,Mary Alvarez,Mary Alvarez,'215','73','R','R','2009-09-11','2016-10-02','poseb001','poseybu01'
'reyesjo01','1983','6','11','D.R.','Santiago','Santiago','','','','','','',Peter Mcdowell,Peter Mcdowell,Peter Mcdowell,'195','72','B','R','2003-06-10','2016-10-01','reyej001','reyesjo01'
'troutmi01','1991','8','7','USA','NJ','Vineland','','','','','','',Sarah Villanueva,Sarah Villanueva,Sarah Villanueva,'235','74','R','R','2011-07-08','2016-10-02','troum001','troutmi01'
'youngmi02','1976','10','19','USA','CA','Covina','','','','','','',Kimberly Myers,Kimberly Myers,Kimberly Myers,'200','73','R','R','2000-09-29','2013-09-29','younm003','youngmi02'
