col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,BQ1,Vicia faba,,organic,Ecuador,-0.976966679096222,-78.5848007202148,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,125,35,2,8,77,0,3,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",olopez@monroe.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,CUSU1,Vicia faba,,,Ecuador,-1.06701672077179,-78.6906967163086,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,100,41,1,10,43,0,5,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",nstewart@gmail.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,CUSU2,Vicia faba,,,Ecuador,-1.09193336963654,-78.7261199951172,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,117,32,2,2,74,0,7,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",leecharlene@russo.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,Q1,Vicia faba,,,Ecuador,-0.897866666316986,-78.7810821533203,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,16,0,4,0,10,0,2,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",znash@miller.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,Q4,Vicia faba,,,Ecuador,-0.874766647815704,-78.9162139892578,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,19,0,1,0,16,0,2,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",desireeroth@hotmail.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,Q5,Vicia faba,,conventional,Ecuador,-0.876550018787384,-78.9089660644531,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,25,0,1,0,20,0,4,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",wigginsjoshua@gmail.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,BQ2,Vicia faba,,conventional,Ecuador,-0.981949985027313,-78.5584869384766,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,146,1,0,0,115,0,30,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",harrisjordan@potts-mays.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,CUMBI1,Vicia faba,,,Ecuador,-1.05318331718445,-78.5640029907227,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,29,10,0,0,16,0,3,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",xbowman@hotmail.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,CUMBI3,Vicia faba,,,Ecuador,-1.05481672286987,-78.5130996704102,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,31,7,0,0,18,0,6,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",nicholascarter@hernandez.com,
Carlos_Zaragoza_Trello_Vicia_faba_Ecuador_2017,CUMBI4,Vicia faba,,,Ecuador,-1.05083334445953,-78.5046844482422,,,,7,8,2017,,,,,,,,,,,,,,,,transects,,,,all visitors considered,transects,191,73,0,1,115,0,2,0,0,0,0,900,90,,,,,,,,,,,,,,,"Carlos Zaragoza-Trello, Ignasi Bartomeus",morganchristine@gmail.com,
