col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
ADA Initiative,https://adainitiative.org/,,Y,Y,Y,,X,,X,X,,,X,
Apache Software Foundation,http://www.apache.org/foundation/,312.0,Y,Y,Y,,,X,,X,,,X,X
Associacao SoftwareLivre.org,http://associacao.softwarelivre.org/,,N,Y,Y,X,X,,X,,X,,,
Benetech,http://www.benetech.org/,,Y,Y,N,,,X,,,,,X,
BioBricks Foundation,https://biobricks.org/,,Y,Y,N,,X,X,,,,,,
Blender Foundation,http://www.blender.org/blenderorg/blender-foundation/,1.0,Y,Y,N,,,X,,,,,X,X
BSD Fund,http://bsdfund.org/,4.0,Y,N,Y,,X,X,,,,,X,X
Cloud Foundry Foundation,https://www.cloudfoundry.org/foundation/,1.0,Y,Y,Y,,X,X,X,,,,X,X
Creative Commons,http://creativecommons.org/,,Y,Y,Y,,,,,X,X,X,,
Digital Freedom Foundation,https://www.digitalfreedomfoundation.org/,,Y,N,N,X,,,X,X,,,,
Digital Freedom Foundation India,http://dff.org.in/,,N,Y,N,X,X,X,X,,,,,
Django Software Foundation,http://www.djangoproject.com/foundation/,1.0,Y,Y,Y,,,X,,X,,,X,X
Document Foundation,http://www.documentfoundation.org/,1.0,Y,Y,Y,,,X,X,,,,X,X
Dojo Foundation,http://dojofoundation.org/,1.0,Y,N,N,,X,X,X,,,,X,X
.NET Foundation,https://dotnetfoundation.org/,556.0,Y,Y,Y,X,X,X,,X,,,X,X
Eclipse Foundation,http://www.eclipse.org/org/foundation/,216.0,Y,Y,Y,,X,X,,,,,X,X
El Centro de Software Libre,http://www.csol.org/,,N,Y,N,X,X,,,,X,,X,
Electronic Frontier Foundation,http://www.eff.org/,,Y,Y,N,,,,,X,X,,,
Free Knowledge Institute,http://freeknowledge.eu/,,Y,Y,N,X,,,,,,,X,
Free Software and Open Source Foundation for Africa,http://www.fossfa.net/,,N,Y,Y,X,,,,,X,X,X,
Free Software Foundation,http://www.fsf.org/,,Y,Y,Y,X,X,X,,X,,X,X,
Free Software Foundation Europe,https://fsfe.org,,Y,Y,Y,X,X,X,X,X,X,X,X,
Free Software Foundation India,http://fsf.org.in/,,N,Y,N,X,X,,,,,,X,
Free Software Foundation Latin America,http://www.fsfla.org/,,N,Y,Y,X,,,X,X,X,,X,
FreeBSD Foundation,http://freebsdfoundation.org/,1.0,Y,Y,Y,,X,X,X,X,,,X,X
Fundación Vía Libre,http://www.vialibre.org.ar/,,N,Y,N,X,X,,,,,,,
F,,,,,,,,,,,,,,
Gentoo Foundation,https://www.gentoo.org/inside-gentoo/foundation/,1.0,Y,Y,Y,,X,X,X,,,,X,X
GNOME Foundation,http://foundation.gnome.org/,1.0,Y,Y,Y,,,X,,,,,X,X
GraphQL Foundation,https://foundation.graphql.org/,1.0,Y,N,N,,,X,,,,,X,X
Kuali Foundation,https://kuali.org,4.0,Y,Y,Y,,X,X,,,,,X,X
Identity Commons,http://idcommons.net/,,Y,Y,Y,,X,,,,,X,X,
Internet Systems Consortium,http://www.isc.org/,9.0,Y,Y,N,,,X,,,,X,X,X
ITPUG (Italian PostgreSQL Users' Group),https://www.itpug.org/,1.0,N,Y,N,,X,,X,,,,X,X
JS Foundation,https://js.foundation,1.0,Y,N,Y,,X,X,X,,,,X,X
JPUG (Japanese PostgreSQL Users' Group),https://www.postgresql.jp/,1.0,N,Y,Y,,X,,X,,,,X,X
KDE e.V.,http://ev.kde.org/,,Y,Y,Y,,X,X,X,,,,X,
Linux Expo of Southern California,http://www.socallinuxexpo.org/,,Y,Y,N,X,X,,,,,,X,
Linux Foundation,http://linuxfoundation.org/,89.0,Y,N,Y,X,X,X,X,,,,X,X
Linux Fund,http://www.linuxfund.org/,4.0,Y,N,Y,,,X,,,,,X,X
Linux International,http://www.li.org/,,Y,N,N,X,,X,,,,,X,X
Linux Profesional Institute,https://www.lpi.org/,,Y,Y,N,,,,X,,,,,
LogiLogi Foundation,http://foundation.logilogi.org/,1.0,Y,Y,N,X,,,,,,,X,
Mambo Foundation  Inc.,http://mambo-foundation.org/,1.0,Y,Y,N,,,X,,X,,,X,X
Mozilla Foundation,http://www.mozilla.org/foundation/,9.0,Y,Y,Y,X,X,X,X,,,,X,X
NetBSD Foundation,https://www.netbsd.org/foundation/,1.0,Y,Y,Y,,,X,,,,,X,X
NLnet Foundation,http://www.nlnet.nl/,,Y,Y,Y,,X,X,,,,,,
NLnet Labs Foundation,http://www.nlnetlabs.nl,42.0,Y,Y,Y,,,X,,,,,X,X
NumFocus Inc.,https://www.numfocus.org/,,Y,Y,Y,X,,,X,X,,,,
One Laptop Per Child Association  Inc.,http://www.laptop.org/,,Y,Y,N,X,,,X,,,,,
Open Bioinformatics Foundation,https://www.open-bio.org,24.0,Y,N,Y,,X,X,X,,,,X,X
Open Hardware Foundation,http://wiki.p2pfoundation.net/Open_Hardware_Foundation,,Y,Y,N,X,,,,,,,,
Open Health Tools,http://www.openhealthtools.org/,36.0,Y,Y,N,,,X,,,,,,X
Open Media Now! Foundation,http://www.openmedianow.org/,,Y,Y,N,X,,,,,,,,
Open Source Applications Foundation,http://www.osafoundation.org/,1.0,Y,Y,N,X,,X,,,,,X,X
OSET Institute's,http://www.osetfoundation.org,1.0,Y,Y,N,,,X,,,,,,X
Open Source For America,http://opensourceforamerica.org/about-osfa/our-mission/,,N,Y,N,X,,,,,X,,X,
Open Source Geospatial Foundation,http://www.osgeo.org/content/foundation/about.html,32.0,Y,Y,Y,X,,X,,,,,X,X
Open Source Initiative,http://opensource.org/,,Y,Y,Y,X,,,,,,X,,
Open Source Software Institute,http://www.ossinstitute.org/,,Y,Y,N,X,,X,,,,,,
OpenBSD Foundation,http://openbsdfoundation.org/,7.0,Y,Y,Y,,X,X,,,,,X,X
Open Education Consortium,http://www.oeconsortium.org/about-oec/,,Y,Y,Y,,X,,X,,,,,
OpenDoc Society,http://www.opendocsociety.org/,,Y,Y,Y,X,X,,X,,,,X,
OpenID Foundation,http://openid.net/foundation/,,Y,Y,N,,,,,X,,X,X,
OpenSourceMatters,http://www.opensourcematters.org/,1.0,Y,Y,Y,,X,X,,,,,X,X
OpenStack Foundation,https://www.openstack.org/foundation/,6.0,Y,Y,Y,,X,X,X,,,,X,X
OpenStreetMap Foundation,https://wiki.osmfoundation.org/wiki/Main_Page,1.0,Y,Y,Y,,,X,,X,,,X,X
Oregon State University Open Source Lab Alliance,http://osuosl.org/,160.0,Y,Y,N,X,X,X,,,,,,X
Parrot Foundation,http://www.parrot.org/foundation/,1.0,Y,Y,Y,X,,X,,,,,X,X
Participatory Culture Foundation,http://pculture.org/,,Y,Y,N,,,X,,,,,X,
Peer-Directed Projects Center (freenode),https://en.wikipedia.org/wiki/Freenode,,,,,,,,,,,,,
Plone Foundation,http://plone.org/foundation,1.0,Y,Y,Y,,X,X,X,,,,X,X
PostgreSQL Brasil,http://postgresql.org.br,1.0,N,Y,N,,X,X,,,,,X,X
PostgreSQL Europe,http://postgresql.eu,1.0,N,Y,Y,,X,X,,,,,X,X
PostgreSQL.US,http://postgresql.us,1.0,N,Y,Y,,X,X,,,,,X,X
PostgreSQLFr.org,http://asso.postgresql.fr,1.0,N,Y,Y,,X,X,,,,,X,X
Public Software Fund,http://www.pubsoft.org/,43.0,Y,Y,N,,,X,,,,,,X
Python Software Foundation,http://www.python.org/psf/,1.0,Y,Y,Y,,X,X,,,,,X,X
Sahana Foundation,https://sahanafoundation.org/,1.0,Y,Y,Y,X,,X,,,,,X,X
Shuttleworth Foundation,http://www.shuttleworthfoundation.org/,,Y,Y,N,X,,X,,,,,,
Software Freedom Conservancy,http://sfconservancy.org/,,Y,Y,Y,X,,X,,X,,,,
Software Freedom Law Center,http://www.softwarefreedom.org/,,Y,Y,N,,,,X,X,,,,
Software in the Public Interest,http://www.spi-inc.org/,,Y,Y,Y,X,,X,,,,,,
Software Libre Argentina,http://solarargentina.org/,,N,Y,Y,,X,,X,,,,,
Software Libre Chile,http://www.softwarelibrechile.cl/,,N,Y,N,,X,,X,,,,,
Software Livre Brasil,http://www.softwarelivre.org/,,N,Y,N,,X,,X,,,,,
Subversion Corporation,http://subversion.org/,1.0,Y,N,Y,,,X,,,,,X,X
Fintech Open Source Foundation,https://www.finos.org/,1.0,Y,Y,Y,,X,X,,,,,X,X
TeX Users Group,http://tug.org/,,Y,Y,Y,,,,X,,,,X,
The Open Planning Project,http://theopenplanningproject.org/,1.0,Y,N,N,,,,,,,,,X
