col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
0,861413,Shooting star review,,Shooting star,"vol. 8, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
1,861413,Shooting star review,,Shooting star,"vol. 7, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
2,861413,Shooting star review,,Shooting star,"vol. 7, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
3,861413,Shooting star review,,Shooting star,"vol. 7, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
4,861413,Shooting star review,,Shooting star,"vol. 8, no.2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
5,861413,Shooting star review,,Shooting star,"vol. 7, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
6,861413,Shooting star review,,Shooting star,"vol. 6, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
7,861413,Shooting star review,,Shooting star,vol. 6 no. 2,,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
8,861413,Shooting star review,,Shooting star,"vol. 8, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
9,861413,Shooting star review,,Shooting star,"vol. 6, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
10,861413,Shooting star review,,Shooting star,"vol. 6, no.1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
11,861413,Shooting star review,,Shooting star,"vol. 5, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
12,861413,Shooting star review,,Shooting star,"vol. 4, no.2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
13,861413,Shooting star review,,Shooting star,"vol. 4, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
14,861413,Shooting star review,,Shooting star,"vol. 5, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
15,861413,Shooting star review,,Shooting star,"vol. 5, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
16,861413,Shooting star review,,Shooting star,"vol. 3, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
17,861413,Shooting star review,,Shooting star,"vol. 4, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,eng,text,print,,periodical,,,,,,,,0892-1407,sn 87000149,,
