col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
1,Page,,,,,,,,Page 1,,,,,,,,,,,,,,,,,
2,Entity,Entity Relationship,1.0,,,,,,Actor,id,UUID,username,text,,,,,,,,,,,,,
3,Entity,Entity Relationship,1.0,,,,,,User Secrets,user_id,UUID,password_hash,text,password_attempts,int,first_password_failed_attempt,timestamp,reset_password_token,text,reset_password_token_generated,timestamp,reset_password_attempts,int not null default 0,first_failed_password_reset_attempt,timestamp,
4,Entity,Entity Relationship,1.0,,,,,,Actor Emails,id,UUID,user_id,UUID,email,email,is_verified,boolean,,,,,,,,,
5,Entity,Entity Relationship,1.0,,,,,,Actor Email Secrets,user_email_id,UUID,verification_token,text,password_reset_email_sent_at,timestamp,,,,,,,,,,,
6,Entity,Entity Relationship,1.0,,,,,,User Authentications,id,UUID,user_id,UUID,service,text,identifier,text,details,json,,,,,,,
7,Entity,Entity Relationship,1.0,,,,,,User Authentication Secrets,user_authentication_id,UUID,details,json,,,,,,,,,,,,,
8,Entity,Entity Relationship,1.0,,,,,,Client,id,UUID,api_key,text,secret_key,text,permission,[],user_id,UUID,,,,,,,
9,Entity,Entity Relationship,1.0,,,,,,Token,id,UUID,access_token,text,access_token_expires_at,text,user_id,UUID,client_id,UUID,permission,[],,,,,
10,Entity,Entity Relationship,1.0,,,,,,Repository,id,UUID,name,text,,,,,,,,,,,,,
11,Entity,Entity Relationship,1.0,,,,,,Membership,id,UUID,user_id,UUID,organization_id,UUID,,,,,,,,,,,
12,Entity,Entity Relationship,1.0,,,,,,Team,id,UUID,role,string,organization_id,UUID,,,,,,,,,,,
13,Line,,1.0,,3.0,2.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
14,Line,,1.0,,4.0,2.0,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
15,Line,,1.0,,5.0,4.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
16,Line,,1.0,,6.0,2.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
17,Line,,1.0,,7.0,6.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
18,Line,,1.0,,8.0,2.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
19,Line,,1.0,,9.0,8.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
20,Line,,1.0,,9.0,2.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
21,Line,,1.0,,11.0,2.0,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,
22,Line,,1.0,,11.0,2.0,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,
