col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36
,1,,1,,1481,8,444,829,948,1249,10,,,,,,,,8,2,262,0,20,0,2,1,9,0,1,1,0,10,0,620,,
,1,,2,,1299,12,296,731,855,1150,27,,,,,,,,0,0,239,1,12,0,0,2,4,0,0,0,0,7,1,562,1,0.0
,1,,3,,1470,10,375,895,1006,1300,29,,,,,,,,4,0,287,2,17,0,0,5,5,0,2,0,1,10,3,640,2,0.0
,1,,4,,1178,12,369,744,804,1000,19,,,,,,,,5,4,197,0,11,0,0,2,6,0,1,0,0,11,0,548,"1,2",1.0
,1,,5,,1500,9,421,956,1064,1350,26,,,,,,,,6,1,284,0,13,0,2,2,5,0,1,0,1,13,1,709,,
,1,,29,,1511,11,247,721,1098,1400,18,,,,,,,,6,2,227,2,15,1,1,0,20,0,2,1,1,15,1,786,,
,1,,30,,1223,8,226,711,896,1099,31,,,,,,,,2,0,179,0,1,1,0,0,8,0,0,1,0,6,2,665,1,
,1,,31,,1409,10,307,795,1022,1300,29,,,,,,,,7,3,201,0,7,0,1,2,9,1,1,1,0,12,3,745,"1,2",1.0
,1,,32,,1291,2,432,898,1035,1150,34,,,,,,,,6,1,333,1,7,0,0,3,1,0,0,0,1,7,0,641,1,
,5,,34,,1375,11,223,617,832,1200,29,,,,,,,,4,3,195,1,16,0,0,0,3,0,1,0,0,10,1,569,,
,5,,35,,1538,9,260,673,891,1350,29,,,,,,,,1,1,276,0,10,0,1,0,0,0,0,0,0,10,0,562,,
,9,,64,,1258,7,361,674,767,1150,23,,,,,,,,3,0,226,3,13,0,0,0,4,0,2,0,0,7,0,484,2,0.0
,9,,65,,1268,8,295,717,833,1150,19,,,,,,,,1,0,177,1,15,0,1,2,1,0,1,0,0,14,1,598,2,
,9,,66,,1364,6,406,819,928,1250,24,,,,,,,,1,2,203,1,20,0,0,2,2,0,3,0,2,14,1,652,2,0.0
,9,,67,,1346,6,331,710,851,1200,27,,,,,,,,1,0,224,1,14,0,0,2,0,0,0,1,1,11,0,569,,
,9,,68,,1480,9,400,782,898,1300,24,,,,,,,,2,1,204,0,16,0,0,1,5,0,0,0,1,19,0,625,"1,2",1.0
,9,,69,,1356,7,341,783,866,1200,20,,,,,,,,2,2,206,1,10,0,0,1,1,1,1,0,0,11,1,609,"1,2",0.0
,21,,5,,1385,6,234,417,492,1100,21,,,,,,,,4,0,267,0,4,0,1,0,7,0,1,0,0,7,0,180,,
,21,,6,,1363,7,188,445,547,1150,52,,,,,,,,1,3,348,1,10,0,1,0,1,0,0,0,0,6,0,124,,
,21,,7,,1057,6,249,473,521,900,22,,,,,,,,1,0,230,1,4,0,0,0,0,0,0,0,0,1,0,262,1,
,25,,23,,458,7,46,65,66,900,0,,,,,,,,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,26,2,
,25,,24,,72,12,6,13,13,50,0,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,"1,2",1.0
,25,,25,,560,6,105,245,290,450,7,,,,,,,,0,1,212,0,2,0,0,0,0,0,0,1,0,0,0,66,"1,2",1.0
