col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
3,admin,2,admin2,,,,1,$2a$10$d7ILCK7enNETCDAo8HoB1OLNvSIBPndH4gJD7CVxl92Q4f/XnpG7m,,,automatic,en
4,admin,3,admin3,,,,1,$2a$10$wJ.Pe0iy1qYz2A97sIsHn.yZd.yieYuwKPNKRA1OfY01cJPW5FhH2,,,automatic,en
5,oper,1,oper1,,,default,5,$2a$10$8nTZMIDrdwr.z2Xn2xywL.XMImz1yYXUGiEu2xqkCMbCEspE6ICeq,,,automatic,en
6,oper,2,oper2,,,default,5,$2a$10$pIEnkoffvwrdHPobjY3eNeKOtEoOH8DhIMtu29i7bNZFqvGIJK4X2,,,automatic,en
7,oper,3,oper3,,,default,5,$2a$10$0NNib7ohCQbXas1QWRlrvuYbU1ztzaflrciBPoRcAvE5fYmEEnIZW,,,automatic,en
8,oper,4,oper4,,,default,5,$2a$10$yT9WNaT5yWPXsdg63IRWvO7hNCXOEMQfP0OgZtn8h0NIHh20YLn5.,,,automatic,en
9,oper,5,oper5,,,default,5,$2a$10$ob5s1BeuOuQgbapFLxlGSe61Zk0AscvtznitDe0r/YLzaBNL4pvAm,,,automatic,en
10,oper,6,oper6,,,default,5,$2a$10$LwoWmrdr56u2DC4NG0o/iOoMNZ/3JXOCS4.Fc/tayMrwLmjQJfb3e,,,automatic,en
11,oper,7,oper7,,,default,5,$2a$10$CvDw2WyQdU7gFpcbrHRxqOdQKS/wYbtGglSGIjNjU2nRLtYmv27n6,,,automatic,en
12,oper,8,oper8,,,default,5,$2a$10$E4QntAlwqOFp.ImeF1fEXeNjKOpNKrZlOxIRQVTuaCqHEQg8653ce,,,automatic,en
13,oper,9,oper9,,,default,5,$2a$10$hIzbJjBVO4lKHv8WWkLnIuGqtYmsaLqvgQF.v1hgdGCiPkF5UOnl6,,,automatic,en
14,admin,4,admin4,,,,1,$2a$10$VPWMS9AuE6Q7W.SXvlwWk.BhiKbUeVEtymnPEAL8Vc1hUD.2mnAEG,,,automatic,en
15,admin,5,admin5,,,,1,$2a$10$VPWMS9AuE6Q7W.SXvlwWk.BhiKbUeVEtymnPEAL8Vc1hUD.2mnAEG,,,automatic,en
16,admin,6,admin6,,,,1,$2a$10$3Y6xBHKsl6o74xXw0OMZTu6ZZafUKnWZXRNUvt5J6CSMnX23hDtYm,,,automatic,en
17,rest,1,rest1,,,,1,$2a$10$k2T7Afj41m49e6P5rNBgneyOO3PifpwLLo2oUU9.N7tF6GY/9Q7NC,,,automatic,en
