col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
0,22019,201587,21900669,"JAN 24, 2020",CHA vs. MIL,L,34,1,8,0.125,0,3,0.0,3,4,0.75,3,3,6,5,0,0,0,2,5,-13,1
1,22019,201587,21900642,"JAN 20, 2020",CHA vs. ORL,L,17,1,2,0.5,1,1,1.0,0,0,0.0,2,4,6,2,1,0,1,2,3,-2,1
2,22019,201587,21900610,"JAN 15, 2020",CHA @ DEN,L,21,0,4,0.0,0,2,0.0,0,0,0.0,1,6,7,7,0,0,0,1,0,-2,1
3,22019,201587,21900595,"JAN 13, 2020",CHA @ POR,L,31,4,5,0.8,1,2,0.5,0,0,0.0,1,6,7,3,2,0,0,3,9,-4,1
4,22019,201587,21900590,"JAN 12, 2020",CHA @ PHX,L,32,1,5,0.2,0,3,0.0,0,0,0.0,0,6,6,1,1,0,2,0,2,-6,1
5,22019,201587,21900574,"JAN 10, 2020",CHA @ UTA,L,14,1,3,0.333,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,1,3,11,1
6,22019,201587,21900440,"DEC 22, 2019",CHA @ BOS,L,22,2,4,0.5,1,2,0.5,1,1,1.0,0,3,3,2,1,0,0,3,6,-3,1
7,22019,201587,21900430,"DEC 21, 2019",CHA vs. UTA,L,30,2,4,0.5,1,1,1.0,0,0,0.0,2,1,3,3,1,1,0,3,5,-21,1
8,22019,201587,21900352,"DEC 10, 2019",CHA vs. WAS,W,13,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,4,0,-18,1
9,22019,201587,21900320,"DEC 06, 2019",CHA vs. BKN,L,33,1,5,0.2,1,4,0.25,0,0,0.0,2,2,4,3,2,0,1,3,3,-3,1
10,22019,201587,21900306,"DEC 04, 2019",CHA vs. GSW,W,25,1,2,0.5,1,2,0.5,0,0,0.0,2,3,5,4,2,2,0,0,3,15,1
11,22019,201587,21900293,"DEC 02, 2019",CHA vs. PHX,L,11,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,2,0,4,-3,1
12,22019,201587,21900283,"NOV 30, 2019",CHA @ MIL,L,13,1,5,0.2,0,3,0.0,0,0,0.0,0,2,2,2,0,0,3,1,2,-17,1
13,22019,201587,21900268,"NOV 29, 2019",CHA @ DET,W,27,0,3,0.0,0,3,0.0,0,0,0.0,2,3,5,2,1,0,0,2,0,6,1
14,22019,201587,21900254,"NOV 27, 2019",CHA vs. DET,W,31,4,7,0.571,0,2,0.0,5,5,1.0,4,2,6,1,0,2,0,3,13,-9,1
15,22019,201587,21900245,"NOV 25, 2019",CHA @ MIA,L,19,1,5,0.2,1,5,0.2,0,0,0.0,0,2,2,4,3,0,2,3,3,-2,1
16,22019,201587,21900226,"NOV 23, 2019",CHA vs. CHI,L,16,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,3,1,1,2,1,3,11,1
17,22019,201587,21900216,"NOV 22, 2019",CHA @ WAS,L,28,2,4,0.5,2,3,0.667,0,0,0.0,1,4,5,7,0,0,2,3,6,4,1
18,22019,201587,21900205,"NOV 20, 2019",CHA @ BKN,L,26,1,1,1.0,1,1,1.0,0,0,0.0,0,5,5,3,0,0,1,0,3,-4,1
19,22019,201587,21900191,"NOV 18, 2019",CHA @ TOR,L,25,1,4,0.25,1,4,0.25,0,0,0.0,1,5,6,5,0,1,2,2,3,-7,1
20,22019,201587,21900177,"NOV 16, 2019",CHA @ NYK,W,29,1,4,0.25,1,4,0.25,0,0,0.0,1,8,9,6,1,1,2,2,3,18,1
21,22019,201587,21900003,"OCT 23, 2019",CHA vs. CHI,W,11,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,2,0,0,2,2,0,1,1
