col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
idraetsanlaeg_hal.0,POINT (12.602137159337724 55.67606473553194),12.60213716,55.67606474,Norma Fisher,"9179 Bruce Gardens
Lake Josephbury, WY 22846",1436,København K,,http://halc.kk.dk/,16
idraetsanlaeg_hal.1,POINT (12.514314521646787 55.7060411301821),12.51431452,55.70604113,Jorge Sullivan,"23098 Anthony Roads
New Maria, MO 12498",2700,Brønshøj,Infogroendal@kff.kk.dk,http://bellahojhallerne.kk.dk/,4
idraetsanlaeg_hal.2,POINT (12.576790073078762 55.69868442846709),12.57679007,55.69868443,Elizabeth Woods,"90321 Clark Union
Lake Andrewchester, CT 34569",2100,København Ø,,http://remisen.kk.dk/,23
idraetsanlaeg_hal.3,POINT (12.5434838663867 55.699427544279864),12.54348387,55.69942754,Susan Wagner,"456 Bruce Mountain
New Craigfurt, KS 47497",2200,København N,Norrebrohallen@kff.kk.dk,http://2200kultur.kk.dk,1
idraetsanlaeg_hal.4,POINT (12.48125556315582 55.67231413747788),12.48125556,55.67231414,Peter Montgomery,"PSC 7923, Box 0225
APO AP 33359",2500,Valby,,http://valbyidraetspark.kk.dk,9
idraetsanlaeg_hal.5,POINT (12.538605691553606 55.659685661799294),12.53860569,55.65968566,Theodore Mcgrath,"207 Mccullough Well Suite 564
New Hannah, WA 10865",2450,København SV,bavnehoj@kff.kk.dk,http://bavnehojidraetsanlaeg.kk.dk,3
idraetsanlaeg_hal.6,POINT (12.540914655778298 55.66203272023012),12.54091466,55.66203272,Stephanie Collins,"423 Bell Heights
Brittanyberg, ME 51359",2450,København SV,ps@copenhagenskatepark.dk,http://copenhagenskatepark.dk/,6
idraetsanlaeg_hal.7,POINT (12.599955549189753 55.6502299787168),12.59995555,55.65022998,Stephanie Sutton,"93523 Dana Lane
Johnsonshire, WI 87296",2300,København S,Sundby_Idraetspark@kff.kk.dk,http://sundbyidraetspark.kk.dk,27
idraetsanlaeg_hal.8,POINT (12.515352420377448 55.69983427823777),12.51535242,55.69983428,Brian Hamilton,"1427 Odonnell Rapids
North Troyport, NH 07035",2400,København NV,infogroendal@kff.kk.dk,http://grondalmulticenter.kk.dk/,13
idraetsanlaeg_hal.9,POINT (12.48329451925535 55.71107398289949),12.48329452,55.71107398,Susan Levy,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",2700,Brønshøj,Infogroendal@kff.kk.dk,http://tingbjergidraetspark.kk.dk/,17
idraetsanlaeg_hal.10,POINT (12.518410458454664 55.69997705233909),12.51841046,55.69997705,Sean Green,"76104 Marsh Crescent
Dennishaven, SD 85034",2400,København NV,Infogroendal@kff.kk.dk,http://genforeningspladsen.kk.dk,11
idraetsanlaeg_hal.11,POINT (12.574848907878387 55.70476658967722),12.57484891,55.70476659,Kimberly Smith,"0003 Grant Lakes
Port Karafort, SD 60619",2100,København Ø,Idraetshuset@kff.kk.dk,http://idraetosterbro.kk.dk/,35
idraetsanlaeg_hal.12,POINT (12.610874447037068 55.66669863807009),12.61087445,55.66669864,Jennifer Summers,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",2300,København S,,http://prismen.kk.dk/,2
idraetsanlaeg_hal.13,POINT (12.533731221005159 55.72574269628036),12.53373122,55.7257427,April Snyder,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",2400,København NV,Emdrupparken@kff.kk.dk,http://emdrupparken.kk.dk/,8
idraetsanlaeg_hal.14,POINT (12.51374484498654 55.64979875451196),12.51374484,55.64979875,Dana Nguyen,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",2450,København SV,vagtvalbyip@kff.kk.dk,http://valbyidraetspark.kk.dk,31
idraetsanlaeg_hal.15,POINT (12.51650970036497 55.649381381010166),12.5165097,55.64938138,Cheryl Bradley,"30601 Hawkins Highway
Morashire, TX 28976",2450,København SV,valby_hallen@kff.kk.dk,http://valbyhallen.kk.dk,32
idraetsanlaeg_hal.16,POINT (12.476963324938017 55.68638759776497),12.47696332,55.6863876,Walter Pratt,"49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",2720,Vanløse,moslaa@kff.kk.dk,http://vanloseidraetspark.kk.dk,33
