col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
-100,-100,,work,,1234,,,,,,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
1,1,,work,,123 Main St.,,Chicago,IL,60022,US,,false,,,1.0,2012-11-14T16:39:07.000,1.0,2012-11-14T16:39:07.000,0.0
4,4,,work,,123 Main St.,,Rolling Meadows,IL,60008,US,,false,,,1.0,2012-11-14T16:39:07.000,1.0,2012-11-14T16:39:07.000,0.0
50,2,50.0,work,,test,lake view,Erie,,,,,false,,,1.0,2012-11-15T15:38:07.000,1.0,2012-11-15T15:38:07.000,0.0
53,2,53.0,work,,test,lake view,Erie,,,,,false,,,1.0,2012-11-15T15:38:07.000,1.0,2012-11-15T15:38:07.000,0.0
54,3,54.0,work,,test,lake view,Erie,,,,,false,,,1.0,2012-11-15T15:38:07.000,1.0,2012-11-15T15:38:07.000,0.0
109,213,109.0,work,,2101 East Kemper Road,,Cincinnati,OH,45241,US,,false,,,1.0,2012-11-15T15:38:07.000,1.0,2012-11-15T15:38:07.000,0.0
110,206,110.0,work,,DISTRIBUTION CENTER,2900 AIRPORT DRIVE,MADERA,CA,93637,US,,false,,,1.0,2012-11-15T15:38:07.000,1.0,2012-11-15T15:38:07.000,0.0
124,124,,work,,test,,NORTH YORK,ON,M2J 4W8,,,false,243 CONSUMERS ROAD,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
125,125,,work,,test,,NORTH YORK,ON,M2J 4W8,,,false,243 CONSUMERS ROAD,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
126,126,,work,,test,,NORTH YORK,ON,M2J 4W8,,,false,243 CONSUMERS ROAD,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
202,202,,work,,3025 S LAS VEGAS BLVD,,LAS VEGAS,NV,89109,,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
203,203,,work,,P O BOX X,,GRAND RAPIDS,MI,49501,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
204,204,,work,,P O BOX 359,,MILWAUKEE,WI,53201,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
205,205,,work,,101 Main St.,VENDOR ,,,,,,,,,,,,,
206,206,,work,,P O BOX 28920,,FRESNO,CA,93729,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
207,207,,work,,1525 WASHINGTON ST,,BRAINTREE,MA,02184,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
208,208,,work,,PO BOX 9215,,BOSTON,MA,02209,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
209,209,,work,,PO BOX 9126,MDSE A/P VENDOR ,,,,,,,,,,,,,
210,210,,work,,311 W. MAIN,,LEWISTOWN,MT,59457,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
211,211,,work,,BON MARCHE-VNDR RELATIONS,P O BOX 415785,CINCINNATI,OH,45241,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
212,212,,work,,BURDINES DIV-VNDR REL,P O BOX 415783,CINCINNATI,OH,45241,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
213,213,,work,,1000 Nicollet Mall,,Minneapolis,MN,55403,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
214,214,,work,,608 Southwest 8th Street,,Bentonville,AR,72716,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
215,215,,work,,"ACOSTA, INC.",,,,,,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
216,216,,work,,VENDOR NUMBER: 12837-00,PO BOX 34622,SEATTLE,WA,98124-1622,,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
217,217,,work,,Nagpur,Cosmos Town,Nagpur,,66639,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
218,218,,work,,,,AVILLE,AR,72716,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
219,219,,work,,,,BVILLE,AR,72717,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
220,220,,work,,,,CVILLE,AR,72718,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
221,221,,work,,,,DVILLE,AR,72719,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
222,222,,work,,,,EVILLE,AR,72711,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
223,223,,work,,,,FVILLE,AR,72712,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
224,224,,work,,,,GVILLE,AR,72713,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
225,225,,work,,,,HVILLE,AR,72714,US,,false,,,1.0,2012-11-15T15:38:10.000,1.0,2012-11-15T15:38:10.000,0.0
