col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
"2566 Seth Station Apt. 852
East Sean, MS 56506",str,str,int,int,str,str,int,str,str,int
"337 Brenda Causeway Suite 031
West Brian, TX 23225","Ordsall Lane, Salford, M5 4TD",M5 4TD,"137,495
        PCM  
        
        
        
        
        
        
          
         Deposit: 824970 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold,Sold,Apartment,2 bedroom(s),36.30 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=747",201
"184 Jenkins Center Suite 977
Janetborough, KY 06036","Chapel Street, Salford, M3 5DW",M3 5DW,"189,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 1139700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold STC,Sold STC,Apartment,2 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=782",202
"0402 Kristin Springs
New Randy, IN 59968","Homestead Road, Stockport, SK12 2JN",SK12 2JN,"675,000
        PCM  
        
        
        
        
        
        
          
         Deposit: 4050000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,Apartment,2 bedroom(s),152.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=759",203
"155 Barry Glens
New Bradleystad, IL 69250","South Drive, Manchester, M21 8DY",M21 8DY,"549,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 3299700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,House,3 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=786",205
"4486 Olson Well
North Kevin, CA 01707","B6, Manchester, M1 5BY",M1 5BY,"950,000
        PCM  
        
        
        
        
        
        
          
         Deposit: 5700000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,Apartment,2 bedroom(s),320.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=784",206
"67771 Christopher Courts Apt. 637
Port Ronaldfurt, HI 33233","Sefton Street, Liverpool, L8 5RS",L8 5RS,"109,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 659700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold,Sold,Apartment,1 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=731",207
"5561 Bishop Turnpike
Lake Kenneth, NY 79756","Adelphi Street, Salford, M3 6EN",M3 6EN,"174,995
        PCM  
        
        
        
        
        
        
          
         Deposit: 1049970 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold,Sold,Apartment,3 bedroom(s),85.10 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=713",208
"3019 Gerald Mall Apt. 340
Trevinoville, SD 36216","Media City UK, Salford, M50 2BA",M50 2BA,"178,500
        PCM  
        
        
        
        
        
        
          
         Deposit: 1071000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,Apartment,2 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=797",211
"84331 Leonard Fort Suite 749
East Lisa, NY 43477","Pilgrims Way, Salford, M50 1AU",M50 1AU,"695.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 4170 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",To let,To let,Apartment,2 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=515",212
