col0,col1,col2,col3,col4,col5,col6,col7,col8
1,钱思聪,98537,2014-04-30 23:33:51,1,116.449607-39.992065;116.461321-39.986316;116.454062-39.978466;116.443426-39.983497,2014-04-30 23:33:51,2014-04-30 23:33:51,
2,衡畅畅,59976,2006-03-22 04:03:32,2,116.443067-39.982944;116.453631-39.9783;116.447451-39.972771;116.438827-39.976365,2006-03-22 04:03:32,2006-03-22 04:03:32,
3,释成龙,30448,2013-04-28 10:36:17,3,116.454422-39.978355;116.461536-39.985929;116.469369-39.980898;116.459811-39.974264,2013-04-28 10:36:17,2013-04-28 10:36:17,
4,鄞德曜,34772,2008-02-21 01:57:24,4,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2008-02-21 01:57:24,2008-02-21 01:57:24,
6,校锐达,86980,2004-09-02 20:37:42,6,116.447307-39.972439;116.4532-39.968347;116.449894-39.965471;116.439186-39.96525,2004-09-02 20:37:42,2004-09-02 20:37:42,
7,良安晏,27787,2006-06-07 03:43:36,7,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2006-06-07 03:43:36,2006-06-07 03:43:36,
8,环鹏赋,87686,2019-05-11 00:36:32,8,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2019-05-11 00:36:32,2019-05-11 00:36:32,
9,江慕梅,84144,2018-05-02 13:52:36,9,116.449607-39.992065;116.461321-39.986316;116.454062-39.978466;116.443426-39.983497,2018-05-02 13:52:36,2018-05-02 13:52:36,
10,湛雨凝,18487,2013-12-08 02:40:15,10,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2013-12-08 02:40:15,2013-12-08 02:40:15,
12,廉友菱,67192,2000-07-12 00:00:43,12,116.447307-39.972439;116.4532-39.968347;116.449894-39.965471;116.439186-39.96525,2000-07-12 00:00:43,2000-07-12 00:00:43,
13,单君豪,49572,2014-02-10 18:40:33,13,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2014-02-10 18:40:33,2014-02-10 18:40:33,
14,卫慧君,25579,2017-12-15 19:34:12,14,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2017-12-15 19:34:12,2017-12-15 19:34:12,
15,宣凌波,62465,2001-10-27 02:37:46,15,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2001-10-27 02:37:46,2001-10-27 02:37:46,
17,益芸芸,46621,2002-02-28 08:33:49,17,116.447307-39.972439;116.4532-39.968347;116.449894-39.965471;116.439186-39.96525,2002-02-28 08:33:49,2002-02-28 08:33:49,
18,杞奇文,80101,2000-04-28 03:34:41,18,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2000-04-28 03:34:41,2000-04-28 03:34:41,
19,友弘壮,35884,2014-04-22 20:52:43,19,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2014-04-22 20:52:43,2014-04-22 20:52:43,
20,漆以南,57051,2009-05-04 18:36:52,20,116.449607-39.992065;116.461321-39.986316;116.454062-39.978466;116.443426-39.983497,2009-05-04 18:36:52,2009-05-04 18:36:52,
21,满香馨,85644,2008-02-07 01:46:50,21,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2008-02-07 01:46:50,2008-02-07 01:46:50,
23,菅靖巧,62716,2009-09-22 17:51:50,23,116.447307-39.972439;116.4532-39.968347;116.449894-39.965471;116.439186-39.96525,2009-09-22 17:51:50,2009-09-22 17:51:50,
24,宰雁桃,56183,2009-11-18 20:17:59,24,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2009-11-18 20:17:59,2009-11-18 20:17:59,
25,蒋兴邦,70753,2012-03-31 21:53:27,25,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2012-03-31 21:53:27,2012-03-31 21:53:27,
27,帖晗晗,76262,2002-04-22 16:03:18,27,116.447307-39.972439;116.4532-39.968347;116.449894-39.965471;116.439186-39.96525,2002-04-22 16:03:18,2002-04-22 16:03:18,
28,奈元魁,98138,2007-02-10 04:18:47,28,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2007-02-10 04:18:47,2007-02-10 04:18:47,
29,穰采文,63525,2015-07-17 06:47:43,29,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2015-07-17 06:47:43,2015-07-17 06:47:43,
30,绍善和,54783,2008-10-10 07:24:03,30,116.449607-39.992065;116.461321-39.986316;116.454062-39.978466;116.443426-39.983497,2008-10-10 07:24:03,2008-10-10 07:24:03,
31,问奇迈,27602,2017-03-13 09:15:50,31,116.453847-39.978079;116.45974-39.974042;116.453559-39.968679;116.447882-39.972384,2017-03-13 09:15:50,2017-03-13 09:15:50,
33,谬夜雪,40444,2002-08-19 03:52:14,33,116.447307-39.972439;116.4532-39.968347;116.449894-39.965471;116.439186-39.96525,2002-08-19 03:52:14,2002-08-19 03:52:14,
