col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
Norma Fisher,42,-,Nigeria,End of career,123,1986-03-28,Main position:Left-Back,Norma Fisher,left,"1,86 m","Oct 1, 2007",41/5,,3444.0,Nigeria,Port Tammy,,,Defence - Left-Back,2003-07-12,1403,
Jorge Sullivan,47,-,Jugoslawien (SFR),End of career,123,1979-09-12,Main position:Attacking Midfield,Jorge Sullivan,left,"1,70 m","Jan 1, 2005",39/3,,17335.0,Serbia,Davismouth,,,Midfield - Attacking Midfield,2014-12-06,3627,
Elizabeth Woods,43,-,Poland,End of career,123,2006-12-14,Main position:Left-Back Side position: Left Midfield Left Wing,Elizabeth Woods,left,"1,81 m","Jul 1, 2008",36/1,Tomasz Rząsa,3442.0,Poland,Rodriguezside,No agent,96.0,Defence - Left-Back,2013-08-20,4373,
Susan Wagner,44,-,Jugoslawien (SFR),End of career,123,2000-06-26,Main position:Right-Back,Susan Wagner,right,"1,82 m","Jun 1, 2007",60/0,,17335.0,Serbia,Jasmineside,,,Defence - Right-Back,2017-08-26,7076,http://zoranmirkovic.tripod.com/
Peter Montgomery,43,-,Jugoslawien (SFR),End of career,123,1976-03-17,Main position:Keeper,Peter Montgomery,right,"1,97 m","Jan 1, 2010",1/0,,17335.0,Serbia   Montenegro,Lisaside,PEOPLE,1332.0,Goalkeeper,1994-04-27,9211,
Theodore Mcgrath,36,-,Jugoslawien (SFR),End of career,123,1975-06-23,Main position:Keeper,Theodore Mcgrath,right,"1,98 m","Jul 1, 2012",,Đorđe Pantić,,Serbia,Port Carrie,ST Sportmarketing,159.0,Goalkeeper,1975-08-10,10285,http://www.pantic.de
Stephanie Collins,38,-,Jugoslawien (SFR),End of career,123,1991-10-13,Main position:Left-Back,Stephanie Collins,left,"1,79 m","Jul 1, 2007",5/0,Никола Малбаша,23380.0,Serbia,Seanfurt,MaWa Consult,381.0,Defence - Left-Back,1992-01-27,10290,
Stephanie Sutton,32,-,Jugoslawien (SFR),Unattached,515,2004-07-25,Main position:Centre Forward,Stephanie Sutton,left,"1,92 m","Jan 26, 2016",,Џенан Радончић,,Montenegro   Croatia,Barbaraport,,,Striker - Centre Forward,2011-09-13,10294,
Brian Hamilton,36,-,Jugoslawien (SFR),IFK Berga,23603,2003-04-19,Main position:Centre Back,Brian Hamilton,right,"1,83 m","Jan 1, 2016",14/1,Ненад Ђорђевић,23380.0,Serbia,East Lori,,,Defence - Centre Back,1977-11-07,10297,
Susan Levy,41,-,Jugoslawien (SFR),End of career,123,1977-06-03,Main position:Defensive Midfield,Susan Levy,right,"1,74 m","Jul 1, 2009",10/0,,23380.0,Serbia   Hungary,New Tinaview,,,Midfield - Defensive Midfield,2003-02-07,10301,
Sean Green,37,-,Jugoslawien (SFR),Unknown,75,1990-07-07,,Sean Green,left,"1,75 m","Jul 1, 2012",2/1,,17335.0,Montenegro,Jonesberg,No agent,96.0,Striker,2009-12-13,14538,
Kimberly Smith,31,-,Jugoslawien (SFR),Unattached,515,2007-07-07,Main position:Centre Forward,Kimberly Smith,both,"1,82 m","Dec 1, 2015",1/1,Hикoлa Гpубjeшић,33289.0,Serbia,North Megan,Isaac Guardiola,3055.0,Striker - Centre Forward,2012-11-18,19155,
Jennifer Summers,35,-,Jugoslawien (SFR),End of career,123,1989-10-23,Main position:Centre Forward,Jennifer Summers,right,"1,83 m","Jul 1, 2014",3/0,Srđan Radonjić,11953.0,Montenegro,Masseyhaven,ST Sportmarketing,159.0,Striker - Centre Forward,1992-10-25,19166,
April Snyder,34,-,,Unknown,75,2018-01-30,Main position:Attacking Midfield,April Snyder,left,"1,77 m","Jul 1, 2010",,,,Serbia,Aimeebury,,,Midfield - Attacking Midfield,1982-12-15,24817,
Dana Nguyen,32,-,Jugoslawien (SFR),NK Olimpija Ljubljana,4772,1978-06-30,Main position:Right Wing Side position: Attacking Midfield Centre Forward,Dana Nguyen,right,"1,82 m","Feb 8, 2016",0/0,Мирослав Радовић,3438.0,Serbia   Poland,Lake Brittany,TBSA,3694.0,Midfield - Right Wing,1986-07-16,27235,
Cheryl Bradley,30,-,Jugoslawien (SFR),Enosis Neon Paralimni,840,2007-04-03,Main position:Right Wing Side position: Attacking Midfield Left Wing,Cheryl Bradley,left,"1,80 m","Jul 18, 2015",45/2,Симон Вукчевић,11953.0,Montenegro,Rileymouth,UNLIMITED SOCCER,1476.0,Midfield - Right Wing,1971-02-07,27239,
