col0,col1,col2,col3,col4,col5,col6,col7
03/26/2016,Road,Race,Men,Pro/Cat,1/2/3/4/5,,
"Place,License",,,,,,,
"1,212282,Michael,BOOTH,Salt",Lake,"City,UT,2:11:41,Team",Plan,7,,,
"2,262949,Cortlan,BROWN,Woods","Cross,UT,2:11:41,Canyon",Bicycles,-,Shimano,,,
"3,337310,Robert,SMALLMAN,Alpine",",UT,2:11:41,Endurance",360,,,,,
"4,161560,Jason,CASTOR,Salt",Lake,"City,UT,2:11:43,Contender",,,,,
"5,276490,Will,HANSON,Draper,UT,2:11:48,Ski",City,Cycling,,,,,
"6,2294,Tom,BAIRD,Shelley,ID,2:11:48,Team",Bill's,Bike,and,Run,,,
"7,500025,Vigen,Sarkisian,Lt",Lake,"City,UT,2:11:48,",,,,,
"8,376867,Rich,MORRIS,South","Jordan,UT,2:11:48,Adobe",Cycling,,,,,
"9,425840,Kevin,SMITH,Draper,UT,2:11:48,PLAN7",DS,Cycling,Team,,,,
"10,301111,Charlie,MACFARLANE,Salt",Lake,"City,UT,2:11:48,FFKR",Velosport,racing,,,
"11,330984,Shawn,HALL,Salt",Lake,"City,UT,2:11:48,Total.CARE",,,,,
"12,376424,Ernesto,JIMENEZ,Salt",Lake,"City,UT,2:11:49,Plan7",DS,,,,
"13,299675,Gary,HURST,Saltlakecity,UT,2:11:49,Cicada",Racing,Inc.,P/B,Mark,Mi,,
"14,442997,John,WHEELER,Akron,OH,2:11:49,Utah",State,University,,,,,
"15,467674,Lee,SCHULTZ,Centerville,UT,2:11:49,Total.CARE",,,,,,,
"16,291424,Liam,ODONNELL,Murray,UT,2:11:49,Cicada",Racing,Inc.,P/B,Mark,Mi,,
"17,448291,Nathan,MANWARING,Morgan,UT,2:11:49,Total.CARE",,,,,,,
"18,15338,David,HARWARD,Salt",Lake,"City,UT,2:11:50,PLAN7",DS,,,,
"19,458047,Darrin,TUCKETT,Farmington,UT,2:11:50,Total.CARE",,,,,,,
"20,494844,Jesse,DUNN,Logan,UT,2:11:53,Total.Care",,,,,,,
"21,314716,Jacob,KAPP,Clinton,UT,2:11:53,LiVe",Well,p/b,Bountiful,Bicycl,,,
"22,58077,Greg,SIRONEN,Greenville",",SC,2:11:56,Canyon",bicycles,shimano,,,,
"23,394823,Daniel,MARSH,Salt",Lake,"City,UT,2:11:56,Cicada",Racing,Inc.,P/B,Mark,Mi
"24,246986,Jedd,COX,Paradise,UT,2:12:04,Cicada",,,,,,,
"25,334296,Thomas,FOWLER,Salt",Lake,"City,UT,2:12:04,PLAN7",DS,,,,
"26,433654,Kevin,GIBSON,Pocatello",",ID,2:12:04,ICE",/,ABC,Advantage,Business,C,
"27,487050,Ryan,SMITH,Lehi,UT,2:12:04,Zone",Five,Racing,,,,,
"28,311977,Samuel,DEARDEN,West",Valley,"City,UT,2:12:04,Plan",7,DS,,,
"30,498959,Andy,BOYER,Sandy,UT,2:12:04,Zone",5,Racing,,,,,
"31,306161,Tj,STONE,Lehi,UT,2:20:52,A",Bloc,Cycling,,,,,
"32,295636,Scott,JOHNSTON,Herriman,UT,2:20:52,Zone",Five,Racing,,,,,
"33,279040,Steve,ALBRECHT,Lehi,UT,2:20:52,Ski",City,Cycling,,,,,
"34,377406,Billy,RAPPLEYE,Draper,UT,2:20:53,Zone",Five,Racing,,,,,
"35,378767,Troy,HUEBNER,Orem,UT,2:20:54,Zone",Five,Racing,,,,,
"36,281812,Stephen,ROGERS,Lehi,UT,2:20:57,Zone",Five,Racing,,,,,
"37,311845,Roger,ARNELL,Pleasant","Grove,UT,2:20:54,Team",Endurance360,,,,,
"38,488303,Curtis,COLE,Roy,UT,2:20:54,Biker's",Edge,,,,,,
"39,388576,Andres,MARICQ,Salt",Lake,"City,UT,2:20:54,",,,,,
"40,244823,Terry,STONE,Draper,UT,2:20:54,A",Bloc,,,,,,
"41,300698,Paul,SCOTT,Belton,TX,2:20:57,Plan7",DS,,,,,,
"42,495201,Adam,URIBE,Riverton,UT,2:20:57,Premier",Credit,Cycling,,,,,
"43,402086,Parker,SMITH,Sandy,UT,2:20:57,a",Bloc,,,,,,
"44,110954,Jason,DURAN,South","Jordan,UT,2:21:03,Zone",Five,Racing,,,,
"45,268968,Eric,GARDINER,Salt",Lake,"City,UT,2:21:03,PLAN7",DS,Cycling,Team,,
"46,57141,Cameron,HOFFMAN,Clearfield,UT,2:21:07,Team",Endurance360,,,,,,
"47,501039,Christopher,MARDEN,Pleasant","Grove,UT,2:21:20,",,,,,,
"48,91576,Andre,GONZALEZ,Lehi,UT,2:32:29,Ski",City,Cycling,,,,,
"49,400395,Danny,STATEN,Sandy,UT,2:21:20,Zone",Five,,,,,,
"50,21418,Andrew,LOCK,Midvale,UT,2:11:49,",,,,,,,
"51,425916,Ryan,KENDRICK,Draper,UT,2:35:52,Premier",Credit,,,,,,
"52,420121,Tim,VALDEZ,South","Jordan,UT,2:35:52,PREMIER",CREDIT,RACING,TEAM,,,
