col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37
SP-08594/2020,ITAPEVI,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02481/2020,MONTIVIDIU,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-08608/2020,LAJEADO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-01565/2020,RECIFE,https://m.leiaja.com/politica/2020/09/23/no-recife-marilia-arraes-lidera-pesquisa-com-191/,1,p,0.0,,,MARÍLIA ARRAES,"7,1",JOÃO CAMPOS,5,MENDONÇA FILHO,"3,9",PATRÍCIA DOMINGOS,"3,9",,,,,,,,,,,,,,,,,,,,,,
PE-01565/2020,RECIFE,https://m.leiaja.com/politica/2020/09/23/no-recife-marilia-arraes-lidera-pesquisa-com-191/,1,p,1.0,,,MARÍLIA ARRAES,"19,1",JOÃO CAMPOS,"14,3",MENDONÇA FILHO,"13,5",PATRÍCIA DOMINGOS,"12,5",MARCO AURÉLIO,"3,3",ALBERTO FEITOSA,"2,3",,,,,,,,,,,,,,,,,,
BA-07917/2020,BAIXA GRANDE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02638/2020,SALVADOR,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-03212/2020,URUAÇU,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09007/2020,FEIRA DE SANTANA,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-feira-de-santana-setembro-2020-2/,1,P,1.0,,,COLBERT MARTINS,"27,9",ZE NETO,"24,9",CARLOS GEILSON,"12,2",PROFESSORA DAYANE PIMENTEL,"7,5",ROBERTO TOURINHO,"4,3",JOSÉ DE ARIMATEIA,"2,5",CARLOS MEDEIROS,"2,1",,,,,,,,,,,,,,,,
BA-09007/2020,FEIRA DE SANTANA,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-feira-de-santana-setembro-2020-2/,1,P,0.0,,,COLBERT MARTINS,"14,7",ZE NETO,"9,9",ROBERTO TOURINHO,"2,2",CARLOS GEILSON,"1,8",PROFESSORA DAYANE PIMENTEL,"1,8",CARLOS MEDEIROS,1,,,,,,,,,,,,,,,,,,
SC-02959/2020,CRICIÚMA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-07391/2020,SÃO PAULO,https://exame.com/brasil/exame-ideia-covas-vence-russomano-boulos-ou-franca-no-2o-turno-em-sp/,1,P,1.0,,,BRUNO COVAS,22,CELSO RUSSOMANNO,21,GUILHERME BOULOS,11,MARCIO FRANÇA,10,ANDREA MATARAZZO,4,JILMAR TATTO,3,ARTHUR DO VAL,2,JOICE HASSELMANN,1,LEVY FIDELIX,1.0,VERA LUCIA,1.0,ORLANDO SILVA,1.0,ANTONIO CARLOS,1.0,,,,,,
SP-06594/2020,SÃO PAULO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-07788/2020,CACHOEIRA DO SUL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-01360/2020,SENADOR CANEDO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
