col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70
,,,Carytown,,,,,,@p:demo:r:23a44701-a89a6c66 Carytown,,,,,,3504 W Cary St,VA,Richmond,,@p:demo:r:23a44701-67faf4db Richmond,,,,Retail Store,,US,97801,,,,,New_York,,,,,,"@p:demo:r:23a44701-1af1bca9 Richmond, VA",10:00:00,1996.0,,20:00:00,,,,,,,,,,,804.552.2222,✓,"C(37.555385,-77.486903)",,Norma Fisher,,✓,,3149.0ft²,1.0,,"3504 W Cary St, Richmond, VA",Richmond,,,,,,
,,,Tariff His,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p:demo:r:23a44701-bbc36976 Tariff His,,,,,,,,,,,,,,,,,54909,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,,,,,,,,,,,✓,,✓,,,,,,,,Str,Jorge Sullivan,,,✓,,,,,,,,,p:demo:r:23a44701-bbc36976.zinc,,
,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-4ea35663 Carytown RTU-1 ZoneTempSp,,,,,✓,,,,°F,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,29076,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,✓,,13.0,,,,,,,,,✓,,,,,,cov,,,,Number,Elizabeth Woods,,,✓,,,,,,✓,,,p:demo:r:23a44701-4ea35663.zinc,,
,,,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p:demo:r:23a44701-3940e690 Carytown ElecMeter-Main kW,,✓,,✓,,,,,kW,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,62985,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,✓,,,,12.0,,,,,,,,,,,,,✓,,sampled,,,,Number,Susan Wagner,,,✓,,,,,,,,,p:demo:r:23a44701-3940e690.zinc,,
,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-27a8a001 Carytown RTU-1 ZoneTemp,,,,,✓,,,,°F,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,64576,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,✓,✓,,2.0,,,,,,,,,,,,,✓,,sampled,,,,Number,Peter Montgomery,,,✓,,,,,,,,,p:demo:r:23a44701-27a8a001.zinc,,
✓,,,,,,,,,@p:demo:r:23a44701-3624929f Carytown Misc,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,✓,,,,,,91556,,,@p:demo:r:23a44701-a89a6c66 Carytown,,,,,,,,,,,,,,,,,,,,,,,,,,,Theodore Mcgrath,,,,,,,,,,,,,,
,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-423ebf02 Carytown RTU-1 DischargeTemp,,,,,,,,,°F,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,66242,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,✓,✓,23.0,,,,,,,,,,,,,✓,,sampled,,,,Number,Stephanie Collins,,,✓,,,,,,,,,p:demo:r:23a44701-423ebf02.zinc,,
,,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-3a62fd7a Carytown RTU-1 Heat-2,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,42213,✓,2.0,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,✓,,,10.0,,,,,,✓,,,,✓,,,,,cov,,,,Bool,Stephanie Sutton,,,✓,,,,,,,"off,on",,p:demo:r:23a44701-3a62fd7a.zinc,,
,,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-18bbbd7e Carytown RTU-1 Heat-1,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,65082,✓,1.0,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,✓,,,14.0,,,,,,✓,,,,✓,,,,,cov,,,,Bool,Brian Hamilton,,,✓,,,,,,,"off,on",,p:demo:r:23a44701-18bbbd7e.zinc,,
,,✓,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p:demo:r:23a44701-f299239f Carytown ElecMeter-Main Cost,,,,✓,,,,,$,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,85967,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,,13.0,,,,,,,,,,,,,✓,,sampled,,,,Number,Susan Levy,,,✓,,,,,,,,,p:demo:r:23a44701-f299239f.zinc,,
