col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
A1234582,M,Norma Fisher,Norma Fisher,Norma Fisher,,1982-07-15,LISINOPRIL,Kayli Schmeler,10000000047,,White,Non-Hispanic,No,,078-09-1820,Shelter,8/2/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.890,2018-05-09 18:16:01.890
13,F,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,,1981-08-21,"ACETAMINOPHEN, AMOXICILLIN, ASPIRIN, ATENOLOL, AZITHROMYCIN, BEE STING (NO ALERT), CHERRIES, CHLORTHALIDONE, HALOPERIDOL LACTATE, HYDROCODONE-ACETAMINOPHEN, IBUPROFEN, MEPERIDINE (PF), NSAIDS (NON-STEROIDAL ANTI-INFLAMMATORY DRUG), PEANUTS (NO ALERT), PENICILLIN",Mabelle Tillman,10000000066,,White,Non-Hispanic,No,,233-77-5389,Supportive Housing,8/3/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.891,2018-05-09 18:16:01.891
A1234624,M,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,,1959-01-13,"CHERRIES, FISH CONTAINING PRODUCTS, KETOCONAZOLE, NALTREXONE ANALOGUES, PENICILLIN, RISPERIDONE, SHELLFISH CONTAINING PRODUCTS, STRAWBERRY",Ezequiel Hane,10000000062,,White,Hispanic,No,,491-27-8629,Other,8/4/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.892,2018-05-09 18:16:01.892
A1234595,M,Susan Wagner,Susan Wagner,Susan Wagner,,1979-11-26,"ASPIRIN, LACTOSE",Jody McKenzie,10000000034,,Black,Non-Hispanic,No,,292-61-5408,Street,8/5/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.893,2018-05-09 18:16:01.893
A1234578,F,Peter Montgomery,Peter Montgomery,Peter Montgomery,Deon Schiller,1992-08-07,"BUSPIRONE, CLONAZEPAM, CODEINE, DIVALPROEX, FLUOXETINE, HALOPERIDOL, SERTRALINE",Carlee Strosin,10000000009,,White,Non-Hispanic,No,,505-40-9814,Shelter,8/6/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.894,2018-05-09 18:16:01.894
A1234608,M,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,Aisha Johnston,1998-03-01,,,10000000028,,White,Non-Hispanic,No,,275-01-3194,Unknown,8/7/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.895,2018-05-09 18:16:01.895
A1234577,F,Stephanie Collins,Stephanie Collins,Stephanie Collins,Sebastian Goldner,1967-09-28,,Aisha Johnston,10000000024,,Black,Non-Hispanic,No,,885-92-9925,Housing with no Supportive Services,8/8/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.896,2018-05-09 18:16:01.896
A1234600,M,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,Randy Kulas,1958-12-26,"BEE STING (NO ALERT), SULFAMETHOXAZOLE-TRIMETHOPRIM, VANCOMYCIN",Sebastian Goldner,10000000003,,White,Non-Hispanic,No,,534-20-7817,Street,8/9/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.897,2018-05-09 18:16:01.897
A1234586,F,Brian Hamilton,Brian Hamilton,Brian Hamilton,Marty Zieme,1981-03-27,"METRONIDAZOLE HCL, QUETIAPINE, SULFAMETHOXAZOLE-TRIMETHOPRIM",Randy Kulas,10000000012,,Black,Non-Hispanic,No,,554-15-9807,Housing with no Supportive Services,8/10/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.898,2018-05-09 18:16:01.898
A1234604,M,Susan Levy,Susan Levy,Susan Levy,,1962-08-09,,,10000000052,,White,Unknown,,,656-57-6631,Street,8/11/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.899,2018-05-09 18:16:01.899
A1234613,M,Sean Green,Sean Green,Sean Green,,1971-05-25,HALOPERIDOL,Leonardo Fahey,10000000026,,White,Non-Hispanic,No,,704-52-7911,Shelter,8/12/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.900,2018-05-09 18:16:01.900
A1234620,F,Kimberly Smith,Kimberly Smith,Kimberly Smith,,1971-09-28,,,10000000002,,Unknown,Non-Hispanic,No,,117-11-1254,Shelter,8/13/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.901,2018-05-09 18:16:01.901
7,F,Jennifer Summers,Jennifer Summers,Jennifer Summers,,1978-11-14,,Niko Gusikowski,10000000007,,White,Non-Hispanic,,,116-41-3356,Transitional Housing or Residential Treatment Program,8/14/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.902,2018-05-09 18:16:01.902
A1234568,M,April Snyder,April Snyder,April Snyder,Leonardo Fahey,1991-06-02,,Nelle Sipes,10000000039,,Black,Non-Hispanic,Uncollected,,210-38-4335,Doubled Up,8/15/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.903,2018-05-09 18:16:01.903
A1234623,F,Dana Nguyen,Dana Nguyen,Dana Nguyen,Else Rutherford,1995-12-07,,Nellie Hermann,10000000020,,White,Non-Hispanic,No,,508-34-4999,Transitional Housing or Residential Treatment Program,8/16/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.904,2018-05-09 18:16:01.904
A1234619,M,Cheryl Bradley,Cheryl Bradley,Cheryl Bradley,Niko Gusikowski,1976-10-23,,Foster Terry,10000000040,,Unknown,Non-Hispanic,No,,390-81-0296,Doubled Up,8/17/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.905,2018-05-09 18:16:01.905
A1234614,F,Walter Pratt,Walter Pratt,Walter Pratt,Nelle Sipes,1977-04-20,,Jody Daugherty,10000000019,,White,Non-Hispanic,No,,655-03-0652,Shelter,8/18/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.906,2018-05-09 18:16:01.906
A1234596,M,Bobby Flores,Bobby Flores,Bobby Flores,Nellie Hermann,1971-12-19,ACETAMINOPHEN,Cierra Littel,10000000063,,Black,Non-Hispanic,No,,188-16-3040,Doubled Up,8/19/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.907,2018-05-09 18:16:01.907
A1234607,M,Tasha Rodriguez,Tasha Rodriguez,Tasha Rodriguez,,1980-05-06,,Julianne Stokes,10000000049,,White,Hispanic,Yes,,356-59-7451,Doubled Up,8/20/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.908,2018-05-09 18:16:01.908
A1234567,M,Michelle Kelley,Michelle Kelley,Michelle Kelley,,1993-11-28,,Marcus Brekke,10000000035,,Patient Refused,Hispanic,No,,842-11-8025,Housing with no Supportive Services,8/21/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.909,2018-05-09 18:16:01.909
A1234601,M,Kimberly Maynard,Kimberly Maynard,Kimberly Maynard,,1964-09-05,,Laurel Green,10000000038,,White,Non-Hispanic,No,,039-38-2392,Unknown,8/22/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.910,2018-05-09 18:16:01.910
A1234574,F,Laurie Wallace,Laurie Wallace,Laurie Wallace,,1999-08-29,,Dayne Reinger,10000000064,,White,Hispanic,,,155-91-5206,Doubled Up,8/23/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.911,2018-05-09 18:16:01.911
12,F,Janice Johnston,Janice Johnston,Janice Johnston,,1993-10-31,"CATS (NO ALERT), CODEINE, POLLEN (NO ALERT)",Clark Roob,10000000022,,White,Non-Hispanic,No,,452-79-7881,Shelter,8/24/2018 1:00:00 PM,SDH,2018-05-09 18:16:01.912,2018-05-09 18:16:01.912
A1234593,F,Collin Lopez,Collin Lopez,Collin Lopez,,1958-09-09,PENICILLINS,Lorenz Nicolas,10000000060,,White,Non-Hispanic,No,,211-90-6942,Housing with no Supportive Services,8/25/2018 1:00:00 PM,BH CP,2018-05-09 18:16:01.913,2018-05-09 18:16:01.913
