col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
124,Account Inc.,act124,568.0,false,,,,,,,,0.0,124.0,100.0,,,
125,Job Site,job125,568.0,false,,,,,,,,0.0,,101.0,,,
126,Job Site,job126,1352.0,false,,,,,,,,0.0,,101.0,,,
127,Belk Job ,,,,,,,,,,,,,,,,
128,Belk Job ,,,,,,,,,,,,,,,,
11528,Target Job,210055-1,1528.0,false,,,,,,,,0.0,11528.0,100.0,,,
11629,Target Northern Oper Job,240120-1,1629.0,false,,,,,,,,0.0,11629.0,100.0,,,
11663,Maritz Inc. Job,260460-1,1663.0,false,,,,,,,,0.0,11663.0,100.0,,,
11709,Toys R Us Job,310020-1,1709.0,false,,,,,,,,0.0,11709.0,100.0,,,
11713,Modecraft Fashions Job,310120-1,1713.0,false,,,,,,,,0.0,11713.0,100.0,,,
12241,"Sealy, Inc. Job",360610-1,2241.0,false,,,,,,,,0.0,12241.0,100.0,,,
12543,JC Penney Stores Job,460010-1,2543.0,false,,,,,,,,0.0,12543.0,100.0,,,
12695,Shopko Job,510100-1,2695.0,false,,,,,,,,0.0,12695.0,100.0,,,
12903,US Govt CC Job,F82000-1,2903.0,false,,,,,,,,0.0,12903.0,100.0,,,
13684,Kohls Job,I46880-1,3684.0,false,,,,,,,,0.0,13684.0,100.0,,,
14457,Wal-Mart Stores Trd Paybls Job,K40524-1,4457.0,false,,,,,,,,0.0,14457.0,100.0,,,
14620,General Motors Job,K41765-1,4620.0,false,,,,,,,,0.0,14620.0,100.0,,,
15790,JC Penney Parent Job,Q41150-1,5790.0,false,,,,,,,,0.0,,100.0,,,
15835,Marshall's Inc/Marmarx Grp Job,Q41867-1,5835.0,false,,,,,,,,0.0,15835.0,100.0,,,
15850,Frito-Lay Job,Q41968-1,5850.0,false,,,,,,,,0.0,15850.0,100.0,,,
15993,National Express Group Job,Q75592-1,5993.0,false,,,,,,,,0.0,,100.0,,,
16863,Kids R Us Job,S73215-1,6863.0,false,,,,,,,,0.0,16863.0,100.0,,,
17705,Macys Job,T70195-1,7705.0,false,,,,,,,,0.0,17705.0,100.0,,,
18024,Wal-Mart Parent Job,U15435-1,8024.0,false,,,,,,,,0.0,,100.0,,,
18029,Bob's Plumbing Supply Job,U15455-1,8029.0,false,,,,,,,,0.0,18029.0,100.0,,,
19829,JC Penney Sephora Job,X11000-1,9829.0,false,,,,,,,,0.0,19829.0,100.0,,,
19920,Walgreens Job,220920-1,9920.0,false,,,,,,,,0.0,19920.0,100.0,,,
19922,Safeway Job,41000020-1,9922.0,false,,,,,,,,0.0,19922.0,100.0,,,
19923,Kmart Management Corporation Job,241440-1,9923.0,false,,,,,,,,0.0,19923.0,100.0,,,
19933,JC Penney Brands Job,460350-1,9933.0,false,,,,,,,,0.0,19933.0,100.0,,,
19982,Hecht's Accounts Payable Job,X71140-1,9982.0,false,,,,,,,,0.0,19982.0,100.0,,,
20230,Nordstrom's Job,Y17000-1,10230.0,false,,,,,,,,0.0,20230.0,100.0,,,
355020,Sams Club Job,999999-1,345020.0,false,,,,,,,,0.0,355020.0,100.0,,,
