col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
Paykan,1970,1970-01-01,1970-01-01,"35mm film transferred  to digital format; color, sound, 22:37 min.",2014.32.8,104327,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104327,,,7108,Norma Fisher,Norma Fisher,,Iranian,2004-07-25,,Stewartbury,
Gahvareh Khorshid [Cradle of Sun],2001,2001-01-01,2001-01-01,"video; color, sound, 53:16 min.",2014.32.1,104332,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104332,,,7108,Jorge Sullivan,Jorge Sullivan,,Iranian,2003-04-19,,Ivanburgh,
The Silver Canvas,1965,1965-01-01,1965-01-01,"35mm film transferred  to digital format; black and white, sound, 14:39 min.",2014.32.13,104420,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104420,,,7108,Elizabeth Woods,Elizabeth Woods,,Iranian,1977-06-03,,New Tinaview,
Tile Fragment,no date,,,ceramic,20.H,240,,,Decorative Arts and Design,Not on View,4.187,0.313,3.5,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=240,,http://www.cmoa.org/CollectionImage.aspx?irn=1913&size=Medium,4388,Susan Wagner,Susan Wagner,,undetermined,1990-07-07,,Jonesberg,
Cup,1897,1897-01-01,1897-01-01,copper and brass,2012.53,100644,Gift of Eric Streiner,2013-02-14,Decorative Arts and Design,Not on View,0.0,5.625,0.0,6.0,http://www.cmoa.org/CollectionDetail.aspx?item=100644,,,1006588,Peter Montgomery,Peter Montgomery,,American,2007-07-07,,North Megan,
Tile Fragment,no date,,,ceramic,17.H,226,,,Decorative Arts and Design,Not on View,5.375,5.062,0.625,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=226,,http://www.cmoa.org/CollectionImage.aspx?irn=855&size=Medium,4388,Theodore Mcgrath,Theodore Mcgrath,,undetermined,1989-10-23,,Masseyhaven,
Pearls of the Persian Gulf: Dubai,1975,1975-01-01,1975-01-01,"35mm film transferred to digital format: color, sound, 43 min.",2014.32.5,104337,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104337,,,7108,Stephanie Collins,Stephanie Collins,,Iranian,2018-01-30,,Aimeebury,
Gli specchi [Mirrors],1964,1964-01-01,1964-01-01,"35mm film transferred  to digital format; black-and-white, sound, 9:36 min.",2014.32.7,104326,Gift of the artist,2014-06-26,Contemporary Art,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=104326,,,7108,Stephanie Sutton,Stephanie Sutton,,Iranian,1978-06-30,,Lake Brittany,
Figure of a Flying Sprite Kissing a Bird,no date,,,ivory,11853.400,101,,,Decorative Arts and Design,Not on View,4.062,10.688,4.125,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=101,H.J. Heinz collection,http://www.cmoa.org/CollectionImage.aspx?irn=814&size=Medium,3887,Brian Hamilton,Brian Hamilton,,European,2007-04-03,,Rileymouth,
Cup and Saucer,c. 1836-1842,1831-01-01,1847-01-01,transfer printed glazed earthenware,48.3.14-.15,15382,Gift of Mrs. Lillian I. Ball,,Decorative Arts and Design,Not on View,0.0,0.0,0.0,0.0,http://www.cmoa.org/CollectionDetail.aspx?item=15382,,http://www.cmoa.org/CollectionImage.aspx?irn=1237&size=Medium|http://www.cmoa.org/CollectionImage.aspx?irn=1238&size=Medium,1007310,Susan Levy,Susan Levy,,English,1992-08-23,1844-01-01,Kellerstad,
