col0,col1,col2,col3,col4,col5,col6
ACT,,Norma Fisher,North Ainslie Primary School,"900 Nguyen Villages Suite 063
Port Jessicatown, TX 55221",-35.255295,149.147507
ACT,,Jorge Sullivan,Amaroo School,"08913 Charlene Flat
Joshuaburgh, NJ 52496",-35.164513,149.128387
ACT,,Elizabeth Woods,Aranda Primary School,"7142 Wilson Drives
Melissaton, IL 89760",-35.255314,149.080322
ACT,,Susan Wagner,Neville Bonner Primary School,"9097 Bowman Landing Apt. 369
Alanberg, MA 44739",-35.161709,149.140756
ACT,,Peter Montgomery,Bonython Primary School,"9004 Edward Prairie
Michaelside, LA 15560",-35.430943,149.08252
ACT,,Theodore Mcgrath,Ainslie School,"42814 Houston Hills
Rodriguezside, NJ 62629",-35.273299,149.14173
ACT,,Stephanie Collins,Calwell High School,"71760 Rogers Spur Apt. 296
North Lindseyborough, IN 08516",-35.440746,149.117599
ACT,,Stephanie Sutton,Campbell Primary School,"8847 Kramer Station
South Christopher, KS 77208",-35.290752,149.155594
ACT,,Brian Hamilton,Chapman Primary School,"51108 Goodwin Flats Apt. 764
Lake Bobby, IL 82213",-35.356277,149.043015
ACT,,Susan Levy,St Thomas Aquinas Primary School,"6582 Vanessa Oval
New Richard, NE 68819",-35.205223,149.030483
ACT,,Sean Green,Charnwood-Dunlop School,"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",-35.198719,149.036179
ACT,,Kimberly Smith,Charles Weston School,"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",-35.322382,149.042317
ACT,,Jennifer Summers,Curtin Primary School,"891 Bullock Ford
Amandachester, NJ 51431",-35.330921,149.079758
ACT,,April Snyder,Canberra Girls Grammar School (Junior School),"02489 Cook Park
Sherriport, MT 50853",-35.312139,149.110754
ACT,,Dana Nguyen,Downer Community Centre,"23450 Timothy Divide
Wuland, UT 20341",-35.244885,149.144907
ACT,,Cheryl Bradley,Duffy Primary School,"0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",-35.33483,149.03324
ACT,,Walter Pratt,Evatt Primary School,"1097 Santos Springs Suite 264
New Michelleborough, WY 51884",-35.20725,149.0776
ACT,,Bobby Flores,Miles Franklin Primary School,"5100 Scott Burg
East Clayton, SC 66353",-35.213676,149.066147
ACT,,Tasha Rodriguez,Fadden Primary School,"412 Snow Manors Apt. 161
South Kimtown, NV 57004",-35.40374,149.11822
ACT,,Michelle Kelley,Farrer Primary School,"5415 David Square
West Michaeltown, IN 48447",-35.37812,149.10683
ACT,,Kimberly Maynard,St Francis Xavier College,"03104 Norris Rapids
Port Donald, DE 62982",-35.22626,149.04044
ACT,,Laurie Wallace,Burgmann Anglican School - Forde,"03557 Phillips Wells Suite 291
New Beverlyburgh, FL 16915",-35.17091,149.14284
ACT,,Janice Johnston,Fraser Primary School,"332 Watson Shore Apt. 290
Millerland, MT 39742",-35.191893,149.043024
ACT,,Collin Lopez,Garran Primary School,"645 John Roads
Danahaven, MS 54060",-35.344677,149.102936
ACT,,Mary Alvarez,Gilmore Primary School,"3547 Stephanie Underpass Apt. 418
Port Jacqueline, HI 55774",-35.418915,149.134659
ACT,,Peter Mcdowell,Giralang Primary School,"5825 Welch Corners
Fischerport, UT 59363",-35.21426,149.09521
ACT,,Sarah Villanueva,Gordon Primary School,"41489 Roger Terrace
Davisfort, IN 71770",-35.45644,149.086731
ACT,,Kimberly Myers,Gowrie Primary School,"014 Aaron Locks Suite 714
Justinborough, CO 05147",-35.413719,149.110703
ACT,,Desiree Cain,St Edmund's College,"8518 Pamela Track Apt. 164
Aprilshire, SC 28062",-35.323277,149.145721
ACT,,Stephanie Lawrence,Hall School Museum,"864 Ramos Port Apt. 211
Moralesmouth, OH 88090",-35.166896,149.069321
