col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
15242206,15240060,800000.0,1.0,0.244543,8.48814,0.0,255,0,6,4,4,5,0,0,1,1,41
16074695,0,1200.0,0.372245,0.0169662,0.776452,0.0,0,0,0,0,1,0,1,1,0,1,36
16241876,16238682,800000.0,1.0,0.138875,7.93988,0.0,255,0,6,4,4,5,0,0,1,1,41
17084558,0,1200.0,0.260571,0.0336726,0.369408,0.0,0,0,0,0,1,0,1,1,0,1,36
17232706,17231539,800000.0,1.0,0.138844,10.1017,0.0,255,0,6,4,4,5,0,0,1,1,41
18087925,0,1200.0,0.260571,0.0,0.44247,0.0,0,0,0,0,1,0,1,1,0,1,36
18232985,18232957,800000.0,1.0,0.138698,21.1908,0.0,255,0,6,4,4,5,0,0,1,1,41
19092448,0,1200.0,0.260571,0.0169235,0.405169,0.0,0,0,0,0,1,0,1,1,0,1,36
19236660,19232888,800000.0,1.0,0.138482,21.9609,0.0,255,0,6,4,4,5,0,0,1,1,41
20095884,0,1200.0,0.25787,0.0338819,0.579978,0.0,0,0,0,0,1,0,1,1,0,1,36
20233855,20232670,800000.0,1.0,0.138612,21.9824,0.0,255,0,6,4,4,5,0,0,1,1,41
21106301,0,1200.0,0.25787,0.0,0.442587,0.0,0,0,0,0,1,0,1,1,0,1,36
21234827,20232670,800000.0,1.0,0.252362,22.7046,0.0,255,0,6,4,4,5,0,0,1,1,41
21238733,21238595,800000.0,1.0,0.252362,22.7046,0.0,255,0,6,4,4,5,0,0,1,1,41
22113150,0,1200.0,0.25787,0.016877,0.343497,0.0,0,0,0,0,1,0,1,1,0,1,36
22239790,21238595,800000.0,1.0,0.138992,22.0427,0.0,255,0,6,4,4,5,0,0,1,1,41
22243460,22242229,800000.0,1.0,0.138992,22.0427,0.0,255,0,6,4,4,5,0,0,1,1,41
23118754,0,1200.0,0.25787,0.0338103,0.299321,0.0,0,0,0,0,1,0,1,1,0,1,36
23237237,23237023,800000.0,1.0,0.138971,22.0394,0.0,255,0,6,4,4,5,0,0,1,1,41
24120560,0,1200.0,0.25787,0.0,0.776771,0.0,0,0,0,0,1,0,1,1,0,1,36
24238736,24237811,800000.0,1.0,0.229403,22.7049,0.0,255,0,6,4,4,5,0,0,1,1,41
25131056,0,1200.0,0.25787,0.0168399,0.37345,0.0,0,0,0,0,1,0,1,1,0,1,36
25238735,25236882,800000.0,1.0,0.138564,22.0357,0.0,255,0,6,4,4,5,0,0,1,1,41
26139066,0,1200.0,0.25787,0.0336958,0.412278,0.0,0,0,0,0,1,0,1,1,0,1,36
26240873,26236437,800000.0,1.0,0.23459,22.6634,0.0,255,0,6,4,4,5,0,0,1,1,41
27145769,0,1200.0,0.25787,0.0,0.497575,0.0,0,0,0,0,1,0,1,1,0,1,36
27240425,27240259,800000.0,1.0,0.138794,22.1661,0.0,255,0,6,4,4,5,0,0,1,1,41
28155866,0,1200.0,0.25787,0.03366,0.502921,0.0,0,0,0,0,1,0,1,1,0,1,36
28236824,28235245,800000.0,1.0,0.227197,22.7446,0.0,255,0,6,4,4,5,0,0,1,1,41
29161047,0,1200.0,0.25787,0.0169202,0.40509,0.0,0,0,0,0,1,0,1,1,0,1,36
29238010,29237813,800000.0,1.0,0.200998,22.7607,0.0,255,0,6,4,4,5,0,0,1,1,41
30164453,0,1200.0,0.25787,0.0,0.344682,0.0,0,0,0,0,1,0,1,1,0,1,36
30237444,30236985,800000.0,1.0,0.138573,21.9763,0.0,255,0,6,4,4,5,0,0,1,1,41
31168311,0,1200.0,0.25787,0.0169365,0.734247,0.0,0,0,0,0,1,0,1,1,0,1,36
31239552,31236612,800000.0,1.0,0.138571,21.9749,0.0,255,0,6,4,4,5,0,0,1,1,41
