col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2010,116.0,135,2014-05-13,0,,,4,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2015,117.0,136,2014-01-06,0,,,4,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2478,117.0,136,2014-10-11,0,,,4,99,99,99,,3,2015-06-29 00:00:00,2015-06-29 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2020,118.0,137,2014-04-16,0,,,3,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2025,119.0,138,2014-06-16,0,,,5,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2482,119.0,138,2014-10-02,0,,,5,99,99,99,,3,2015-06-29 00:00:00,2015-06-29 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2030,120.0,139,2014-10-14,0,,,2,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2035,121.0,140,2014-01-15,0,,,5,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2486,121.0,140,2014-04-20,0,,,5,99,99,99,,3,2015-06-29 00:00:00,2015-06-29 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2040,122.0,141,2014-02-10,0,,,2,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2045,123.0,142,2014-11-10,0,,,9,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2050,124.0,143,2014-02-20,0,,,5,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2055,125.0,144,2014-07-17,0,,,4,99,99,99,,1,2015-06-25 00:00:00,2015-06-25 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2382,166.0,200,2014-10-14,0,,,2,99,99,99,,1,2015-06-28 00:00:00,2015-06-28 00:00:00,mmccomas,,7E4D12A248584E92B0E2235B363AB0A6
2825,194.0,236,2014-10-29,0,,,99,99,99,99,,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2829,194.63,237,2014-10-29,0,,,99,99,99,99,,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2834,194.64,238,2014-10-29,0,,,99,99,99,99,,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2842,195.0,239,2014-08-01,1,3.0,0.0,99,99,99,99,,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
2846,195.65,240,2014-08-01,0,,,99,99,99,99,,1,2015-08-04 00:00:00,2015-08-04 00:00:00,mhawthorne,,7E4D12A248584E92B0E2235B363AB0A6
