col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
05/10/2014,Road,Race,Men,Pro/Cat,1/Cat,2,,,
"Place,License",,,,,,,,,
"1,243374,Kai,Applequist,Boise,ID,,Mercedes",Benz,p/b,Georges,,,,,,
"2,277638,Josh,Howard,Boise,ID,,Mercedes",Benz,p/b,Georges,,,,,,
"3,52797,Tim,Root,Boise,ID,,Operation",Cycle,Boise,,,,,,,
"4,281627,Anders,Nystrom,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"5,293891,Gabriel,Moss","Masaquiza,Ketchum,ID,,",,,,,,,,
"DNF,349884,Paul,Warner,Boise,ID,,Canyon",Bicycles-Shimano,,,,,,,,
"Place,License",,,,,,,,,
"1,2294,Tom,Baird,Shelley,ID,,Team",Bill's,Bike,,,,,,,
"2,411647,Kelsey,Backen,Eagle,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"3,340930,Jonathan,MacDonald,Nampa,ID,,Intermountain",Cycling,Organization,,,,,,,
"4,150765,Greg,Hopp,Eagle,ID,,",,,,,,,,,
"5,382693,Steve,Luke,Boise,ID,,Treasure",Valley,Cycling,Club,,,,,,
"6,415037,Shaun,Staples,Nampa,ID,,",,,,,,,,,
"Place,License",,,,,,,,,
"1,278421,Shane,Watt,Ammon,ID,,",,,,,,,,,
"2,378678,Jeff,Hunteman,Salmon,ID,,",,,,,,,,,
"3,302452,Scott,Remick,Jerome,ID,,TEAM",ICO,,,,,,,,
"4,103067,Robert,Mitchell,Meridian,ID,,Intermountain",Cycling,Organization,,,,,,,
"5,73808,Herberth,Corrales,Hailey,ID,,",,,,,,,,,
"6,402867,Don,Larson,Boise,ID,,Look!",Save,A,Life,,,,,,
"7,378885,Greg,Guymon,Eagle,ID,,Team",Rhino,Rush,,,,,,,
"8,307230,Dale,Nelson,Boise,ID,,Intermountain",Cycling,Organization,,,,,,,
"9,263819,Jeff,Banks,Idaho","Falls,ID,,Eagle",Rock,Cycling,,,,,,
"10,306209,Marc,Brozovich,Meridian,ID,,Lost",River,Cycling,Club,,,,,,
"11,212776,Carl,Arriola,Boise,ID,,Lost",River,Cycling,Club,,,,,,
"12,231717,Tom,Elder,Boise,ID,,Team",Reel,Theatre,,,,,,,
"13,33086,Dan,Smith,Nampa,ID,,Lost",River,Cycling,Club,,,,,,
"14,355986,Jarred,Blankenship,Boise,ID,,LOOK!",Save,a,Life,,,,,,
"15,250998,Billy,Collins,Hailey,ID,,",,,,,,,,,
"DNS,382580,Bob,Haycock,Boise,ID,,",,,,,,,,,
"DNF,346528,Eric,Odell,Ririe,ID,,Team",Bill's,Bike,&,Run,,,,,
"DNF,168683,Kurt,Holzer,Boise,ID,,St.",Lukes,Sports,Medicine,,,,,,
"Place,License",,,,,,,,,
"1,187144,Russell,Thorstrom,Boise,ID,,Intermountain",Cycling,Organization,,,,,,,
"2,202180,Tom,Reimbolt,Boise,ID,,TEAM",ICO,,,,,,,,
"3,200853,Howard,Roose,Boise,ID,,Intermountain",Cycling,Organization,,,,,,,
"4,377364,Mark,Parent,Boise,ID,,",,,,,,,,,
"5,358749,Brian,Hobbs,Idaho","Falls,ID,,Team",Bill's,Bike,,,,,,
"6,81817,Fritz,Stafford,Meridian,ID,,Wild",Rockies,Racing,Team,,,,,,
"7,128215,Jon,Engen,Ketchum,ID,,Durance-Colnago",,,,,,,,,
"8,368042,timothy,elliott,La",Grande,",OR,,Intermountain",Cycling,Organization,,,,,
"9,32158,Lance,Semba,Twin","Falls,ID,,TEAM",ICO,,,,,,,
"10,293460,troy,nichol,Boise,ID,,George's/BODE",,,,,,,,,
"11,408463,Mark,Bertram,Meridian,ID,,",,,,,,,,,
"DNS,39571,Jonathan,Zurkoff,Boise,ID,,Lost",River,Cycling,Club,,,,,,
"Place,License",,,,,,,,,
"1,155191,Everett,Beyer,Bosie,ID,,TEAM",ICO,,,,,,,,
"2,339692,Del,Newquist,Weiser,ID,,",,,,,,,,,
"Place,License",,,,,,,,,
"1,52094,Hugo,Fregoso,Boise,ID,,Mercedes",Benz,p/b,Georges,,,,,,
"2,264340,Robb,Floth,Kuna,ID,,Operation",Cycle,Boise,,,,,,,
"3,291660,Jesse,Kroll,Boise,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"4,42437,Brian,Cavanagh,Boise,ID,,Boise",Cycling,Club,,,,,,,
"5,261325,Patrick,Nagler,Boise,ID,,Broken",Spoke,Cycling,,,,,,,
"6,82968,Jeff,Ward,Boise,ID,,St.",Lukes,Sports,Medicine,,,,,,
"7,73768,Justin,Sparhawk,Boise,ID,,LOOK!",Save,a,Life,,,,,,
"8,14809,Tad,Hamilton,Boise,ID,,UCI",CT:,,Team,Exergy,,,,,
"9,81720,Henry,Harper,Boise,ID,,St.",Lukes,Sports,Medicine,,,,,,
"10,401730,Jason,Elder,Garden","City,ID,,Team",Bobs-Bicycles.com,,,,,,,
"DNS,242645,Nick,Hardy,Boise,ID,,St.",Lukes,Sports,Medicine,,,,,,
05/10/2014,Road,Race,Men,Cat,1/Cat,2/Cat,3,Masters,45+
"Place,License",,,,,,,,,
"1,261537,Chris,Berry,Boise,ID,,",,,,,,,,,
"2,29786,Tim,Richter,Boise,ID,,St.",Lukes,Sports,Medicine,,,,,,
"3,66157,Sean,O'Shea,Boise,ID,,St.",Lukes,Sports,Medicine,,,,,,
"4,290533,John,Lodman,Boise,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"5,277330,Frank,Benzing,Boise,ID,,Lost",River,Cycling,Club,,,,,,
"6,177228,Bart,Brooke,Eagle,ID,,",,,,,,,,,
05/10/2014,Road,Race,Men,Cat,5,,,,
"Place,License",,,,,,,,,
"1,410713,Doug,Ennis,Boise",",ID,,team",Boise,Cycling,Development,Team,,,,
"2,365058,Jared,Larsen,Boise",",ID,,Team",Rhino,Rush,,,,,,
"3,366535,weston,dunn,Orting,WA,,",,,,,,,,,
"4,379795,Mike,Schjeldahl,Idaho","Falls,ID,,Team",Bill's,Bike,&,Run,,,,
"5,426425,Jordan,Tait,Rexburg,ID,,",,,,,,,,,
"6,416529,Matthew,Vitrano,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"DNS,417132,Thomas,McDonagh,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
05/10/2014,Road,Race,Men,Cat,4,,,,
"Place,License",,,,,,,,,
"1,344444,Trent,Bielaszka,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"2,381082,Tucker,Feyder,Boise,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"3,425428,Zachary,Schoenfelder,Boise,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"4,423604,Kyle,Deline,Boise,ID,,",,,,,,,,,
"5,372864,Jake,Armstrong,Boise,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"6,289973,Chris,Haskell,Boise,ID,,Team",Rhino,Rush,,,,,,,
"7,374574,Paul,Shiflet,Boise,ID,,Intermountain",Cycling,Organization,,,,,,,
"8,397137,Charles,Forwood,Eugene,OR,,team",Boise,Cycling,Development,Team,,,,,
"9,329868,Jack,Alessi,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"10,276728,Michael,Chase,Meridian,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"11,309936,Brady,Callahan,Boise,ID,,Team",Rhino,Rush,,,,,,,
"12,405411,Craig,Miller,Meridian,ID,,Team",Rhino,Rush,,,,,,,
"13,382218,Blair,Snell,Meridian,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"14,368375,Mike,Darrow,Boise,ID,,Team",Rhino,Rush,,,,,,,
05/10/2014,Road,Race,Men,Cat,3,,,,
"Place,License",,,,,,,,,
"1,321330,Ryan,Thompson,Boise,ID,,Team",Rhino,Rush,,,,,,,
"2,354180,Andrew,Harris,Boise,ID,,Team",Rhino,Rush,,,,,,,
"3,370877,Trent,Watkins,Midvale,UT,,Team",Rhino,Rush,,,,,,,
"4,266037,Matteo,Jorgenson,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"5,319190,Kenny,McDaniel,Boise,ID,,",,,,,,,,,
"6,366299,Mark,Yoder,Boise,ID,,TEAM",ICO,,,,,,,,
"7,276537,Joe,Gallegos,Eagle,ID,,Team",Rhino,Rush,,,,,,,
"8,224310,Eric,Hinderager,Meridian,ID,,Team",Reed,Cycle,,,,,,,
"9,357658,James,Ji,Salt",Lake,"City,UT,,Cicada",Racing,Inc.,p/b,Mark,Miller,Subaru,
"10,365933,JEFF,COFFMAN,Boise,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"DNS,396853,Douglass,Cook,Boise,ID,,Team",Bobs-Bicycles.com,,,,,,,,
"DNF,401919,Noah,Bader",-,"Fourney,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,
"DNF,379658,Chaz,Hogenauer,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"DNF,360840,Hugh,Alessi,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"DNF,365903,Jesus,Sanchez,Star,ID,,Team",Rhino,Rush,,,,,,,
05/10/2014,Road,Race,Women,Pro/Cat,1/Cat,2,,,
"Place,License",,,,,,,,,
"1,139667,Sarah,Barber,Boise,ID,,DNA",Cycling,p/b,K4,,,,,,
05/10/2014,Road,Race,Women,Cat,3/Cat,4,,,
"Place,License",,,,,,,,,
"1,355510,Megan,Doherty,Bellevue,WA,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"2,371292,Hannah,Green,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"3,391103,Allison,Spain,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"4,402077,Sharon,Birkle,Boise",",ID,,TEAM",ICO,,,,,,,
"5,424340,Christine,Edwards,Boise,ID,,Boise",VeloWomen,,,,,,,,
"6,424723,Ida,Boger,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"7,433977,Becky,Callister,Eagle,ID,,",,,,,,,,,
"8,384844,Grace,Green,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"9,368826,Lisa,Kolesar,Boise,ID,,Team",Bob's-Bicycles.com/VeloWomen,,,,,,,,
"10,417980,Kristin,Maughan,Meridian,ID,,Team",Bob's-Bicycles.com/VeloWomen,,,,,,,,
"11,376209,Cecelia,Charland,Twin","Falls,ID,,TEAM",ICO,,,,,,,
"12,314726,Gabrielle,Caroca,Meridian,ID,,Team",Bob's-Bicycles.com/VeloWomen,,,,,,,,
"13,0,Paula,Hoggan,,,,",,,,,,,,,
"14,428820,Israel,Kroll,Boise,ID,,BYRDS",(Boise,Young,Rider,Dev,Squad),,,,
"15,396587,Karen,Doherty,Bellevue,WA,,Team",Bob's-Bicycles.com/VeloWomen,,,,,,,,
