col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36
91-157,VAPAC-Independent Insurance Agents Of VA Political Affairs,1999,10/15/1999,OCTN15_99,09/01/1999,09/30/1999,E,R,,10/21/1999,T,0,Treasurer,"Bradshaw, Jr. MAM",Robert,N,G,0.0,0,0.0,0,0.0,0,5.6,0,0.0,0,0.0,325.0,0.0,0.0,0.0,0.0,,,
91-157,VAPAC-Independent Insurance Agents Of VA Political Affairs,1999,10/25/1999,OCTN25_99,10/01/1999,10/20/1999,E,R,,11/02/1999,T,0,Treasurer,"Bradshaw, Jr. MAM",Robert,N,G,0.0,0,0.0,0,100.0,1,0.0,0,100.0,1,0.0,750.0,0.0,0.0,0.0,0.0,,,
91-157,VAPAC-Independent Insurance Agents Of VA Political Affairs,1999,12/02/1999,DECN02_99,10/21/1999,11/25/1999,E,R,,12/17/1999,T,0,Treasurer,"Bradshaw, Jr. MAM",Robert,N,G,1100.0,4,0.0,0,400.0,4,0.0,0,1500.0,8,0.0,1750.0,0.0,0.0,0.0,0.0,,,
91-157,VAPAC-Independent Insurance Agents Of VA Political Affairs,1999,04/15/1999,APRN15_99,01/01/1999,03/01/1999,D,A,,08/24/2000,T,0,Treasurer,"Bradshaw, Jr. MAM",Robert,N,G,4150.0,17,0.0,0,2725.0,28,68.64,0,6875.0,45,0.0,1213.73,0.0,0.0,0.0,0.0,,,
91-157,VAPAC-Independent Insurance Agents Of VA Political Affairs,1999,01/15/1999,JANN15_99,11/30/1998,12/31/1998,E,R,,09/10/2004,L,0,Treasurer,"Bradshaw, Jr. MAM",Robert,N,G,250.0,1,0.0,0,750.0,8,3.33,0,1000.0,9,0.0,130.0,0.0,0.0,0.0,0.0,,,
91-157,VAPAC-Independent Insurance Agents Of VA Political Affairs,1999,01/18/2000,JANN18_00,12/01/1999,12/31/1999,E,R,,09/29/2004,T,0,Treasurer,"Bradshaw, Jr. MAM",Robert,N,G,250.0,1,0.0,0,750.0,8,3.33,0,1000.0,9,0.0,130.0,0.0,0.0,0.0,0.0,,,
91-191,Eye PAC - VA Ophthalmology,1999,07/15/1999,JULN15_99,05/27/1999,06/30/1999,D,R,,07/08/1999,T,0,Treasurer,Whitehead,D,C,G,2500.0,10,0.0,0,0.0,0,27.61,0,2500.0,10,0.0,7775.0,0.0,0.0,0.0,0.0,,,
91-191,Eye PAC - VA Ophthalmology,1999,10/25/1999,OCTN25_99,10/01/1999,10/20/1999,E,R,,11/17/1999,T,0,Treasurer,Whitehead,D,C,G,250.0,1,0.0,0,0.0,0,0.0,0,250.0,1,0.0,2250.0,0.0,0.0,0.0,0.0,,,
91-191,Eye PAC - VA Ophthalmology,1999,09/15/1999,SEPN15_99,07/01/1999,08/31/1999,E,R,,04/18/2000,T,0,Treasurer,Whitehead,D,C,G,250.0,1,0.0,0,200.0,2,23.22,0,450.0,3,0.0,7024.6,0.0,0.0,0.0,0.0,,,
91-191,Eye PAC - VA Ophthalmology,1999,12/02/1999,DECN02_99,10/21/1999,11/25/1999,E,R,,07/13/2000,L,0,Treasurer,Whitehead,D,C,G,750.0,3,0.0,0,0.0,0,7.0,0,750.0,3,0.0,512.75,0.0,0.0,0.0,0.0,,,
93-062,6th Congressional  District Democratic Committee of Virginia,1999,10/25/1999,OCTN25_99,10/01/1999,10/20/1999,E,R,,11/17/1999,T,0,Treasuer,Blackwell,Dorothy,,G,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2350.0,0.0,0.0,0.0,0.0,,,
93-062,6th Congressional  District Democratic Committee of Virginia,1999,09/15/1999,SEPN15_99,07/01/1999,08/31/1999,E,R,,11/17/1999,T,0,Treasuer,Blackwell,Dorothy,,G,1099.99,11,0.0,0,2221.74,112,0.0,0,3321.73,123,0.0,546.18,0.0,0.0,0.0,0.0,,,
93-062,6th Congressional  District Democratic Committee of Virginia,1999,10/15/1999,OCTN15_99,09/01/1999,09/30/1999,E,R,,03/10/2000,T,0,Treasuer,Blackwell,Dorothy,,G,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3237.74,0.0,0.0,0.0,0.0,,,
95-031,Democratic Legislative Campaign Committee,1999,12/02/1999,DECN02_99,10/21/1999,11/25/1999,E,R,,05/17/2000,T,0,Treasurer,Curtis,Greg,,G,73318.3,13,0.0,0,0.0,0,0.0,0,73318.3,13,0.0,73318.3,0.0,0.0,0.0,0.0,,,
99-003,Campaign for Virginia`s Future,1999,12/02/1999,DECN02_99,10/21/1999,11/25/1999,E,R,,12/21/1999,T,0,Director,Kincaid,Anne,B,G,6500.0,7,0.0,0,810.0,37,283.4,0,7310.0,44,0.0,72792.74,0.0,0.0,0.0,0.0,,,
99-007,Fund for the Future of Virginia,1999,09/15/1999,SEPN15_99,07/01/1999,08/31/1999,E,R,,10/12/1999,L,0,Treasurer,Brudvig,Catherine,,G,20250.0,36,0.0,0,1310.0,19,320.06,0,21560.0,55,0.0,48691.35,0.0,14100.0,0.0,14100.0,,,
99-007,Fund for the Future of Virginia,1999,10/15/1999,OCTN15_99,09/01/1999,09/30/1999,E,R,,11/02/1999,T,0,Treasurer,Brudvig,Catherine,,G,21250.0,7,0.0,0,100.0,1,67.41,0,21350.0,8,0.0,15648.9,14100.0,0.0,0.0,14100.0,,,
99-007,Fund for the Future of Virginia,1999,06/01/1999,JUNN01_99,04/01/1999,05/26/1999,E,R,,11/03/1999,L,0,Treasurer,Brudvig,Catherine,,G,8200.0,7,0.0,0,585.0,9,53.66,0,8785.0,16,0.0,14474.56,0.0,0.0,0.0,0.0,,,
