col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
21124,Simone de Beauvoir,5548,Le deuxième sexe I,41037628,pending,non-fiction,,False,Le deuxième sexe,132910.0,1,Mass Market Paperback,1949,fr,,2018-07-12,,,0,4.25
426675,Simone de Beauvoir,5548,Le deuxième sexe II,80161754,pending,non-fiction,,False,Le deuxième sexe,132910.0,2,Mass Market Paperback,1949,fr,,2018-01-04,,,0,4.25
956320,Alexandre Dumas,4785,Le Comte de Monte-Cristo II,19052285,read,novels,,False,Le Comte de Monte-Cristo,225265.0,2 of 2,Mass Market Paperback,1844,fr,674.0,2016-07-11,2017-04-22,2017-06-02,4,4.53
956321,Alexandre Dumas,4785,Les Trois Mousquetaires,1263212,read,novels,,False,The d'Artagnan Romances,55138.0,1,Mass Market Paperback,1844,fr,896.0,2016-04-21,2016-04-21,2016-05-30,5,4.07
956323,Alexandre Dumas,4785,Le Comte de Monte-Cristo I,41399325,read,novels,,False,Le Comte de Monte-Cristo,225265.0,1 of 2,Mass Market Paperback,1844,fr,703.0,2016-07-11,2017-02-19,2017-04-02,5,4.51
956325,Alexandre Dumas,4785,Vingt ans après,666376,read,novels,,False,The d'Artagnan Romances,55138.0,2,Paperback,1845,fr,904.0,2016-11-08,2018-10-04,2018-12-31,3,4.05
6829259,Mrs. Oliphant,14266369,Hester,867446,pending,novels,,False,,,,Paperback,1883,en,512.0,2019-07-03,,,0,3.86
8123649,Alexandre Dumas,4785,Pauline,1443737,library,novels,,True,,,,Paperback,1838,,250.0,2020-01-23,,,0,3.74
13499942,Alexandre Dumas,4785,"Les Mille et Un Fantômes, précédé de La Femme au collier de velours",244749,read,short-stories,,False,,,,Paperback,1849,fr,432.0,2016-04-20,2019-08-15,2019-09-17,4,3.82
20618571,Alexandre Dumas,4785,La Tulipe Noire,2024166,read,novels,,False,,,,Paperback,1850,fr,316.0,2016-04-20,2020-05-21,2020-05-25,5,3.81
27281602,Alexandre Dumas,4785,Le Château d'Eppstein,189388,to-read,novels,,False,,,,Paperback,1843,fr,400.0,2019-09-25,,,0,3.52
39073893,Alexandre Dumas,4785,La Dame de Monsoreau,2369834,pending,novels,,False,,,,Paperback,1847,fr,991.0,2018-03-07,,,0,4.2
