col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
EasternLuobuohe,"Luobuohe, Eastern",Shibanzhai 石板寨,石板寨,"Shibanzhai, Kaili City, Guizhou 贵州凯里市石板寨, p.241",,qo0(55) mjo31 (autonym),Hmongic,hml,luop1235,26.63966,107.913354
WesternLuobuohe,"Luobuohe, Western",Gaozhai 高寨,高寨,"Gaozhai, Kaiyang County, Guizhou 贵州开阳县高寨, p.247",Lan Fugang 蓝福刚 (2000) & Yoshihisa Taguchi 田口善久,ʔə0(55) m̥ø31 (autonym); Flowery Miao 花苗,Hmongic,hml,luop1235,26.854607,107.226676
Chuanqiandian,Chuanqiandian,Dananshan 大南山,大南山,"Dananshan, Xiaoshao Township, Bijie County, Guizhou 贵州省毕节县小哨苗族乡大南山寨; p17 (W&M 1995)",,moŋ53 ʂi53 (autonym),Hmongic,cqd,chua1248,27.51846,105.421028
CentralGuizhouChuanqiandian,"Chuanqiandian, Central Guizhou",Gaopo 高坡,高坡,"Jiading, Gaopo Township, Guiyang City, Guizhou 贵州省贵阳市高坡苗族乡甲定寨; p17 (W&M 1995)",,m̥o24 (autonym),Hmongic,hmi,nort2749,26.231562,106.861969
SouthernGuizhouChuanqiandian,"Chuanqiandian, Southern Guizhou",Zongdi 宗地,宗地,"Jiaotuo, Zongdi Township, Ziyun County, Guizhou 贵州省紫云苗族布依族自治县宗地乡绞坨寨; p17 (W&M 1995)",Chen Huanrong 陈换荣 (1959),məŋ22 (autonym),Hmongic,hmm,cent1394,25.586343,106.323467
NortheastYunnanChuanqiandian,"Chuanqiandian, Northeast Yunnan",Shimenpo 石门坡,石门坡,"Shimenkan, Zhongshui district, Weining County, Guizhou 贵州省威宁彝族回族苗族自狯县中水区石门坎寨; p17 (W&M 1995)",,ʔa0(55) m̥au55 (autonym),Hmongic,hmd,larg1235,27.096059,103.698607
WesternXiangxi,"Xiangxi, West",Layiping 腊乙坪, 腊乙坪,"Layiping, Jiwei Township, Huayuan County, Hunan 湖南省花垣县吉卫乡腊乙坪寨; p17 (W&M 1995)","Zhao Qili 赵启里 (1985), 30 [Chen's informant]",qa33 ɕəŋ35 (autonym),Hmongic,mmr,west2430,28.33212,109.422366
EasternXiangxi,"Xiangxi, East",Xiaozhang 小章,小章,"Xiaozhang 小章, Luxi County; column title","Xie Daiyuan 谢代元 (1984), 42 [Chen's informant]",suaŋ53 (autonym); Red Miao 红苗,Hmongic,muq,east2371,28.124036,109.890473
NorthernQiandong,"Qiandong, North",Yanghao 养蒿,养蒿,"Yanghao, Guading Town, Kaili County, Guizhou 贵州省凯里县挂丁镇养蒿寨; p17 (W&M 1995)",Chen's 1952-1953 field notes,"m̥hu33, or qa33 nəu23 (autonym); Black Miao 黑苗",Hmongic,hea,nort2747,26.68993,108.401145
EasternQiandong,"Qiandong, East",Caidiwan 菜地湾,菜地湾,"Caidiwan, Jingzhou County, Hunan 湖南靖州县菜地湾, p.295","Pan Shichun 潘仕椿 (1956), 31 [Chen's informant]",mu24 (autonym); Flowery Miao 花苗 or Upright Miao 正苗,Hmongic,hmq,east2370,27.78098,110.499463
SouthernQiandong,"Qiandong, South",Yaogao 尧告,尧告,"Yaogao, Rongshui County, Guangxi 广西融水县尧告, p.299","Wei Guiming 韦桂明 (1985), 41 [Chen's informant]",to31 m̥u13 (autonym); White Miao 白苗,Hmongic,hms,sout2754,25.520166,108.779365
WesternQiandong,"Qiandong, West",Heba 河坝,河坝,"Heba, Majiang County, Guizhou 贵州麻江县河坝, p.305","Yang Xunyao 杨勋尧 (1983), 64 [Chen's informant]",ʔeu33 ʑu21 (autonym),Hmongic,,,26.43106,107.68758
WesternBaheng,"Baheng, West",Gundong 滚董,滚董,"Gundong 滚董, Liping County 黎平, Guizhou","Chen Yuming 陈玉明 (1983), 28 [Chen's informant]",pa0(33) ŋ̥ŋ35 (autonym),Hmongic,pha,pahn1237,25.74971,109.286281
EasternBaheng,"Baheng, East",Mao'ao 毛坳,毛坳,"Mao'ao Village, Longhui County, Hunan 湖南隆回县毛坳村, p.317","Chun Xiyao 春锡耀 (1983), 52 [Chen's informant]",m̥m35 nai33 (autonym),Hmongic,pha,pahn1237,27.11733,111.02615
Dongnu,Dongnu,Qibainong 七百弄,七百弄,"Nongmo, Qibainong Township, Dahua County, Guangxi 广西壮族自治区大化瑶族自治县七百弄乡弄模村; p18 (W&M 1995)",Chen's 1985 field notes,pu53 no13 (autonym),Hmongic,bwx,dong1287,24.201523,107.957327
Nunu,Nunu,Xishan 西山,西山,"Xishan, Bama County, Guangxi 广西巴马县西山, p.330",Chen's 1985 field notes,nu42 nu42 (autonym),Hmongic,bwx,nunu1247,24.232341,107.194266
Numao,Numao,Yaolu 瑶麓,瑶麓,"Yaolu 瑶麓 village (Libo County, Guizhou Province)","Tan Jinliang 覃金良 (1983), 19 [Chen's informant]","nu55 m̥au33 (autonym) = Lanku Yao 蓝裤瑶; teu55 m̥u55 = Baiku Yao 白裤瑶, tuŋ33 m̥huŋ33 = Changshan Yao 长衫瑶",Hmongic,bwx,numa1251,25.447767,108.064732
Bana,Bana,Bana 巴那,巴那,"Xiapai 下排, Chengbu County 城步县, Hunan","Wu Changji 吴昌几 (1983), 48 [Chen's informant]",pa53 na313 (autonym),Hmongic,,pana1310,26.265147,110.096902
Younuo,Younuo,Younuo 优诺,优诺,"Jinjiang Village, Heping Township, Longsheng County, Guangxi 广西壮族自治区桂林市龙胜各族自治县和平乡金江村 book p.14","Pan Longmao 潘龙茂 (1981), 17 [Chen's informant]",jeu33 no13 (autonym),Hmongic,buh,youn1235,25.730893,110.115975
She,She,Xiashuicun 下水村,下水村,"Xiashui Village, Zengcheng City, Guangdong 广东增城市下水村, p.355","Lai Haichang 来海 (1981), 46 [Chen's informant]",hɔ33 ne31 (autonym),Hmongic,shx,shee1238,26.264261,110.096988
Jiongnai,Jiongnai,Longhua 龙华,龙华,"Longhua, Changdong Township, Jinxiu County, Guangxi 广西壮族自治区金秀瑶族自治县长垌乡龙华村; p18 (W&M 1995)","Lan Caifeng 蓝彩凤 (1985), 60 [Chen's informant]",kjɒŋ33 nai33 (autonym),Hmongic,pnu,jion1236,24.071002,110.105752
Mien,Mien,Longding 龙定,龙定,"Longding, Jinxiu county, Guangxi 广西金秀县龙定, p.368","Zhao Chunhong 赵春红 (1985), 36 [Chen's informant]",mjen31 (autonym),Mienic,ium,iumi1238,24.172823,110.054488
KimMun,Kim Mun,Yanyuan 烟园,烟园,"Yanyuan, Qiongzhong County, Hainan 海南琼中县烟园, p.375","Deng Wenqiong 邓文琼 (1988), 49 [Chen's informant]",kjiːm33 mun33 (autonym),Mienic,mji,kimm1245,18.955781,109.86012
