col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
2062489702,,Norma Fisher,,,59217,Atuona,France,fr,-9.8035066,-139.0409117,,"1965 Kelly Field Apt. 094
Jonesberg, FL 05565",,,osm:museum;type:centre d'art;gender:musee d'homme,,2017-02-13T09:18:21Z,,
4682717145,,Jorge Sullivan,,Route de Ceinture,12456,Vaitape,France,fr,-16.470099,-151.7454802,,"848 Melissa Springs Suite 947
Kellerstad, MD 80819",68940677524.0,,osm:museum;type:musee technique et industriel,,2020-11-11T16:45:17Z,,
4683069628,,Elizabeth Woods,,,11045,Atuona,France,fr,-9.8036716,-139.0407442,,"30413 Norton Isle Suite 012
North Lisa, ND 79428",,,osm:museum;type:maison d'artiste;gender:musee d'homme,,2017-02-13T09:18:11Z,Q19320306,
4683069629,,Susan Wagner,,,42451,Atuona,France,fr,-9.8046284,-139.0405994,,"39916 Mitchell Crescent
New Andrewburgh, DE 63315",68940927332.0,,osm:museum;type:maison d'artiste;gender:musee d'homme,,2019-10-04T21:55:55Z,,
4683069642,,Peter Montgomery,,Route de Taipivai à Taiohae,67077,Otepa,France,fr,-8.8283434,-140.0819382,,"086 Mary Cliff
North Deborah, NE 24135",,,osm:museum;type:musee archeologique;art:prehistoire;continent:art oceanien,,2017-02-13T09:18:12Z,,
4683070000,,Theodore Mcgrath,,,64632,Vaipaee,France,fr,-8.9315166,-139.5544301,,"91634 Strong Mountains Apt. 302
West Alyssa, PA 58475",,,osm:museum;type:musee d'art;art:art populaire;continent:art oceanien,,2017-02-13T09:18:16Z,,
4683070021,,Stephanie Collins,,,14795,Vaipaee,France,fr,-8.9240696,-139.5345241,,"6984 Price Shoals
Erictown, WA 10865",,,osm:museum;type:musee technique et industriel,,2017-02-13T09:18:16Z,,
4683070024,,Stephanie Sutton,,,40012,Vaipaee,France,fr,-8.9304634,-139.5269066,,"423 Bell Heights
Brittanyberg, ME 51359",68940916025.0,,osm:museum;art:prehistoire;type:centre d'interpretation;continent:art oceanien,,2020-12-06T08:09:28Z,,
5804937266,,Brian Hamilton,,Route Côtière,72756,Taputapuatea,France,fr,-16.8748299,-151.3704241,,"93523 Dana Lane
Johnsonshire, WI 87296",,,osm:museum;type:ecomusee,,2018-08-02T19:45:52Z,,
6361085089,,Susan Levy,,Route de l'Aéroport,38654,Otepa,France,fr,-8.9169627,-140.1091124,,"1427 Odonnell Rapids
North Troyport, NH 07035",,,osm:museum;gender:musee de femme,,2019-03-25T20:08:16Z,,
6366269790,,Sean Green,,Rue Jeanne D'arc,93111,Papeete,France,fr,-17.5398748,-149.5679301,,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",,,osm:museum;art:art contemporain;type:musee d'art,,2019-03-27T22:44:35Z,,
110280019,,Kimberly Smith,,Rue Principale,16860,Uturoa,France,fr,-16.7302093,-151.4435479089879,,"76104 Marsh Crescent
Dennishaven, SD 85034",,,osm:museum;gender:musee de femme;type:musee d'histoire,,2017-07-01T16:52:12Z,,
299285161,,Jennifer Summers,,Avenue du Commandant Destremau,72255,Papeete,France,fr,-17.54305825,-149.5736210640937,https://www.robertwan.com/,"0003 Grant Lakes
Port Karafort, SD 60619",68940461554.0,,osm:museum;gender:musee d'homme;type:ecomusee,,2019-12-06T20:12:47Z,,
474324152,,April Snyder,,,44115,Omoa,France,fr,-10.5135692,-138.6846483200318,,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",,,osm:museum;gender:musee d'homme;type:musee d'histoire,,2017-02-13T09:18:18Z,,
676707956,,Dana Nguyen,,Serv. Bernière - Vaipoopoo (Arue),71317,Arue,France,fr,-17.525224299999998,-149.52055404843497,,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",,,osm:museum;gender:musee d'homme;type:musee d'histoire,,2020-05-08T07:37:50Z,Q30279373,
755129956,,Cheryl Bradley,,Route de ceinture,27135,Moorea,France,fr,-17.4870217,-149.81698402471346,,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",,,osm:museum;type:centre d'art;continent:art oceanien,,2019-12-18T08:10:10Z,,
10242577,,Walter Pratt,,Pointe des Pêcheurs,79561,Puna'auia,France,fr,-17.63235426820571,-149.61390069281418,https://www.museetahiti.pf/,"30601 Hawkins Highway
Morashire, TX 28976",68940548435.0,,osm:museum;type:musee de beaux-arts;continent:art oceanien,,,Q1955713,
