col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
2001,2017-09-27,WE,NICOLE,Norma Fisher,1196990205528238,FRA,WCL,Norma Fisher,False,0,1,Norma Fisher,1,48600000,FRA19900208,1,10004535237,CVN,1590,Norma Fisher,1,28
2002,1980-09-24,WE,ATHERTON,Jorge Sullivan,1196990205528239,GBR,NCh,Jorge Sullivan,False,0,2,Jorge Sullivan,2,48630000,GBR19871206,6,10003434487,TDH,1598,Jorge Sullivan,2,30
2003,2000-05-17,WE,SEAGRAVE,Elizabeth Woods,1196990205528240,GBR,,Elizabeth Woods,False,0,3,Elizabeth Woods,3,48660000,GBR19950615,2,10007414016,FMD,1863,Elizabeth Woods,3,23
2004,2005-11-25,WE,CABIROU,Susan Wagner,1196990205528241,FRA,,Susan Wagner,False,0,4,Susan Wagner,4,48690000,FRA19970312,4,10009563069,VVR,2096,Susan Wagner,4,21
2005,2003-02-28,WE,RAVANEL,Peter Montgomery,1196990205528242,FRA,,Peter Montgomery,False,0,5,Peter Montgomery,5,48720000,FRA19810106,38,10002816317,,0,Peter Montgomery,5,37
2006,2008-03-15,WE,HRASTNIK,Theodore Mcgrath,1196990205528243,SLO,CCh,Theodore Mcgrath,False,0,6,Theodore Mcgrath,6,48750000,SLO19940607,8,10017602955,,0,Theodore Mcgrath,6,24
2007,2011-02-06,WE,HANNAH,Stephanie Collins,1196990205528244,AUS,NCh,Stephanie Collins,False,0,7,Stephanie Collins,7,48780000,AUS19880613,3,10003732258,URT,1608,Stephanie Collins,7,30
2008,2021-05-30,WE,SIEGENTHALER,Stephanie Sutton,1196990205528245,SUI,,Stephanie Sutton,False,0,8,Stephanie Sutton,8,48810000,SUI19860919,5,10004167243,PFR,1864,Stephanie Sutton,8,31
2009,1970-01-02,WE,CURD,Brian Hamilton,1196990205528246,GBR,,Brian Hamilton,False,0,9,Brian Hamilton,9,48840000,GBR19890427,53,10006044292,,0,Brian Hamilton,9,29
2010,1972-08-25,WE,SALAZAR,Susan Levy,1196990205528247,ESA,,Susan Levy,False,0,10,Susan Levy,10,48870000,ESA19940506,22,10007687838,DOR,1867,Susan Levy,10,24
2011,2003-08-28,WE,MILLER,Sean Green,1196990205528248,CAN,WCh,Sean Green,False,0,11,Sean Green,11,48900000,CAN19900302,9,10005872726,SGR,1667,Sean Green,11,28
2012,1992-03-07,WE,CAPPELLARI,Kimberly Smith,1196990205528249,SUI,NCh,Kimberly Smith,False,0,12,Kimberly Smith,12,48930000,SUI19911106,10,10006911535,MNR,2039,Kimberly Smith,12,26
2013,1991-03-28,WE,RUBESAM,Jennifer Summers,1196990205528250,GER,,Jennifer Summers,False,0,13,Jennifer Summers,13,48960000,GER19880210,17,10052523258,,0,Jennifer Summers,13,30
2014,2001-10-09,WE,WIDMANN,April Snyder,1196990205528251,ITA,,April Snyder,False,0,14,April Snyder,14,48990000,ITA19930308,15,10007423312,FSF,2238,April Snyder,14,25
2017,1973-05-24,WE,CHAPPAZ,Dana Nguyen,1196990205528252,FRA,,Dana Nguyen,False,0,17,Dana Nguyen,15,49020000,FRA19990312,12,10011008066,HTH,3167,Dana Nguyen,0,19
2018,1998-04-02,WE,RONNING,Cheryl Bradley,1196990205528253,NOR,NCh,Cheryl Bradley,False,0,18,Cheryl Bradley,16,49050000,NOR19950709,19,10008084326,,0,Cheryl Bradley,0,22
2019,1982-10-17,WE,A'HERN,Walter Pratt,1196990205528254,AUS,,Walter Pratt,False,0,19,Walter Pratt,17,49080000,AUS19980802,35,10010802043,,0,Walter Pratt,0,19
2020,2007-05-01,WE,WOHLGENSINGER,Bobby Flores,1196990205528255,SUI,,Bobby Flores,False,0,20,Bobby Flores,18,49110000,SUI19840410,37,10010735153,,0,Bobby Flores,0,34
2021,2013-01-30,WE,MOLLOY,Tasha Rodriguez,1196990205528256,AUS,,Tasha Rodriguez,False,0,21,Tasha Rodriguez,19,49140000,AUS19960118,40,10008826980,KON,1012,Tasha Rodriguez,0,22
2022,1975-09-06,WE,LESOIN,Michelle Kelley,1196990205528257,FRA,,Michelle Kelley,False,0,22,Michelle Kelley,20,49170000,FRA19991117,44,10009734134,,0,Michelle Kelley,0,18
2023,2019-05-17,WE,TUTT,Kimberly Maynard,1196990205528258,GBR,,Kimberly Maynard,False,0,23,Kimberly Maynard,21,49200000,GBR19981006,145,10010911975,,0,Kimberly Maynard,0,19
2024,1978-11-19,WE,GREEN,Laurie Wallace,1196990205528259,GBR,,Laurie Wallace,False,0,24,Laurie Wallace,22,49230000,GBR19990513,182,10016172712,,0,Laurie Wallace,0,19
2026,1971-01-02,WE,BELL,Janice Johnston,1196990205528260,GBR,N,Janice Johnston,False,0,26,Janice Johnston,23,49260000,GBR19980314,292,10011212069,,0,Janice Johnston,0,20
