col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
203461,299DIF,Mosquito menace ,Mosquito menace,INTERNET,FORWARDED,dwsaqdq,9741129330,Norma Fisher,Norma Fisher,Norma Fisher,"60975 Jessica Squares
East Sallybury, FL 71671","1427 Odonnell Rapids
North Troyport, NH 07035",,N13,N176,adyar,besant Nagar,venkateswara Nagar 1st Street ,H-Health,28-Jan-15,27-Feb-15,27-Feb-15,Norma Fisher,HEALTH OFFICER_1,HEALTH OFFICER,H-Health,Norma Fisher,HEALTH OFFICER_1,HEALTH OFFICER,H-Health
203462,810FBE,Removal of garbage,Removal of garbage,CITIZEN,REGISTERED,dfs,9741129330,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,"8714 Mann Plaza
Lisaside, PA 72227","81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",,N09,N123,abiramapuram,abiramapuram,abiramapuram 1st Street,NJ-TEYNAMPET,28-Jan-15,27-Feb-15,27-Feb-15,Jorge Sullivan,CONSERVANCY INSPECTOR_430,CONSERVANCY INSPECTOR,NJ-TEYNAMPET,Jorge Sullivan,CONSERVANCY INSPECTOR_430,CONSERVANCY INSPECTOR,NJ-TEYNAMPET
203463,820LGN,Mosquito menace ,Mosquito menace,CITIZEN,REGISTERED,Mosquito menace,9916802886,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,"96593 White View Apt. 094
Jonesberg, FL 05565","76104 Marsh Crescent
Dennishaven, SD 85034",,N07,N092,7H BUS STAND,MUGAPPAIR,BHARATHI DASAN SALAI 12TH BLOCK 14 TH ST,H-Health,28-Jan-15,27-Feb-15,27-Feb-15,Elizabeth Woods,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR,Elizabeth Woods,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR
203464,225OEJ,Illegal slaughtering,Illegal slaughtering,CITIZEN,REGISTERED,Illegal slaughtering,9916802886,Susan Wagner,Susan Wagner,Susan Wagner,"848 Melissa Springs Suite 947
Kellerstad, MD 80819","0003 Grant Lakes
Port Karafort, SD 60619",,N07,N089,A.N.W.EXTN,DAV GIRLS SCHOOL OPPOSITE,MULLAI COLONY,H-Health,28-Jan-15,27-Feb-15,27-Feb-15,Susan Wagner,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR,Susan Wagner,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR
203465,210BIM,Complaints regarding CDH,Complaints regarding CDH,CITIZEN,REGISTERED,Complaints regarding CDH,9916802886,Peter Montgomery,Peter Montgomery,Peter Montgomery,"30413 Norton Isle Suite 012
North Lisa, ND 79428","236 Smith Drive Suite 555
West Kimberlyton, KY 21978",,N07,N089,A.N.W.EXTN,ELANGO NAGAR,KULLAN STREET,H-Health,28-Jan-15,27-Feb-15,27-Feb-15,Peter Montgomery,HEALTH OFFICER_1,HEALTH OFFICER,H-Health,Peter Montgomery,HEALTH OFFICER_1,HEALTH OFFICER,H-Health
203466,396LLE,Complaints regarding  Cleanliness of Toilets in Theatre,Complaints regarding Cleanliness of Toilets in Theatre,CITIZEN,REGISTERED,Complaints regarding Cleanliness of Toilets in Theatre,9916802886,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,"39916 Mitchell Crescent
New Andrewburgh, DE 63315","6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",,N07,N089,A.N.W.EXTN,CSI CHURCH,BHARATHIYAR STREET,H-Health,28-Jan-15,27-Feb-15,27-Feb-15,Theodore Mcgrath,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR,Theodore Mcgrath,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR
203467,994JFK,Complaints regarding  Cleanliness of Toilets in Theatre,Complaints regarding Cleanliness of Toilets in Theatre,CITIZEN,REGISTERED,Complaints regarding Cleanliness of Toilets in Theatre,9916802886,Stephanie Collins,Stephanie Collins,Stephanie Collins,"086 Mary Cliff
North Deborah, NE 24135","5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",,N07,N089,A.N.W.EXTN,COLLECTOR NAGAR BUS STOP,2ND AVENUE,H-Health,28-Jan-15,27-Feb-15,27-Feb-15,Stephanie Collins,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR,Stephanie Collins,ASSISTANT HEALTH OFFICER_29,ASSISTANT HEALTH OFFICER,NG-AMBATTUR
203468,751HFP,Mosquito menace ,Mosquito menace,INTERNET,REGISTERED,Mosquito menace,9916802886,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,"91634 Strong Mountains Apt. 302
West Alyssa, PA 58475","30601 Hawkins Highway
Morashire, TX 28976",,N13,N176,Adayar,Adayar,Vasntha Prss South Lane,H-Health,09-Jan-15,08-Feb-15,08-Feb-15,Stephanie Sutton,ASSISTANT HEALTH OFFICER_35,ASSISTANT HEALTH OFFICER,NN-ADYAR,Stephanie Sutton,ASSISTANT HEALTH OFFICER_35,ASSISTANT HEALTH OFFICER,NN-ADYAR
203469,696IDN,Issue of Birth and Death Certificate,Issue of Birth and Death Certificate,INTERNET,REGISTERED,Testing pgr,9916802886,Brian Hamilton,Brian Hamilton,Brian Hamilton,"6984 Price Shoals
Erictown, WA 10865","49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",,N09,N123,Alwarpet,Abiramapuram,Abiramapuram 3rd Street,H-Health,07-Jan-15,06-Feb-15,06-Feb-15,Brian Hamilton,ASSISTANT HEALTH OFFICER_31,ASSISTANT HEALTH OFFICER,NJ-TEYNAMPET,Brian Hamilton,ASSISTANT HEALTH OFFICER_31,ASSISTANT HEALTH OFFICER,NJ-TEYNAMPET
203470,892JBP,Complaints regarding  Cleanliness of Toilets in Shopping complex,Complaints regarding Cleanliness of Toilets in Shopping complex,CITIZEN,REGISTERED,qwwwqw,9741129330,Susan Levy,Susan Levy,Susan Levy,"423 Bell Heights
Brittanyberg, ME 51359","76582 Vanessa Oval
New Richard, NE 68819",,N12,N165,ADAMBAKKAM,ADAMBAKKAM,BALAJI NAGAR 14TH STREET,H-Health,05-Jan-15,04-Feb-15,04-Feb-15,Susan Levy,ASSISTANT HEALTH OFFICER_34,ASSISTANT HEALTH OFFICER,NM-ALANDUR,Susan Levy,ASSISTANT HEALTH OFFICER_34,ASSISTANT HEALTH OFFICER,NM-ALANDUR
203471,873GBH,Improper Sweeping,Improper Sweeping,CITIZEN,COMPLETED,Improper Sweeping,9916802886,Sean Green,Sean Green,Sean Green,"93523 Dana Lane
Johnsonshire, WI 87296","7389 Alec Squares Suite 508
Port Jonathan, FL 50177",,N07,N092,7H BUS STAND,MUGAPPAIR,11TH BLOCK PARISALAI,NG-AMBATTUR,06-Dec-14,02-Jan-15,03-Dec-15,Sean Green,CONSERVANCY INSPECTOR_430,CONSERVANCY INSPECTOR,NJ-TEYNAMPET,Sean Green,CONSERVANCY INSPECTOR_430,CONSERVANCY INSPECTOR,NJ-TEYNAMPET
