col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36
DistributionChannel,UserLanguage,PANAS_01,PANAS_02,PANAS_03,PANAS_04,PANAS_05,PANAS_06,PANAS_07,PANAS_08,PANAS_09,PANAS_10,PANAS_11,PANAS_12,PANAS_13,PANAS_14,PANAS_15,PANAS_16,PANAS_17,PANAS_18,PANAS_19,PANAS_20,MCSD_01,MCSD_02,MCSD_03,MCSD_04,MCSD_05,MCSD_06,MCSD_07,MCSD_08,MCSD_09,MCSD_10,MCSD_11,MCSD_12,MCSD_13,id,id - Topics
3,5,2,2,5,3,4,1,2,2,3,3,1,3,2,2,2,2,1,2,1,2,1,1,1,2,1,2.7,1.54,,,,,,,,
2,4,1,2,3,3,3,3,2,2,3,3,3,4,1,1,2,2,2,2,2,2,2,2,1,1,2,2.5,1.69,,,,,,,,
2,4,1,5,3,1,1,1,1,3,2,3,4,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2.1,1.38,,,,,,,,
4,4,4,5,3,4,4,3,4,3,5,3,5,4,1,1,1,2,1,1,1,1,2,2,2,1,2,3.7,1.38,,,,,,,,
1,1,5,1,1,5,1,5,1,2,3,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2.1,1.62,,,,,,,,
1,2,3,5,2,1,2,4,1,5,4,3,3,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2.6,1.38,,,,,,,,
4,5,3,4,2,2,5,3,5,1,1,5,4,4,2,1,2,1,2,2,1,2,1,1,1,2,1,3.6,1.46,,,,,,,,
4,3,3,3,2,3,5,2,4,2,2,4,3,4,1,1,1,2,1,1,2,2,2,2,2,2,1,3.15,1.54,,,,,,,,
3,5,2,4,2,3,5,3,2,3,3,3,3,4,1,1,1,2,1,2,1,1,1,2,1,1,2,3.1,1.31,,,,,,,,
4,4,2,4,4,3,3,3,2,2,3,3,3,4,1,1,1,2,1,2,1,2,2,2,1,1,2,3,1.46,,,,,,,,
