col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
093da413,gamificado,3.7142857142857135,4.571428571428571,2.6,3.155555556,3.25,3.5,3.0,2.75,3.25,3.4,3.5,3.0,2.75,247,3673,310,354,13,11
0cacbb98,gamificado,3.0,2.4285714285714284,4.0,2.966666667,2.0,3.5,3.25,3.0,3.5,2.2,3.0,2.75,3.5,493,3472,379,347,11,19
0ec7e6c2,gamificado,3.142857142857143,4.285714285714286,2.8,2.027777778,1.75,2.25,1.5,2.0,2.75,2.0,2.0,2.5,1.5,161,2488,395,394,39,15
1183088b,não gamificado,3.2857142857142856,2.0,3.4,3.066666667,2.75,3.75,2.0,2.5,2.5,3.6,3.5,3.5,3.5,136,3119,412,293,11,4
14121700,não gamificado,3.142857142857143,2.2857142857142856,3.4,2.227777778,2.25,2.0,2.5,2.75,1.5,2.8,2.25,2.5,1.5,156,4498,439,214,20,6
16365006,não gamificado,3.4285714285714284,2.2857142857142856,1.6,2.8,3.0,3.0,3.25,2.75,3.0,2.2,2.5,3.25,2.25,376,3327,483,329,37,19
29f829ab,não gamificado,3.142857142857143,4.571428571428571,2.6,2.316666667,1.75,3.0,3.25,4.25,2.5,1.6,1.75,1.5,1.25,347,4359,423,351,28,12
2c693620,não gamificado,3.142857142857143,3.7142857142857135,3.6,4.011111111,4.5,5.0,4.25,4.25,3.5,3.6,4.0,3.5,3.5,456,2249,385,227,18,15
3362c235,gamificado,3.142857142857143,3.571428571428572,3.0,2.155555556,1.25,2.0,3.5,2.75,2.25,1.4,3.0,1.5,1.75,369,3833,408,279,32,8
34d79ab8,gamificado,4.142857142857143,4.0,3.6,1.95,2.0,1.25,2.75,2.0,2.0,1.8,2.25,1.75,1.75,394,2060,311,244,35,15
35c5b93b,não gamificado,2.857142857142857,4.142857142857143,4.8,2.088888889,1.5,1.75,2.5,2.75,2.0,1.8,2.0,2.25,2.25,308,3377,352,211,19,11
3b4ccbc1,não gamificado,3.142857142857143,3.4285714285714284,3.2,1.911111111,2.0,1.5,1.5,2.0,2.25,2.2,2.25,1.5,2.0,363,2925,379,279,24,18
4779490d,gamificado,2.0,3.142857142857143,3.4,4.083333333,3.0,4.0,4.25,4.5,4.0,4.0,5.0,4.75,3.25,428,2060,339,212,30,4
49a49ce0,não gamificado,3.142857142857143,3.7142857142857135,2.0,2.061111111,2.0,2.25,2.75,2.5,1.75,1.8,2.25,1.0,2.25,414,3258,466,245,29,6
4c35836b,não gamificado,2.142857142857143,3.2857142857142856,3.8,3.938888889,3.5,4.75,4.5,3.25,2.75,4.2,3.25,5.0,4.25,491,4652,330,210,29,2
4d27a0e8,gamificado,3.4285714285714284,2.857142857142857,4.0,2.738888889,3.25,2.25,4.25,2.25,1.75,3.4,2.5,2.0,3.0,275,4607,460,334,39,4
511a3078,gamificado,2.142857142857143,3.142857142857143,3.2,4.161111111,4.25,5.0,4.25,4.25,4.25,4.2,4.5,3.5,3.25,224,2096,409,259,22,19
56af68f5,gamificado,3.7142857142857135,4.0,4.4,2.633333333,2.25,1.75,2.75,2.0,3.75,3.2,1.5,4.25,2.25,263,2285,432,220,13,6
60099c38,não gamificado,2.7142857142857144,4.142857142857143,3.8,3.972222222,3.25,3.75,3.75,4.0,4.75,4.0,3.75,4.5,4.0,104,4942,334,214,25,14
69611158,gamificado,3.142857142857143,4.0,3.8,2.838888889,3.25,1.5,2.0,3.75,2.75,3.8,2.25,3.25,3.0,173,3479,426,376,16,15
6a5775dd,não gamificado,2.7142857142857144,2.7142857142857144,2.6,4.272222222,3.75,4.5,4.5,4.25,4.0,4.2,5.0,4.25,4.0,437,4749,362,350,24,3
6cf00ed3,gamificado,2.571428571428572,4.142857142857143,3.6,2.666666667,3.0,3.25,2.0,1.5,2.5,3.0,1.75,3.75,3.25,192,2866,444,363,21,5
71dfbdc0,não gamificado,2.142857142857143,3.857142857142857,3.6,3.077777778,2.5,2.0,3.5,3.5,2.5,3.2,3.75,3.25,3.5,195,2627,379,396,39,6
744ea24b,não gamificado,3.571428571428572,2.7142857142857144,2.8,2.361111111,2.25,1.5,4.5,2.75,2.0,2.0,2.25,2.5,1.5,130,3636,493,220,21,2
7d262f2b,gamificado,3.142857142857143,1.5714285714285714,2.2,3.714285714,3.25,2.25,3.0,3.0,4.0,3.75,2.75,1.75,2.25,198,1609,493,219,16,3
8b39b170,não gamificado,1.8571428571428568,3.4285714285714284,2.0,2.6,2.5,2.25,2.25,2.75,2.25,3.4,3.5,2.0,2.5,392,3291,445,359,28,19
8c8ce9fd,não gamificado,2.0,2.857142857142857,2.6,4.094444444,4.0,4.75,4.5,4.0,4.25,3.6,3.25,4.5,4.0,438,1954,351,356,14,19
90b1796d,não gamificado,2.857142857142857,3.4285714285714284,2.8,3.983333333,4.25,4.25,4.75,4.5,4.0,2.6,3.75,4.25,3.5,299,4849,344,201,39,3
91a35aee,gamificado,3.2857142857142856,4.0,3.0,3.85,3.25,4.25,4.25,4.0,3.75,4.4,3.75,3.5,3.5,255,3405,418,355,25,18
94324565,gamificado,1.5714285714285714,4.142857142857143,2.4,1.905555556,2.25,1.75,1.5,2.75,1.5,2.4,1.75,1.5,1.75,198,3060,353,345,14,11
9aef9088,não gamificado,3.2857142857142856,4.0,3.0,4.055555556,3.25,4.5,4.5,3.25,3.75,4.0,4.5,4.5,4.25,144,2610,406,326,28,8
a0b0f6ae,não gamificado,2.857142857142857,3.142857142857143,3.2,3.811111111,2.75,4.5,4.25,4.25,3.75,2.8,4.0,4.5,3.5,255,4520,457,296,39,9
a9d87bce,gamificado,2.7142857142857144,2.571428571428572,2.2,2.605555556,1.75,1.5,3.25,4.0,2.25,4.2,2.25,2.25,2.0,328,2456,333,231,30,14
ac496445,gamificado,2.2857142857142856,3.2857142857142856,3.6,3.244444444,4.0,3.0,3.75,2.25,3.25,3.2,3.75,3.0,3.0,186,2152,380,201,22,2
b166d756,não gamificado,2.7142857142857144,3.2857142857142856,3.4,3.466666667,3.25,3.25,4.0,3.75,3.5,3.2,2.75,4.0,3.5,277,1682,394,290,19,7
b7c1ac58,gamificado,3.4285714285714284,3.0,3.8,4.1,3.75,4.25,4.5,4.0,4.0,4.4,4.75,3.5,3.75,187,1688,473,298,35,13
bd9f45bd,gamificado,2.857142857142857,3.0,1.8,3.988888889,3.25,4.0,4.0,2.5,4.25,4.4,4.5,4.75,4.25,300,2928,485,277,14,7
be4d70e5,gamificado,3.7142857142857135,3.571428571428572,3.0,2.338888889,2.75,1.75,3.75,2.5,3.25,1.8,2.25,2.0,1.0,241,2011,476,292,15,16
c0ec43e5,não gamificado,3.571428571428572,3.0,4.6,4.428571429,3.25,4.0,4.0,3.25,2.75,3.5,3.5,3.25,3.5,359,1865,434,342,36,5
c984ce85,gamificado,3.571428571428572,2.571428571428572,4.4,2.244444444,2.75,1.75,2.75,3.0,2.25,2.2,1.75,2.0,1.75,249,3697,490,211,19,10
cba08983,gamificado,1.5714285714285714,3.2857142857142856,2.0,2.638888889,4.0,3.0,1.5,3.5,2.0,1.0,3.0,3.25,2.5,242,1190,403,270,20,6
cc15d10e,gamificado,3.7142857142857135,4.285714285714286,3.4,3.15,2.25,3.75,4.0,3.75,3.0,2.6,2.5,3.75,2.75,313,3803,415,360,33,4
d13a621d,não gamificado,2.142857142857143,1.5714285714285714,1.4,2.688888889,3.5,2.5,2.25,2.0,3.0,3.2,2.0,3.25,2.5,396,2407,367,367,15,19
dc9e6a2e,gamificado,3.0,3.4285714285714284,1.4,2.011111111,1.25,1.25,2.25,2.5,2.75,1.6,2.25,1.5,2.75,188,2635,369,247,10,7
ddc3f0f6,gamificado,2.571428571428572,2.571428571428572,3.8,3.666666667,1.0,4.0,4.25,4.0,3.5,4.0,4.5,4.25,3.5,265,4283,304,270,22,10
e941433d,não gamificado,2.571428571428572,3.0,2.6,2.183333333,1.25,2.75,3.75,2.25,2.25,2.4,2.0,1.5,1.5,206,4675,400,371,24,1
