col0,col1,col2,col3,col4,col5,col6,col7,col8
03/13/2010,Criterium,Men,Cat,D,,,,
"Place,License",,,,,,,,
"1,296513,Brian,Moses,Missoula,MT,,University",of,Montana,,,,,,
"2,308857,Jesse,Potts,Bellingham,WA,,Western",Washington,University,,,,,,
"3,290276,Seth,Phillips,Winthrop,ME,,University",of,Montana,,,,,,
"4,310356,kevin,peterson,Ferndale,WA,,Central",Washington,University,,,,,,
"5,308966,Justin,Drucker,Houston,TX,,University",of,Montana,,,,,,
"6,306122,bryan,richardson,Portland,OR,,Portland",State,University,,,,,,
"7,309066,Luke,Juras,Missoula,MT,,University",of,Montana,,,,,,
"8,274987,Anthony,Purviance,Westminster,CO,,University",of,Montana,,,,,,
"9,305658,Daniel,Miller,Corvallis,OR,,Oregon",State,University,,,,,,
"10,204223,Tyler,Wilson,Tacoma,WA,,Pacific",Lutheran,University,,,,,,
"11,174490,Morgan,Borman,Eastsound,WA,,Western",Washington,University,,,,,,
"12,289307,Michael,Kim,Seattle,WA,,University",of,Washington-Seattle,,,,,,
"13,304111,Kevin,Bernstein,State","College,PA,,Willamette",University,,,,,,
"14,306445,Devin,Mounts,Gresham,OR,,Western",Washington,University,,,,,,
"15,304959,Hasan,Zuhairy,Philadelphia,PA,,Portland",State,University,,,,,,
"16,307990,Jordan,Tremper,Puyallup,WA,,Pacific",Lutheran,University,,,,,,
"17,305283,Peter,Buco,Portland,OR,,Portland",State,University,,,,,,
"18,272777,paul,fleck,Portland,OR,,Portland",State,University,,,,,,
"19,305678,Kyle,Wagner,Corvallis,OR,,Oregon",State,University,,,,,,
"20,304907,James,Ramey,Portland,OR,,Portland",State,University,,,,,,
"21,307347,Peter,Young!,Missoula,MT,,University",of,Montana,,,,,,
"22,304109,Stephen,Moore,Beaverton,OR,,Willamette",University,,,,,,,
"23,308422,Austin,Burton,Graham,WA,,Central",Washington,University,,,,,,
"24,308250,Patrick,Ruthford,Maplevalley,WA,,Pacific",Lutheran,University,,,,,,
"25,290275,Scott,Patton,Orting,WA,,Central",Washington,University,,,,,,
"26,292404,Kyle,Stolp,Port","Orchard,WA,,Central",Washington,University,,,,,
"27,305248,Greg,Richards,Battleground,WA,,Portland",State,University,,,,,,
"28,308318,Joe,Olson,Tacoma,WA,,Pacific",Lutheran,University,,,,,,
"29,309937,Jacob,Mooberry,Pullman,WA,,Washington",State,University,,,,,,
"30,242334,Daniel,Strachan,Custer,WA,,Western",Washington,University,,,,,,
03/13/2010,Criterium,Men,Cat,C,,,,
"Place,License",,,,,,,,
"1,217099,Ryan,Short,Kirkland,WA,,Western",Washington,University,,,,,,
"2,307664,Ryan,Larson,Seattle,WA,,University",of,Washington-Seattle,,,,,,
"3,292173,Connor,Driscoll,Boise,ID,,Gonzaga",University,,,,,,,
"4,296196,Lincoln,Wettenhall,New","York,NY,,Portland",State,University,,,,,
"5,292595,John,Fitzgerald,Ft.","Collins,CO,,University",of,Montana,,,,,
"6,295874,Blair,VanderLugt,Orono,ME,,Boise",State,University,,,,,,
"7,303374,Steven,Weiler,Fort","Collins,CO,,Washington",State,University,,,,,
"8,293025,Scott,Hippe,Spokane,WA,,Gonzaga",University,,,,,,,
"9,305049,David,Hancock,Walla","Walla,WA,,Whitman",College,,,,,,
"10,290403,Luke,Shoemaker,Sedro","Woolley,WA,,Western",Washington,University,,,,,
"11,304664,Nathaniel,Pitts,Seattle,WA,,University",of,Washington-Seattle,,,,,,
"12,289453,Steven,Eriksen,Corvallis,OR,,Oregon",State,University,,,,,,
"13,293544,Andrew,Easley,Olympia,WA,,Washington",State,University,,,,,,
"14,292689,Paul,Yarborough,Reno,NV,,Gonzaga",University,,,,,,,
"15,291475,David,Truong,Alameda,CA,,University",of,Washington-Seattle,,,,,,
"16,291563,Robert,Stewart,Corvallis,OR,,Oregon",State,University,,,,,,
"17,282414,Michael,Stearns,St",Louis,"Park,MN,,Montana",State,University-Bozeman,,,,
"18,307816,Andrew,Kersh,Spokane,WA,,Gonzaga",University,,,,,,,
"19,292325,nathan,luke,Bozeman,MT,,Montana",State,University-Bozeman,,,,,,
"20,288097,Kyle,Holmes,Portland,OR,,Portland",State,University,,,,,,
