col0,col1,col2,col3,col4,col5,col6,col7
"Unit 8913 Box 1934
DPO AA 90749",2,Norma Fisher, Model Number, R, 350, -, -
"Unit 1761 Box 0471
DPO AA 17988",1,Jorge Sullivan, Firmware Version, R, -, -, -
"24000 Erin Point Suite 590
Josephmouth, NE 49318",1,Elizabeth Woods, DYNAMIXEL ID, RW, 1, 0, 252
"69402 Joseph Junction
Jennifermouth, RI 05175",1,Susan Wagner, Communication Speed, RW, 3, 0, 3
"94568 Kelly Neck
North Kyle, NC 96008",1,Peter Montgomery, Response Delay Time, RW, 250, 0, 254
"4611 Wells Ville Suite 171
Simmonsport, WA 90561",2,Theodore Mcgrath, Clockwise Angle Limit, RW, 0, 0, 1023
"PSC 2961, Box 1133
APO AE 50939",2,Stephanie Collins, Counter-Clockwise Angle Limit, RW, 1023, 0, 1023
"847 Kramer Station Apt. 615
West Brenda, NE 25659",1,Stephanie Sutton, Control Mode, RW, 2, 1, 2
"087 David Locks
Jaredton, IL 82213",1,Brian Hamilton, Maximum Internal Temperature Limit, RW, 65, 0, 150
"6582 Vanessa Oval
New Richard, NE 68819",1,Susan Levy, Minimum Input Voltage Limit, RW, 60, 50, 250
"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",1,Sean Green, Maximum Input Voltage Limit, RW, 90, 50, 250
"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",2,Kimberly Smith, Maximun Torque, RW, 1023, 0, 1023
"891 Bullock Ford
Amandachester, NJ 51431",1,Jennifer Summers, Select Types of Status Return, RW, 2, 0, 2
"02489 Cook Park
Sherriport, MT 50853",1,April Snyder, Shutdown Error Information, RW, 3, 0, 7
"23450 Timothy Divide
Wuland, UT 20341",1,Dana Nguyen, Motor Torque On/Off, RW, 0, 0, 1
"0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",1,Cheryl Bradley, Status LED On/Off, RW, 0, 0, 7
"1097 Santos Springs Suite 264
New Michelleborough, WY 51884",1,Walter Pratt, Derivative Gain, RW, 0, 0, 254
"5100 Scott Burg
East Clayton, SC 66353",1,Bobby Flores, Integral Gain, RW, 0, 0, 254
"412 Snow Manors Apt. 161
South Kimtown, NV 57004",1,Tasha Rodriguez, Proportional Gain, RW, 32, 0, 254
"5415 David Square
West Michaeltown, IN 48447",2,Michelle Kelley, Desired Position, RW, -, 0, 1023
"03104 Norris Rapids
Port Donald, DE 62982",2,Kimberly Maynard, Moving Speed(Moving Velocity), RW, -, 0, 2047
"03557 Phillips Wells Suite 291
New Beverlyburgh, FL 16915",2,Laurie Wallace, Torque Limit, RW, -, 0, 1023
"332 Watson Shore Apt. 290
Millerland, MT 39742",2,Janice Johnston, Present Position, R, -, -, -
"645 John Roads
Danahaven, MS 54060",2,Collin Lopez, Present Speed, R, -, -, -
"3547 Stephanie Underpass Apt. 418
Port Jacqueline, HI 55774",2,Mary Alvarez, Present Load, R, -, -, -
"5825 Welch Corners
Fischerport, UT 59363",1,Peter Mcdowell, Present Voltage, R, -, -, -
"41489 Roger Terrace
Davisfort, IN 71770",1,Sarah Villanueva, Present Temperature, R, -, -, -
"014 Aaron Locks Suite 714
Justinborough, CO 05147",1,Kimberly Myers, If Instruction is registered, R, 0, -, -
"8518 Pamela Track Apt. 164
Aprilshire, SC 28062",1,Desiree Cain, Movement Status, R, 0, -, -
"864 Ramos Port Apt. 211
Moralesmouth, OH 88090",1,Stephanie Lawrence, Hardware Error Status, R, 0, -, -
"637 Neal Island Suite 074
Lake Tyler, RI 28775",2,Lauren Hayes, Minimum Current Threshold, RW, 32, 0, 1023
