col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
1,Norma Fisher,Norma Fisher,Sales Representative,Ms.,2018-12-23,00:00.0,"93328 Davis Island
Rodriguezside, VT 16860",,,41942,,,,,,,,,,
Apt. 2A,Jorge Sullivan,Jorge Sullivan,98122,USA,1997-02-20,5467,"894 Davis Union
Stewartbury, HI 25324",Education includes a BA in psychology from Colorado State University in 1970.  She also completed The Art of the Cold Call.  Nancy is a member of Toastmasters International.,2,00945,,,,,,,,,,
2,Elizabeth Woods,Elizabeth Woods,Vice President, Sales,2018-05-02,00:00.0,"471 Erika Curve
North Megan, UT 71358",908 W. Capital Way,Tacoma,28488,98401,USA,(206) 555-9482,3457,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,Andrew received his BTS commercial in 1974 and a Ph.D. in international marketing from the University of Dallas in 1981.  He is fluent in French and Italian and reads German.  He joined the company as a sales representative, was promoted to sales manager i,,http://accweb/emmployees/fuller.bmp,
3,Susan Wagner,Susan Wagner,Sales Representative,Ms.,2015-06-21,00:00.0,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",Kirkland,WA,02374,USA,(206) 555-3412,3355,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000080540000424D80540000000000007600000028000000C0000000E0000000010004000000000000540000CE0E0000D80E0000000000,Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.,2,http://accweb/emmployees/leverling.bmp,,,
4,Peter Montgomery,Peter Montgomery,Sales Representative,Mrs.,2012-07-20,00:00.0,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",Redmond,WA,94522,USA,(206) 555-8122,5176,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.,2,http://accweb/emmployees/peacock.bmp,,,
5,Theodore Mcgrath,Theodore Mcgrath,Sales Manager,Mr.,1970-01-29,00:00.0,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",London,,99428,UK,(71) 555-4848,3453,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent po,2,http://accweb/emmployees/buchanan.bmp
6,Stephanie Collins,Stephanie Collins,Sales Representative,Mr.,2011-08-22,00:00.0,"87091 Gonzalez Knolls
Masseyshire, UT 88665",,,00810,,,,,,,,,,
Miner Rd.,Stephanie Sutton,Stephanie Sutton,EC2 7JR,UK,2003-08-03,428,"225 Wilson Mills
North Thomas, OK 67164",Michael is a graduate of Sussex University (MA, economics,89074, marketing, 1986).  He has also taken the courses Multi-Cultural Selling and Time Management for the Sales Professional. He is fluent,5,http://accweb/emmployees/davolio.bmp,,,,,,
7,Brian Hamilton,Brian Hamilton,Sales Representative,Mr.,1992-09-02,00:00.0,"PSC 5642, Box 8071
APO AA 97365",,,69752,,,,,,,,,,
Winchester Way,Susan Levy,Susan Levy,RG1 9SP,UK,1986-08-07,465,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled Selling in Europe,80725,,,,,,,,,,
8,Sean Green,Sean Green,Inside Sales Coordinator,Ms.,2019-09-12,00:00.0,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",Seattle,WA,13317,USA,(206) 555-1189,2344,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D16540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.,2,http://accweb/emmployees/davolio.bmp,,,
9,Kimberly Smith,Kimberly Smith,Sales Representative,Ms.,1992-02-17,00:00.0,"75470 Lopez Roads
Port Jessicatown, TX 55221",London,,25464,UK,(71) 555-4444,452,0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D16540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000,Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.,5,http://accweb/emmployees/davolio.bmp,,,
