col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
08/21/2010,Criterium,Men,Master,40+,40-99,,,,
"Place,License",,,,,,,,,
"1,23665,John,McKone,Park","City,UT,00:52:23,Team",Northwave,,,,,,,
"2,143866,Zan,Treasure,Ogden,UT,00:52:28,Bountiful",Mazda,,,,,,,,
"3,38323,Cris,Williams,Park","Ciyt,UT,00:52:49,Rocky",Mtn,Sport,&,Spine,,,,
"4,25293,Jeffrey,Mozingo,Grand","Junction,CO,00:52:49,",,,,,,,,
"5,46298,Barry,Makarewicz,Salt",Lake,"City,UT,00:52:50,ski",utah,,,,,,
"6,16599,Joseph,Holmes,Bainbridge","Island,WA,00:52:53,Hagens",Berman,,,,,,,
"7,250690,Mark,Twight,Holladay,UT,00:52:55,Big",Ring/,Real,Cyclist,,,,,,
"8,168761,Tony,Chesrow,Pocatello,ID,00:53:00,VeloCity",Cyclists/Canyon,Bicycl,,,,,,,
"9,36248,Jeffrey,Ure,Park","City,UT,00:53:03,Bountiful",Mazda,Cycling,Team,,,,,
"10,266132,Eric,Martin,St.","George,UT,00:53:03,skullcandy/jsa",architects,,,,,,,
"11,200321,James,Ferguson,Mapleton,UT,00:53:35,Bountiful",Mazda,,,,,,,,
"12,67936,Michael,Profsky,Cottonwood","Heights,UT,00:53:35,canyon",bicycles,-,draper,,,,,
"13,142960,Jerald,Hunsaker,Midvale,UT,00:53:39,Bountiful",Mazda,,,,,,,,
"14,210566,Alex,Lizarazo,North","Ogden,UT,00:53:39,Simply",Mac,,,,,,,
"15,349262,Bill,SOMMERS,Silt,CO,00:53:39,",,,,,,,,,
"16,48931,Robert,Walker,Pocatello,ID,00:53:39,Bountiful",Mazda,,,,,,,,
"17,66814,John,McIlmoil,Provo,UT,00:53:39,",,,,,,,,,
"18,48613,Wayne,Cottrell,San","Clemente,CA,00:53:39,Ogden",One,,,,,,,
"19,50747,James,Kupferschmidt,Park","City,UT,00:53:39,",,,,,,,,
08/21/2010,Criterium,Men,Cat4/5,,,,,,
"Place,License",,,,,,,,,
"1,317564,Nathan,King,Redlands,CA,45:34.4,",,,,,,,,,
"2,296029,Timothy,Matthews,Park","City,UT,45:34.5,Team",Big,Ring/,Real,Cyclist,,,,
"3,296523,Brian,Cadman,Park","City,UT,45:57.0,Team",Big,Ring/RealCyclist,,,,,,
"4,181987,Zack,Butterfield,South","Jordan,UT,45:57.6,Canyon",Bicycles,(Draper),,,,,,
"5,260377,Norman,Frye,Salt",Lake,"City,UT,46:16.4,Ski",Utah,,,,,,
"6,197038,Casey,Simons,Park","City,UT,46:26.8,",,,,,,,,
"7,244438,Scott,Morrison,Kaysville,UT,46:28.2,",,,,,,,,,
"8,278138,Chad,VanSolkema,Salt",Lake,"City,UT,46:35.1,Bicycle",Center,,,,,,
"9,256404,Adam,Jones,Orem,UT,46:35.3,Ozone",,,,,,,,,
"10,111033,Brock,Cannon,St","George,UT,46:43.7,",,,,,,,,
"11,282248,Ethan,Fedor,Park","City,UT,46:56.5,",,,,,,,,
"12,295868,Nicholas,Sells,Clearfield,UT,46:56.6,Big",Ring,,,,,,,,
"13,156944,Tyler,Fought,Salt",Lake,"City,UT,47:01.1,Team",Pyro,Apparel,,,,,
"14,292637,Brett,Denney,Salt",Lake,"City,UT,47:32.4,",,,,,,,
"15,260918,Kevin,Parry,Sandy,UT,47:56.6,Skull",Candy/JSA,Architects,,,,,,,
"16,100662,Thom,Morton,Midway,UT,48:22.0,",,,,,,,,,
"17,291424,Liam,ODonnell,Murray,UT,48:22.4,SLC",Bicycle,Co.,,,,,,,
"18,282625,Christopher,Putt,Parkcity,UT,48:46.9,cole",sport,,,,,,,,
"19,0,bob,KAIN,,,48:47.1,",,,,,,,,,
"20,335824,Brendan,Money,Holladay,UT,48:47.3,",,,,,,,,,
"21,322076,Steve,Lawrence,Salt",Lake,"City,UT,48:56.3,",,,,,,,
"22,314932,Shelby,Burton,Huntington","Beach,CA,48:56.4,",,,,,,,,
"23,321314,Matthew,Sibul,Salt",Lake,"City,UT,48:56.6,",,,,,,,
"24,0,William,KELLY,,,48:56.8,",,,,,,,,,
"25,277068,Steven,Sessions,Eden,UT,48:57.0,Simply",Mac,Racing,,,,,,,
"26,270714,Bryan,Ralston,Beavercreek,OH,49:12.7,",,,,,,,,,
"27,311611,Jason,Miller,Providence,UT,49:12.8,",,,,,,,,,
"28,318376,Lance,Paulson,Draper,UT,49:13.0,Canyon",Bicycles,(Draper),,,,,,,
"29,309826,Scott,Bauer,Park","City,UT,49:22.4,Skull",Candy/JSA,Architects,,,,,,
"30,316778,Ben,Aiello,Madison,NJ,49:22.6,fullthrottle",edurance,,,,,,,,
"31,317048,Arthur,Morris,Midvale,UT,49:34.2,Canyon",Bicycles,(Draper),,,,,,,
"32,308631,michael,blevins,Sandy,UT,49:34.4,",,,,,,,,,
"33,0,Jose,MILLA,,,49:34.5,",,,,,,,,,
"34,256637,Scott,Berlinger,Sherman,CT,49:41.3,",,,,,,,,,
"35,0,david,GROVER,,,49:41.5,",,,,,,,,,
"36,298993,Kelly,Dutson,Salt",Lake,"City,UT,49:41.6,",,,,,,,
08/21/2010,Criterium,Men,Cat1/2/3,,,,,,
"Place,License",,,,,,,,,
"1,57141,Cameron,Hoffman,Clearfield,UT,58:07.4,Bikers",Edge/Destination,Homes,,,,,,,
"2,31059,Jason,Sager,Ogden,UT,1:00:05.5,Jamis",,,,,,,,,
"3,239763,Elliott,Smith,Murray,UT,1:00:06.0,Revolution",Cafe,Rio,,,,,,,
"4,172603,Aaron,Olsen,Park","City,UT,1:00:06.1,FFKR",,,,,,,,
"5,259988,Todd,Neumarker,Pleasant","Grove,UT,1:00:06.1,Biker's",Edge,/,Destination,Home,,,,
"6,85427,Eric,Flynn,Salt",Lake,"City,UT,@1Lap,Cyclesmith",,,,,,,
"7,263234,Justin,Wilson,Salt",Lake,"City,UT,@1Lap,Revolution",Cafe,Rio,,,,,
"8,310119,Tim,Mulvihill,Park","City,UT,@1Lap,",,,,,,,,
"9,47156,Chris,Humbert,Salt",Lake,"City,UT,@1Lap,CONTENDER",BICYCLES,,,,,,
"10,19955,Peter,Kuennemann,Salt",Lake,"City,UT,@1Lap,FFKR",,,,,,,
"11,61182,Peter,Archambault,Cottonwood","Heights,UT,@1Lap,RMCC/Cyclesmith",,,,,,,,
"12,274878,BRYCE,YOUNG,Slc,UT,@1Lap,Simply",Mac,,,,,,,,
"13,143866,Zan,Treasure,Ogden,UT,@1Lap,Bountiful",Mazda,,,,,,,,
"14,97431,Scott,Preston,Parker,CO,@1Lap,revolution",cafe,Rio,,,,,,,
"15,67640,Christopher,Hull,Salt",Lake,"City,UT,@1Lap,",,,,,,,
"16,184083,Kevin,Van","Loon,North",Salt,Lake,",UT,@1Lap,Contender",Bicycles,,,,
"17,150518,Alexander,Rock,Salt",Lake,"City,UT,@1Lap,Barbacoa",-,Mi,Duole,,,,
"18,310659,Brian,Holcombe,Ftcollins,CO,@2Lap,VeloNews",,,,,,,,,
"19,282247,Keegan,Swenson,Park","City,UT,@3Lap,Cole",Sport,,,,,,,
"20,114048,Peter,McMullin,Draper,UT,@3Lap,Revolution/Cafe",Rio,,,,,,,,
"21,274130,Nathan,Baldwin,Pleasant","View,UT,@3Lap,The",Bike,Shoppe,,,,,,
"22,93667,Jeremy,Long,Murray,UT,@3Lap,",,,,,,,,,
"23,119450,Kyle,Brown,Farmington,UT,@3Lap,Bikers",Edge/Destination,Homes,,,,,,,
"24,203097,Carl,Majors,Salt",Lake,"City,UT,@3Lap,RMCC/Cyclesmith",,,,,,,
"25,91576,Andre,Gonzalez,Lehi,UT,@3Lap,Canyon",Bicycles,,,,,,,,
"26,131631,Jeremy,Collins,Farmington,UT,@3Lap,Masherz",,,,,,,,,
"27,198218,Cameron,Candelaria,South","Jordan,UT,@3Lap,ski",utah,cycling,,,,,,
"28,230024,Nathan,Arnim,Salt",Lake,"City,UT,@3Lap,FFKR",,,,,,,
"29,279053,Mark,Albrecht,Draper,UT,@3Lap,Revolution",Cafe,Rio,,,,,,,
"30,223139,Dantley,Young,Riverton,UT,@3Lap,The",Bike,Shoppe,,,,,,,
"31,242779,Kirk,Minor,Riverton,UT,@3Lap,Ski",Utah,Cycling,Team,,,,,,
"32,279040,Steve,Albrecht,Lehi,UT,@3Lap,Revolution",Cafe,Rio,,,,,,,
"33,220916,Clint,Carter,Salt",Lake,"City,UT,@3Lap,Ski",Utah,Cycling,Team,,,,
"34,277951,Cody,Rohovit,Slc,UT,@3Lap,FFKR",,,,,,,,,
"35,55810,Jay,Salazar,Newport","Beach,CA,@3Lap,Millcreek",Bicycles,,,,,,,
"36,23665,John,McKone,Park","City,UT,@3Lap,Team",Northwave,,,,,,,
"37,291052,Michael,Hales,Salt",Lake,"City,UT,@3Lap,Revolution",Cafe,Rio,,,,,
08/21/2010,Criterium,Women,Women,1/2/3,,,,,
"Place,License",,,,,,,,,
"1,89443,Tiffany,Pezzulo,Salt",Lake,"City,UT,53:00.0,Treads.com/DFT",,,,,,,
"2,311522,Kelsy,Bingham,South","Ogden,UT,53:01.1,Roosters",,,,,,,,
