col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
1,4,4,3,5,2,4,4,4,5,1,2,3,5,5,4,,4.0,5.0,2.0,4.0,5.0,,Academia,5.0,1.0,3.0,4.0
2,4,3,4,2,1,1,3,2,3,1,4,4,4,4,4,test complexity (but how is difficulty measured then...),5.0,5.0,3.0,3.0,5.0,,Academia,5.0,0.0,2.0,2.0
3,4,2,3,2,3,1,2,3,3,1,3,3,4,4,4,Story Points or hours,4.0,3.0,2.0,3.0,4.0,,Industry,2.0,1.0,3.0,4.0
4,5,3,4,5,2,2,4,4,4,4,3,2,4,4,4,"Libraries touched, modules touched, team size, team skill, programming language used, test coverage per module/system ",5.0,5.0,4.0,2.0,4.0,"Algorithmic complexity (routing >> new UI). Distribuition of chamges: 10% ui, 20% db, 70% route calc;  test coverage of exisiting functionality",Industry,10.0,0.0,1.0,4.0
5,4,2,3,2,1,1,4,3,2,1,1,1,4,3,2,,1.0,2.0,1.0,2.0,4.0,,Industry,10.0,0.0,1.0,4.0
6,2,1,1,2,2,1,2,2,1,1,1,1,3,2,2,,4.0,3.0,4.0,5.0,5.0,,Industry,6.0,1.0,3.0,4.0
7,2,2,2,3,2,2,3,1,2,1,2,2,3,3,2,,3.0,4.0,3.0,4.0,2.0,,Both,15.0,1.0,4.0,4.0
8,4,3,3,4,3,3,1,2,2,1,2,2,1,2,2,,4.0,4.0,4.0,4.0,4.0,,Academia,25.0,1.0,3.0,5.0
9,5,2,2,3,2,2,3,3,3,1,3,3,4,4,4,,2.0,3.0,1.0,3.0,3.0,"Graphical representation of how severe the impact of the change to the affected service is. Eg.: readonly -access to a database service is less impactful than a database-redesign. Additionally, the 2nd - 6th most impactful change might also be nearly as impactful as the most. I mean I need some kind of boxplot information on the distribution of the tasks. Or a Bubble / scatter Diagram (e.g. axes: complexity vs. impact)",Both,6.0,1.0,5.0,5.0
10,4,1,1,3,1,1,1,1,1,1,1,1,5,3,3,,,,,,,,,,,,
11,5,1,3,3,1,1,2,1,1,1,4,4,5,4,5,,3.0,5.0,2.0,5.0,5.0,,Academia,5.0,0.0,1.0,2.0
12,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,,3.0,3.0,3.0,3.0,3.0,,Academia,5.0,0.0,1.0,4.0
13,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,"Using IFPUG combined with the estimation based on COSMIC, expert based models",4.0,4.0,4.0,5.0,4.0,,Academia,8.0,1.0,4.0,4.0
14,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,1.0,1.0,1.0,1.0,1.0,,Both,7.0,1.0,3.0,2.0
15,3,2,4,3,2,2,4,3,4,1,1,1,4,3,4,Looking at the parameters of the service interface,4.0,4.0,3.0,4.0,4.0,,Both,10.0,1.0,5.0,4.0
16,5,4,4,5,3,4,4,2,3,3,2,3,5,3,5,Strory Points,2.0,3.0,2.0,4.0,4.0,,Both,5.0,0.0,3.0,3.0
17,4,4,4,3,2,1,5,4,4,2,4,2,4,4,4,,5.0,4.0,3.0,5.0,5.0,Scenario that impacts most services,Both,6.0,0.0,4.0,5.0
18,5,5,3,5,3,3,5,3,4,1,1,1,1,1,1,,4.0,4.0,3.0,4.0,4.0,,Academia,5.0,1.0,3.0,5.0
19,5,3,3,2,3,3,1,2,2,1,3,3,5,3,4,,1.0,2.0,3.0,2.0,2.0,,Industry,15.0,0.0,2.0,4.0
20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3.0,3.0,3.0,3.0,3.0,,Academia,6.0,0.0,5.0,5.0
21,3,3,3,1,1,1,2,2,2,1,1,1,5,5,5,,4.0,4.0,4.0,4.0,5.0,,Both,6.0,1.0,4.0,4.0
22,5,4,2,5,3,3,1,3,2,1,4,4,1,4,4,Effort associated to service interface complexity metrics:  https://doi.org/10.1109/ICCNI.2017.8123807,3.0,4.0,3.0,3.0,5.0,,Academia,18.0,0.0,3.0,5.0
23,4,2,4,3,2,3,2,2,3,1,4,4,2,3,3,,4.0,3.0,2.0,3.0,4.0,,Academia,15.0,1.0,3.0,3.0
24,5,2,1,1,1,1,1,4,3,1,2,2,5,4,4,,5.0,2.0,1.0,5.0,5.0,,Academia,8.0,0.0,1.0,5.0
25,5,4,5,2,2,2,3,3,3,1,3,3,1,4,4,,2.0,3.0,3.0,3.0,4.0,,Industry,10.0,0.0,2.0,3.0
26,5,3,4,2,3,1,1,1,1,2,4,3,5,4,4,,4.0,4.0,2.0,2.0,4.0,Estimated business value that this change will generate.,Industry,18.0,1.0,3.0,5.0
27,4,3,4,4,2,3,1,1,1,1,1,1,1,1,1,,3.0,3.0,3.0,3.0,4.0,,Academia,5.0,1.0,3.0,5.0
28,4,2,3,1,1,1,4,3,4,1,4,4,5,4,4,,5.0,3.0,2.0,5.0,5.0,,Industry,6.0,0.0,2.0,4.0
29,3,5,5,5,2,2,5,3,5,1,3,3,5,1,3,,3.0,4.0,2.0,4.0,4.0,,Both,2.0,0.0,1.0,4.0
30,5,5,5,2,1,2,5,3,5,2,3,3,4,5,5,,4.0,4.0,5.0,3.0,3.0,how How many (automated) tests are available for a scenario?,Industry,20.0,1.0,3.0,5.0
31,4,2,3,4,3,4,5,3,3,2,3,2,3,3,3,,4.0,3.0,3.0,4.0,4.0,,Industry,3.0,0.0,3.0,3.0
32,5,3,5,5,4,5,5,3,5,1,1,1,5,4,5,,2.0,2.0,3.0,1.0,1.0,,Both,30.0,1.0,5.0,5.0
33,5,3,4,1,1,1,1,1,1,1,1,1,5,4,4,,4.0,4.0,1.0,3.0,4.0,,Industry,22.0,1.0,4.0,5.0
34,5,3,4,5,2,2,5,3,4,1,3,3,3,3,4,,3.0,4.0,4.0,4.0,4.0,"Timeframe in which some, but not all affected services have been modified",Both,15.0,0.0,3.0,4.0
35,5,2,3,3,2,1,3,3,3,3,3,3,4,3,4,Comparison with other projects,5.0,5.0,2.0,5.0,5.0,,Academia,32.0,1.0,4.0,2.0
36,5,4,5,4,3,2,4,4,4,4,3,3,3,3,3,wideband delphi method,2.0,2.0,2.0,2.0,2.0,Number of dependent components and service duration for example,Both,25.0,1.0,4.0,4.0
37,4,4,2,2,1,2,5,3,5,1,3,3,4,3,4,,5.0,4.0,2.0,3.0,5.0,,Industry,10.0,0.0,2.0,4.0
38,5,5,5,4,5,4,5,4,5,4,4,4,5,5,5,,5.0,5.0,5.0,4.0,4.0,,Both,12.0,1.0,3.0,5.0
39,2,2,2,1,1,2,1,3,3,1,3,3,1,3,3,"nothing ""exact"" like hours or loc but rather something abstract",5.0,4.0,3.0,4.0,5.0,,Industry,7.0,0.0,1.0,5.0
40,5,3,3,5,3,3,2,2,2,1,1,1,3,3,3,Estimated number of services,2.0,2.0,2.0,4.0,5.0,,Both,13.0,0.0,2.0,5.0
