col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
Norma Fisher,36,-,Jugoslawien (SFR),End of career,123,2007-07-07,,Main position:Keeper,Norma Fisher,right,"1,91 m","Aug 29, 2013",43/0,Kenan Hasagić,3446.0,Bosnia-Herzegovina,Jasmineside,No agent,96.0,Goalkeeper,1979-12-17,15448
Jorge Sullivan,48,-,Jugoslawien (SFR),End of career,123,1989-10-23,,,Jorge Sullivan,,"1,92 m","Jul 1, 2005",2/0,,3446.0,Bosnia-Herzegovina,Lisaside,,,Defence,2017-06-23,28377
Elizabeth Woods,40,-,Jugoslawien (SFR),End of career,123,2018-01-30,,Main position:Attacking Midfield,Elizabeth Woods,right,"1,80 m","Jul 1, 2007",4/0,,3446.0,Bosnia-Herzegovina,Port Carrie,,,Midfield - Attacking Midfield,1984-11-20,28401
Susan Wagner,31,30.06.2017,Jugoslawien (SFR),FK Olimpic Sarajevo,11215,1978-06-30,,Main position:Centre Forward,Susan Wagner,both,"1,82 m","Jul 21, 2015",1/0,Emir Hadžić,3446.0,Bosnia-Herzegovina,Seanfurt,Shahar Greenberg,1897.0,Striker - Centre Forward,1973-01-29,28403
Peter Montgomery,38,-,Jugoslawien (SFR),End of career,123,2007-04-03,,Main position:Left-Back,Peter Montgomery,left,"1,82 m","Jul 1, 2013",4/0,,11941.0,Bosnia-Herzegovina,Barbaraport,,,Defence - Left-Back,2009-01-19,28421
Theodore Mcgrath,43,-,,End of career,123,1992-08-23,,,Theodore Mcgrath,,,"Jan 1, 2009",5/0,,3446.0,Bosnia-Herzegovina,East Lori,,,Midfield,2013-02-27,28425
Stephanie Collins,40,-,Jugoslawien (SFR),End of career,123,2006-10-07,,Main position:Left-Back,Stephanie Collins,left,"1,81 m","Jul 1, 2010",2/0,Edis Mulalić,3446.0,Bosnia-Herzegovina,New Tinaview,,,Defence - Left-Back,2006-05-09,28449
Stephanie Sutton,39,-,,End of career,123,1983-10-30,,,Stephanie Sutton,,"1,81 m","Jul 1, 2011",7/0,Adin Mulaosmanović,11941.0,Bosnia-Herzegovina,Jonesberg,,,Defence,2010-12-24,28450
Brian Hamilton,37,-,Jugoslawien (SFR),End of career,123,2011-01-18,,Main position:Left Wing,Brian Hamilton,left,"1,72 m","Jan 1, 2014",9/0,,3446.0,Bosnia-Herzegovina   Croatia,North Megan,,,Midfield - Left Wing,2016-04-25,28470
Susan Levy,38,-,Jugoslawien (SFR),End of career,123,2007-03-29,,Main position:Centre Forward,Susan Levy,,"1,78 m","Jan 1, 2008",5/0,,3446.0,Bosnia-Herzegovina,Masseyhaven,,,Striker - Centre Forward,1975-01-14,28485
Sean Green,29,-,Jugoslawien (SFR),End of career,123,2009-12-27,,Main position:Attacking Midfield Side position: Secondary Striker Central Midfield,Sean Green,right,"1,87 m","Jan 1, 2013",,Haris Bešlija,,Bosnia-Herzegovina,Aimeebury,No agent,96.0,Midfield - Attacking Midfield,1971-10-26,28714
Kimberly Smith,41,-,Jugoslawien (SFR),End of career,123,1989-07-29,,,Kimberly Smith,right,"1,77 m","Jul 1, 2006",20/0,,3446.0,Bosnia-Herzegovina,Lake Brittany,,,Midfield,1978-06-21,28715
Jennifer Summers,33,30.06.2016,Jugoslawien (SFR),NK Celik Zenica,765,2000-04-13,"Feb 20, 2015",Main position:Keeper,Jennifer Summers,right,"1,89 m","Feb 7, 2013",0/0,Adi Adilović,11941.0,Bosnia-Herzegovina,Rileymouth,,,Goalkeeper,2013-03-19,28716
April Snyder,34,30.06.2016,France,APO Levadiakos,2672,1976-03-27,,Main position:Centre Back Side position: Right-Back Defensive Midfield,April Snyder,right,"1,85 m","Aug 31, 2015",24/1,Sanel Jahić,3446.0,Bosnia-Herzegovina   France,Kellerstad,Common Ground Sports Limited,2916.0,Defence - Centre Back,1982-10-30,28719
Dana Nguyen,39,-,,End of career,123,2010-07-30,,Main position:Keeper,Dana Nguyen,,"1,85 m","Jul 1, 2006",6/0,,11941.0,Bosnia-Herzegovina,West Chloefort,,,Goalkeeper,2011-04-06,28722
Cheryl Bradley,41,-,Jugoslawien (SFR),SV Großalmerode,8473,1996-03-11,,,Cheryl Bradley,,,"Jul 1, 2006",,,,Bosnia-Herzegovina,Meganbury,,,Midfield,2009-03-12,39976
Walter Pratt,38,-,,NK Juznjak Sveta Nedjelja,34500,1991-07-30,,Main position:Centre Forward,Walter Pratt,right,"1,85 m","Nov 19, 2012",,,,Croatia,Lake Josephbury,,,Striker - Centre Forward,1978-02-23,41768
Bobby Flores,39,-,,KF Rangaeinga,32459,2009-03-04,,,Bobby Flores,,,"Aug 1, 2013",,,,Bosnia-Herzegovina,Lauramouth,,,Midfield,1996-08-15,89982
Tasha Rodriguez,46,-,,End of career,123,1986-06-23,,,Tasha Rodriguez,,,"Jul 1, 2003",8/0,,3446.0,Bosnia-Herzegovina,Cabreraville,,,Striker,1976-03-25,175968
