col0,col1,col2,col3,col4,col5,col6,col7,col8
0,1,2018-06-04,"93523 Dana Lane
Johnsonshire, WI 87296",S�o Jos� dos Campos,SP,Brazil,01875,23.26
1,60,2018-06-04,"1427 Odonnell Rapids
North Troyport, NH 07035",San Rafaél de la Montaña,Colima,Bangladesh,15626,7.540000000000001
2,61,2018-06-04,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",Vieja Grecia,Quintana Roo,Bolivia,47970,13.88
3,40,2018-06-04,"76104 Marsh Crescent
Dennishaven, SD 85034",Paris,,France,95195,4.96
4,2,2018-06-04,"0003 Grant Lakes
Port Karafort, SD 60619",Stuttgart,,Germany,63507,19.55
5,56,2018-06-04,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",Buenos Aires,,Argentina,42228,19.82
6,2,2018-06-04,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",Stuttgart,,Germany,14675,16.85
7,62,2018-06-04,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",San Cornelio los bajos,San Luis Potosí,Afganistán,89102,15.400000000000002
8,4,2018-06-04,"30601 Hawkins Highway
Morashire, TX 28976",Oslo,,Norway,59827,5.94
9,60,2018-06-04,"49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",San Rafaél de la Montaña,Colima,Bangladesh,48878,10.2
10,43,2018-06-04,"76582 Vanessa Oval
New Richard, NE 68819",Dijon,,France,77080,15.85
11,60,2018-06-04,"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",San Rafaél de la Montaña,Colima,Bangladesh,91816,2.97
12,63,2018-06-04,"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",San Lorenzo los altos,México,Portugal,33778,9.92
13,31,2018-06-04,"891 Bullock Ford
Amandachester, NJ 51431",Halifax,NS,Canada,87866,17.57
14,4,2018-06-04,"02489 Cook Park
Sherriport, MT 50853",Oslo,,Norway,64271,11.89
15,4,2018-06-04,"23450 Timothy Divide
Wuland, UT 20341",Oslo,,Norway,30479,7.900000000000001
16,25,2018-06-04,"0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",Madison,WI,USA,21347,6.930000000000001
17,13,2018-06-04,"1097 Santos Springs Suite 264
New Michelleborough, WY 51884",Bras�lia,DF,Brazil,74116,12.44
18,14,2018-06-04,"5100 Scott Burg
East Clayton, SC 66353",Edmonton,AB,Canada,72804,17.67
19,59,2018-06-04,"412 Snow Manors Apt. 161
South Kimtown, NV 57004",Bangalore,,India,10715,0.99
20,64,2018-06-04,"5415 David Square
West Michaeltown, IN 48447",San Itzel los bajos,Nuevo León,Azerbaiyán,67084,14.86
21,12,2018-06-04,"03104 Norris Rapids
Port Donald, DE 62982",Rio de Janeiro,RJ,Brazil,22521,13.69
22,55,2018-06-04,"03557 Phillips Wells Suite 291
New Beverlyburgh, FL 16915",Sidney,NSW,Australia,03880,10.89
23,28,2018-06-04,"332 Watson Shore Apt. 290
Millerland, MT 39742",Salt Lake City,UT,USA,84808,9.92
24,22,2018-06-04,"645 John Roads
Danahaven, MS 54060",Orlando,FL,USA,22365,1.98
25,65,2018-06-04,"3547 Stephanie Underpass Apt. 418
Port Jacqueline, HI 55774",San Claudia de la Montaña,Tlaxcala,Uzbekistán,68283,5.95
26,22,2018-06-04,"5825 Welch Corners
Fischerport, UT 59363",Orlando,FL,USA,54096,20.569999999999997
27,42,2018-06-04,"41489 Roger Terrace
Davisfort, IN 71770",Bordeaux,,France,80226,17.89
28,53,2018-06-04,"014 Aaron Locks Suite 714
Justinborough, CO 05147",London,,United Kingdom,87093,17.310000000000002
29,20,2018-06-04,"8518 Pamela Track Apt. 164
Aprilshire, SC 28062",Mountain View,CA,USA,27774,17.63
30,7,2018-06-04,"864 Ramos Port Apt. 211
Moralesmouth, OH 88090",Vienne,,Austria,57934,15.920000000000002
31,42,2018-06-05,"637 Neal Island Suite 074
Lake Tyler, RI 28775",Bordeaux,,France,93317,17.450000000000003
32,23,2018-06-05,"0811 Smith Canyon Apt. 904
Jessicabury, WV 75585",Boston,MA,USA,90110,0.99
33,5,2018-06-05,"7562 Fisher Spur
Hernandezberg, MD 17438",Prague,,Czech Republic,53587,13.65
34,22,2018-06-05,"5667 Blair Underpass
South Shelby, VT 07027",Orlando,FL,USA,35120,1.99
