col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
1,,Menu_Item_Root,Norma Fisher,,,,,1,0,0,0,0,0,0000-00-00 00:00:00,0,0,,0,,0,41,Seanfurt,*
2,_adminmenu,com_banners,Jorge Sullivan,,Banners,index.php?option=com_banners,component,0,1,1,4,0,0,0000-00-00 00:00:00,0,0,class:banners,0,,1,10,Barbaraport,*
3,_adminmenu,com_banners,Elizabeth Woods,,Banners/Banners,index.php?option=com_banners,component,0,2,2,4,0,0,0000-00-00 00:00:00,0,0,class:banners,0,,2,3,East Lori,*
4,_adminmenu,com_banners_clients,Susan Wagner,,Banners/Clients,index.php?option=com_banners&view=clients,component,0,2,2,4,0,0,0000-00-00 00:00:00,0,0,class:banners-clients,0,,4,5,New Tinaview,*
5,_adminmenu,com_banners_tracks,Peter Montgomery,,Banners/Tracks,index.php?option=com_banners&view=tracks,component,0,2,2,4,0,0,0000-00-00 00:00:00,0,0,class:banners-tracks,0,,6,7,Jonesberg,*
6,_adminmenu,com_banners_categories,Theodore Mcgrath,,Banners/Categories,index.php?option=com_categories&extension=com_banners,component,0,2,2,6,0,0,0000-00-00 00:00:00,0,0,class:banners-cat,0,,8,9,North Megan,*
7,_adminmenu,com_contact,Stephanie Collins,,Contacts,index.php?option=com_contact,component,0,1,1,8,0,0,0000-00-00 00:00:00,0,0,class:contact,0,,11,16,Masseyhaven,*
8,_adminmenu,com_contact,Stephanie Sutton,,Contacts/Contacts,index.php?option=com_contact,component,0,7,2,8,0,0,0000-00-00 00:00:00,0,0,class:contact,0,,12,13,Aimeebury,*
9,_adminmenu,com_contact_categories,Brian Hamilton,,Contacts/Categories,index.php?option=com_categories&extension=com_contact,component,0,7,2,6,0,0,0000-00-00 00:00:00,0,0,class:contact-cat,0,,14,15,Lake Brittany,*
10,_adminmenu,com_messages,Susan Levy,,Messaging,index.php?option=com_messages,component,0,1,1,15,0,0,0000-00-00 00:00:00,0,0,class:messages,0,,17,22,Rileymouth,*
11,_adminmenu,com_messages_add,Sean Green,,Messaging/New Private Message,index.php?option=com_messages&task=message.add,component,0,10,2,15,0,0,0000-00-00 00:00:00,0,0,class:messages-add,0,,18,19,Kellerstad,*
12,_adminmenu,com_messages_read,Kimberly Smith,,Messaging/Read Private Message,index.php?option=com_messages,component,0,10,2,15,0,0,0000-00-00 00:00:00,0,0,class:messages-read,0,,20,21,West Chloefort,*
13,_adminmenu,com_newsfeeds,Jennifer Summers,,News Feeds,index.php?option=com_newsfeeds,component,0,1,1,17,0,0,0000-00-00 00:00:00,0,0,class:newsfeeds,0,,23,28,Meganbury,*
14,_adminmenu,com_newsfeeds_feeds,April Snyder,,News Feeds/Feeds,index.php?option=com_newsfeeds,component,0,13,2,17,0,0,0000-00-00 00:00:00,0,0,class:newsfeeds,0,,24,25,Lake Josephbury,*
15,_adminmenu,com_newsfeeds_categories,Dana Nguyen,,News Feeds/Categories,index.php?option=com_categories&extension=com_newsfeeds,component,0,13,2,6,0,0,0000-00-00 00:00:00,0,0,class:newsfeeds-cat,0,,26,27,Lauramouth,*
16,_adminmenu,com_redirect,Cheryl Bradley,,Redirect,index.php?option=com_redirect,component,0,1,1,24,0,0,0000-00-00 00:00:00,0,0,class:redirect,0,,37,38,Cabreraville,*
17,_adminmenu,com_search,Walter Pratt,,Search,index.php?option=com_search,component,0,1,1,19,0,0,0000-00-00 00:00:00,0,0,class:search,0,,29,30,Port Heidi,*
18,_adminmenu,com_weblinks,Bobby Flores,,Weblinks,index.php?option=com_weblinks,component,0,1,1,21,0,0,0000-00-00 00:00:00,0,0,class:weblinks,0,,31,36,Port Audreyside,*
19,_adminmenu,com_weblinks_links,Tasha Rodriguez,,Weblinks/Links,index.php?option=com_weblinks,component,0,18,2,21,0,0,0000-00-00 00:00:00,0,0,class:weblinks,0,,32,33,North Davidborough,*
20,_adminmenu,com_weblinks_categories,Michelle Kelley,,Weblinks/Categories,index.php?option=com_categories&extension=com_weblinks,component,0,18,2,6,0,0,0000-00-00 00:00:00,0,0,class:weblinks-cat,0,,34,35,South Christopherville,*
101,mainmenu,Home,Kimberly Maynard,,home,index.php?option=com_content&view=featured,component,1,1,1,22,0,0,0000-00-00 00:00:00,0,1,,0,"{'num_leading_articles':'1','num_intro_articles':'3','num_columns':'3','num_links':'0','orderby_pri':'','orderby_sec':'front','order_date':'','multi_column_order':'1','show_pagination':'2','show_pagination_results':'1','show_noauth':'','article-allow_ratings':'','article-allow_comments':'','show_feed_link':'1','feed_summary':'','show_title':'','link_titles':'','show_intro':'','show_category':'','link_category':'','show_parent_category':'','link_parent_category':'','show_author':'','show_create_date':'','show_modify_date':'','show_publish_date':'','show_item_navigation':'','show_readmore':'','show_icons':'','show_print_icon':'','show_email_icon':'','show_hits':'','menu-anchor_title':'','menu-anchor_css':'','menu_image':'','show_page_heading':1,'page_title':'','page_heading':'','pageclass_sfx':'','menu-meta_description':'','menu-meta_keywords':'','robots':'','secure':0}",39,40,New Andrewburgh,*
