col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1,manosk,2021-07-04,2021-08-01,2021-07-16,ClickAway,"578 Michael Island
New Thomas, NC 34644",Heraklion,65434,1,3,8,0.0
2,manosk,2021-07-04,2021-08-01,2021-07-16,ClickAway,"60975 Jessica Squares
East Sallybury, FL 71671",Heraklion,89540,2,4,3,0.0
3,manosk,2021-07-04,2021-08-01,2021-07-16,ClickAway,"8714 Mann Plaza
Lisaside, PA 72227",Heraklion,42766,3,3,5,0.0
4,panosmark,2021-07-05,2021-08-16,2021-07-10,Ship,"96593 White View Apt. 094
Jonesberg, FL 05565",Lasithi,65832,4,6,1,0.0
5,panosmark,2021-07-05,2021-08-16,2021-07-10,Ship,"848 Melissa Springs Suite 947
Kellerstad, MD 80819",Lasithi,65859,5,7,2,0.0
6,jiannis1976,2021-07-08,2021-08-05,2021-07-12,Ship,"30413 Norton Isle Suite 012
North Lisa, ND 79428",Heraklion,83740,6,8,2,0.0
7,jiannis1976,2021-07-08,2021-08-05,2021-07-12,Ship,"39916 Mitchell Crescent
New Andrewburgh, DE 63315",Heraklion,88328,7,4,5,0.15
8,jiannis1976,2021-07-08,2021-08-05,2021-07-12,Ship,"086 Mary Cliff
North Deborah, NE 24135",Heraklion,26976,8,10,1,0.15
9,afroditiper,2021-07-08,2021-08-05,2021-07-15,ClickAway,"91634 Strong Mountains Apt. 302
West Alyssa, PA 58475",Chania,71648,9,20,1,0.05
10,afroditiper,2021-07-08,2021-08-05,2021-07-15,ClickAway,"6984 Price Shoals
Erictown, WA 10865",Chania,80424,10,12,4,0.05
11,afroditiper,2021-07-08,2021-08-05,2021-07-15,ClickAway,"423 Bell Heights
Brittanyberg, ME 51359",Chania,29176,11,13,1,0.0
12,fanispapanikolaou,2021-07-09,2021-08-06,2021-07-11,ClickAway,"93523 Dana Lane
Johnsonshire, WI 87296",Archanes,01773,12,14,3,0.05
13,fanispapanikolaou,2021-07-09,2021-08-06,2021-07-11,ClickAway,"1427 Odonnell Rapids
North Troyport, NH 07035",Archanes,45094,13,15,24,0.05
14,fanispapanikolaou,2021-07-09,2021-08-06,2021-07-11,ClickAway,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",Archanes,92984,14,16,22,0.0
15,jiannis1976,2021-07-10,2021-07-24,2021-07-16,Ship,"76104 Marsh Crescent
Dennishaven, SD 85034",Heraklion,98416,15,17,2,0.0
16,jiannis1976,2021-07-10,2021-07-24,2021-07-16,Ship,"0003 Grant Lakes
Port Karafort, SD 60619",Heraklion,42215,16,32,1,0.0
17,jiannis1976,2021-07-10,2021-07-24,2021-07-16,Ship,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",Heraklion,42683,17,19,3,0.0
18,marilenat,2021-07-11,2021-08-08,2021-07-23,Ship,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",Athens,05149,18,31,1,0.15
19,marilenat,2021-07-11,2021-08-08,2021-07-23,Ship,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",Athens,69327,19,21,6,0.15
20,marilenat,2021-07-11,2021-08-08,2021-07-23,Ship,"30601 Hawkins Highway
Morashire, TX 28976",Athens,19947,20,22,3,0.0
21,jennychar,2021-07-12,2021-08-09,2021-07-15,Ship,"49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",Patra,34171,21,23,8,0.0
22,jennychar,2021-07-12,2021-08-09,2021-07-15,Ship,"76582 Vanessa Oval
New Richard, NE 68819",Patra,79483,22,33,2,0.0
