col0,col1,col2
2,BANAMEX,"Banco Nacional de México, S.A., Institución de Banca Múltiple, Grupo
Financiero Banamex"
6,BANCOMEXT,"Banco Nacional de Comercio Exterior, Sociedad Nacional de Crédito,
Institución de Banca de Desarrollo"
9,BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, Sociedad Nacional de
Crédito, Institución de Banca de Desarrollo"
12,BBVA BANCOMER,"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA
Bancomer"
14,SANTANDER,"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo
Financiero Santander"
19,BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, Sociedad Nacional de
Crédito, Institución de Banca de Desarrollo"
21,HSBC,"HSBC México, S.A., institución De Banca Múltiple, Grupo Financiero HSBC"
30,BAJIO,"Banco del Bajío, S.A., Institución de Banca Múltiple"
32,IXE,"IXE Banco, S.A., Institución de Banca Múltiple, IXE Grupo Financiero"
36,INBURSA,"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa"
37,INTERACCIONES,"Banco Interacciones, S.A., Institución de Banca Múltiple"
42,MIFEL,"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel"
44,SCOTIABANK,"Scotiabank Inverlat, S.A."
58,BANREGIO,"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio
Grupo Financiero"
59,INVEX,"Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero"
60,BANSI,"Bansi, S.A., Institución de Banca Múltiple"
62,AFIRME,"Banca Afirme, S.A., Institución de Banca Múltiple"
72,BANORTE,"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo
Financiero Banorte"
102,THE ROYAL BANK,"The Royal Bank of Scotland México, S.A., Institución de Banca Múltiple"
103,AMERICAN EXPRESS,"American Express Bank (México), S.A., Institución de Banca Múltiple"
106,BAMSA,"Bank of America México, S.A., Institución de Banca Múltiple, Grupo
Financiero Bank of America"
108,TOKYO,"Bank of Tokyo-Mitsubishi UFJ (México), S.A."
110,JP MORGAN,"Banco J.P. Morgan, S.A., Institución de Banca Múltiple, J.P. Morgan Grupo
Financiero"
112,BMONEX,"Banco Monex, S.A., Institución de Banca Múltiple"
113,VE POR MAS,"Banco Ve Por Mas, S.A. Institución de Banca Múltiple"
116,ING,"ING Bank (México), S.A., Institución de Banca Múltiple, ING Grupo
Financiero"
124,DEUTSCHE,"Deutsche Bank México, S.A., Institución de Banca Múltiple"
126,CREDIT SUISSE,"Banco Credit Suisse (México), S.A. Institución de Banca Múltiple, Grupo
Financiero Credit Suisse (México)"
127,AZTECA,"Banco Azteca, S.A. Institución de Banca Múltiple."
128,AUTOFIN,"Banco Autofin México, S.A. Institución de Banca Múltiple"
129,BARCLAYS,"Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero
Barclays México"
130,COMPARTAMOS,"Banco Compartamos, S.A., Institución de Banca Múltiple"
131,BANCO FAMSA,"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple"
