col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42
--None--,Norma Fisher,CON1,Norma Fisher,123,Norma Fisher,,Trade Show,(900) 975-5304,VP Operations,,woanders,,"753 Padilla Circles
New Jeffrey, FL 71671",,,,,,0,0,0,admin,2010-07-09 23:38:44,0,2011-03-17 09:13:35,0,2011-03-17,2012-03-17,999 Baker Way,,,,Sunnyvale,,CA,,90749,86165,USA,,,
,Jorge Sullivan,CON2,Jorge Sullivan,(376) 460-0976,Jorge Sullivan,(092) 223-5945,Public Relations,(215) 573-4324,Mgr Operations,,,,"8714 Mann Plaza
Lisaside, PA 72227",,,,,,0,0,0,admin,2010-07-09 23:38:44,0,2011-01-31 12:05:01,0,,,1715 Scott Dr,,,,San Francisco,,CA,,24385,68771,USA,,,
,Elizabeth Woods,CON3,Elizabeth Woods,(435) 923-2852,Elizabeth Woods,(105) 252-3316,Employee,(581) 972-5298,IT Developer,,,,"96593 White View Apt. 094
Jonesberg, FL 05565",,,,,,0,0,0,admin,2010-07-09 23:38:44,0,2011-01-31 12:05:02,0,,,999 Baker Way,,,,San Francisco,,CA,,13631,85800,USA,,,
,Susan Wagner,CON4,Susan Wagner,(827) 427-0508,Susan Wagner,(882) 828-0165,Other,(798) 460-0152,IT Developer,,,,"848 Melissa Springs Suite 947
Kellerstad, MD 80819",,,,,,0,0,0,admin,2010-07-09 23:38:45,0,2011-01-31 12:05:02,0,,,999 Baker Way,,,,San Francisco,,CA,,62839,85034,USA,,,
,Peter Montgomery,CON5,Peter Montgomery,(482) 491-4602,Peter Montgomery,(633) 076-5365,Trade Show,(999) 747-7118,President,,,,"30413 Norton Isle Suite 012
North Lisa, ND 79428",,,,,,0,0,0,admin,2010-07-09 23:38:46,0,2011-01-31 12:05:02,0,,,345 Sugar Blvd.,,,,San Mateo,,CA,,52496,45989,USA,,,
,Theodore Mcgrath,CON6,Theodore Mcgrath,(460) 136-5919,Theodore Mcgrath,(690) 300-7311,Existing Customer,(046) 583-5717,VP Sales,,,,"39916 Mitchell Crescent
New Andrewburgh, DE 63315",,,,,,0,0,0,admin,2010-07-09 23:38:46,0,2011-01-31 12:05:02,0,,,999 Baker Way,,,,San Francisco,,CA,,82766,15588,USA,,,
,Stephanie Collins,CON7,Stephanie Collins,(340) 181-2270,Stephanie Collins,(903) 226-7361,Other,(741) 872-1038,VP Operations,,,,"086 Mary Cliff
North Deborah, NE 24135",,,,,,0,0,0,admin,2010-07-09 23:38:48,0,2011-01-31 12:05:02,0,,,999 Baker Way,,,,San Jose,,CA,,11163,20743,USA,,,
,Stephanie Sutton,CON8,Stephanie Sutton,(914) 050-4338,Stephanie Sutton,(738) 571-9515,Word of mouth,(813) 261-7210,President,,,,"91634 Strong Mountains Apt. 302
West Alyssa, PA 58475",,,,,,0,0,0,admin,2010-07-09 23:38:52,0,2011-01-31 12:05:03,0,,,345 Sugar Blvd.,,,,San Francisco,,CA,,03364,36992,USA,,,
,Brian Hamilton,CON9,Brian Hamilton,(403) 579-0337,Brian Hamilton,(201) 799-4322,Employee,(201) 247-4919,VP Sales,,,,"6984 Price Shoals
Erictown, WA 10865",,,,,,0,0,0,admin,2010-07-09 23:38:53,0,2011-01-31 12:05:03,0,,,1715 Scott Dr,,,,San Francisco,,CA,,36508,02935,USA,,,
,Susan Levy,CON10,Susan Levy,(449) 483-6174,Susan Levy,(348) 842-2559,Direct Mail,(547) 620-1228,,,,,"423 Bell Heights
Brittanyberg, ME 51359",,,,,,0,0,0,admin,2010-07-09 23:38:54,0,2011-01-31 12:05:03,0,,,345 Sugar Blvd.,,,,Sunnyvale,,CA,,59873,06045,USA,,,
--None--,Sean Green,CON11,Sean Green,,Sean Green,,--None--,,,,,,"93523 Dana Lane
Johnsonshire, WI 87296",,,,,,0,0,0,admin,2010-11-20 11:27:49,0,2011-01-31 12:05:03,0,,,,,,,,,,,15676,05830,,,,
--None--,Kimberly Smith,CON12,Kimberly Smith,,Kimberly Smith,,--None--,,,,,,"1427 Odonnell Rapids
North Troyport, NH 07035",,,,,,0,0,0,admin,2010-12-12 21:23:21,0,2011-01-31 12:05:03,0,0000-00-00,0000-00-00,,,,,,,,,34119,27467,,,,
,Jennifer Summers,CON13,Jennifer Summers,,Jennifer Summers,,,,,,,,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",,,,,,0,0,0,admin,2010-12-18 16:24:13,0,2011-01-31 12:05:04,0,,,,,,,,,,,17988,89760,,,,
