col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44
f77f65bf-f89c-4ebf-9b88-1414c15ac05c|3000|82|40.673810612384486|342|49.21187388805656|LH|113|68.95251747219794|939|57.86210555843309|LH|26|36.59575299300731|757|66.57122127162346|LL|f|f|18|2020-12-29 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158b49af-c555-4cdf-bdd9-145601c70058|2876|53|68.86779393354998|48|13.364513042597984|LL|39|11.285085458761708|102|43.64952583210975|LH|167|68.16118461895805|236|53.38278034776941|HL|t|t|58|2020-06-18 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288cf712-4af6-4224-b525-6f9450fa6b6d|6286|37|74.80096167906665|621|63.71432441333839|LH|24|61.56922074735969|861|15.26554597158626|LH|164|67.47480573771449|962|50.6759212532872|LL|f|t|47|2020-09-07 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2b10a60-c8ac-47e4-a605-d10e3d778cf4|6286|182|58.88722470989616|181|58.48858999372783|LH|156|41.73666750271896|415|42.34330496894488|HL|64|67.67135859177233|36|22.827651022952622|LL|t|f|190|2020-10-10 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04a729d4-4aea-4000-9a93-768d2c0a1199|2706|28|52.2520259614785|593|62.66143616516993|LL|106|58.30148581997604|322|63.19079834018145|LL|194|24.49807038838763|719|41.3180775865552|LL|f|t|50|2020-08-27 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b5db458-b7e1-4bd0-96e7-c9729919b145|3000|151|38.3904034703161|686|18.6638952841914|HL|46|58.84963099210388|71|50.588564992164926|LH|55|75.12283014903075|412|12.81978977319929|LL|f|t|48|2020-06-03 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398158f5-6502-41de-b6c3-5f22b56a9a13|3000|64|60.23878212007314|703|17.598773725831023|LH|58|18.5642873150096|883|45.98872134263706|LL|128|60.94932582113053|978|77.71558674361108|LL|t|t|11|2020-06-27 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceed0d87-3a5b-4a43-bb3b-5567b91111ce|3000|129|67.10296417452199|951|72.80534346612069|LL|153|19.65947787818481|831|21.05480340502537|HH|51|19.544808786694677|792|55.7028481082918|LL|f|f|9|2020-07-25 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2c3c996-4c37-4bca-9412-00e25a482f35|2706|140|24.2092159101336|407|29.4236196236204|LL|89|77.59413881890855|547|71.72148766740649|HL|37|75.32418884502762|101|47.16323865866968|LL|f|f|57|2020-09-25 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a1b20db-7000-4d5e-8660-9de0f3eabf6d|3000|46|77.11901175741122|97|23.338953365696696|LH|24|60.67215616242063|680|16.330674947176682|LL|99|26.46324366780426|439|55.003799292873495|LL|t|f|86|2020-11-17 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e477d42a-e2d3-4aa5-91fb-945f47072247|2876|159|68.76675812695086|915|37.54588834199091|LL|124|68.3224726349764|166|74.549631298573|LL|130|11.652830992802324|635|19.362617682264517|HL|t|t|105|2020-12-12 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a49b091-8644-4c2c-89dc-38de4a3e578e|6286|115|32.87913910758031|642|74.3012015114378|HL|147|19.409613628040415|884|44.86093828180732|HL|172|76.77462263088667|94|76.16528134049123|HL|f|t|70|2020-06-20 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0581145-f413-4760-925b-37d3d6c02477|6286|163|35.93404772356271|582|76.49001295123256|LH|197|31.877106863383883|166|54.96225502140798|LL|60|77.45030612753185|529|64.34774888404175|HH|f|f|12|2020-09-19 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43001cca-3bde-4827-b0cd-9c210147402e|2876|139|61.36498791549443|733|14.984003145448437|LH|106|24.070316015890192|817|25.50755622707755|LL|186|18.15109481701864|864|53.06065144086527|LL|f|f|151|2020-11-23 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d900b1-1a64-4c9d-922a-0618625dc1e8|2876|187|39.44146228765857|398|32.465424813002485|LL|120|68.47999058163754|823|42.47798415249034|HL|51|50.99619879899136|618|54.58314235778951|LH|f|f|122|2020-07-14 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1752322-4fec-4a10-b32b-af90058cd26d|2876|110|18.632303339715527|949|57.365762268977946|LL|21|42.394782725421415|337|37.48965684059826|LL|127|66.08826233375109|832|10.18799248168463|HL|t|t|118|2020-06-15 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85946c87-ba2c-4463-a833-2b3f533dd1dd|2706|94|61.76302317978155|519|49.96939583643042|HL|187|11.65417336357126|414|26.13271913306992|HL|64|20.013683603964168|756|20.832311675518227|LL|t|t|138|2020-11-19 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ce1240-91a4-40ad-a229-f61610edbcf0|6286|56|47.331207437060485|581|49.0941117957795|LH|61|55.404608984949775|913|49.761985622941694|HH|38|56.03946186557566|860|27.01646679519072|LL|f|f|187|2020-09-30 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08cd6b68-0e29-424d-b50a-545258da480a|2706|90|69.75411451938089|579|63.95429019048733|HL|123|19.38882745728118|242|25.910336156188364|LL|26|25.00485054606292|237|69.24110221257875|HL|t|f|23|2020-11-20 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8553bc18-7868-45ae-843b-c30c321a0ae0|2876|167|18.089299053190985|733|56.14813457938871|LL|189|29.46922342121156|387|48.99388907860494|LL|33|17.589476672221952|112|44.30122480880955|HL|t|f|58|2020-08-20 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4dd8a9c-2310-4565-bb26-2af86475c13f|2876|46|39.316953784147046|132|60.050928230162725|HH|142|75.17137644923694|998|18.32798307083323|LL|48|79.81696744117002|956|18.45516389159601|HL|t|f|64|2020-07-29 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29182392-ab28-4eff-ad64-233f28e1bc30|6286|180|15.413932557894489|449|32.05247822482904|HL|177|50.02625080926092|746|44.93058918436626|LL|126|69.3752396619821|846|54.09608373943402|HL|f|f|178|2020-10-27 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7357076-34c8-4136-b43b-c9a6e2ceed1b|3000|136|78.5060710530764|371|68.15026983145881|HL|176|20.90237496724795|776|33.638396595361726|LH|103|22.242445157526262|39|64.5632786402567|LL|t|t|182|2020-06-02 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e1278d0-5e0b-4515-a147-436d9f3699be|2706|20|67.47973304410502|296|34.426456333202324|LL|109|15.12879258640795|547|45.70720296214969|LL|182|79.12513338155705|438|55.07771206764911|HH|f|t|145|2020-10-22 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6805ca94-e980-4c1a-bcb7-18108e96a3b4|2706|199|67.69317475890817|875|61.02316679927878|LL|32|17.81797130734116|599|47.145283459966656|LL|116|20.972564675831087|812|45.485816250033245|LL|t|f|13|2020-07-02 00:00:00|2021-02-03 18:25:57.430304|2021-02-03 18:25:57.434315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
