col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50
100000001.0,,Norma Fisher,0.0,Flat Rate - Fixed,5.0,,59.99,5.0,0.0,64.99,,,64.99,02/08/2011 10:29,Microsoft Wireless Optical Mouse 5000,micronmouse5000,59.99,59.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99,"USNV Hayes
FPO AP 84543","03557 Phillips Wells Suite 291
New Beverlyburgh, FL 16915","984 Stephen Stravenue
South Michaelton, KY 97488","1220 Heidi Rue Apt. 998
West Haleyburgh, CO 05222","1243 Grimes Corners
Shawchester, CO 78301",Internetware,"5003 Cassandra Estates Suite 148
Haleychester, MD 88806","6775 James Ford
South Victorialand, NC 91397",Tyne and Wear,"Unit 1655 Box 4503
DPO AP 85643","0619 Martin Light Apt. 662
Stephensonstad, AZ 84823","60012 Kline Expressway Apt. 082
North Donald, HI 53906","6067 Martin Forge
Port Amyville, IL 82912","1313 Rose Underpass Apt. 550
Heathertown, RI 08283",checkmo,,pending,02/08/2011 10:29,,,,,Norma Fisher
,,Jorge Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,"Unit 5159 Box 1795
DPO AE 32356","332 Watson Shore Apt. 290
Millerland, MT 39742","Unit 4943 Box 8856
DPO AA 27891","751 Wood Square Suite 732
Port Melissaburgh, SD 22365","Unit 5243 Box 6400
DPO AE 84181",Internetware,"10524 Parker Mall Suite 531
Port Courtneyhaven, TN 76853","431 Johnson Neck Suite 039
Mariechester, VT 67849",Tyne and Wear,"82731 Mosley Coves
South Juliefurt, NM 87425","86739 Amber Drives
West Anthony, DC 81656","5903 Michael Trail Suite 519
Michaelchester, MN 75887","4390 Krueger Harbors Apt. 992
South Kimberlyfort, KS 57512","68277 Smith Brooks Apt. 770
New Brian, MS 13542",,Order updated by Zynk.,,11/08/2011 15:27,,,,,Jorge Sullivan
100000002.0,Complete,Elizabeth Woods,0.0,Flat Rate - Fixed,5.0,,59.99,5.0,0.0,77.99,,,77.99,02/08/2011 11:59,Microsoft Wireless Optical Mouse 5000,micronmouse5000,59.99,59.99,1.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,59.99,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189","645 John Roads
Danahaven, MS 54060","98522 Mathis Viaduct Apt. 909
West Michael, LA 42837","376 Smith Dale Suite 279
South Sarahland, OR 53609","558 Williams Station
Port Pamela, DC 34523",Internetware,"300 Madison Stream
Christophershire, MO 93533","15666 Justin Locks
Lake Ryanport, NM 20687",Tyne and Wear,"12169 Juan Ports
East Melissaport, MO 23058","USNS Payne
FPO AA 02231","82928 Lucas Prairie
New Gabrielview, KS 59044","PSC 0822, Box 6349
APO AP 76356","949 Smith Wall Apt. 932
South Tonya, ID 01948",checkmo,,pending,02/08/2011 11:59,,,,,Elizabeth Woods
,,Susan Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961","3547 Stephanie Underpass Apt. 418
Port Jacqueline, HI 55774","620 Ashley Mills Apt. 507
Julieborough, OH 56059","79148 Pierce Lock Suite 423
Erikberg, CA 09478","4934 Lozano Place Suite 716
Gavinton, VT 63064",Internetware,"4229 Derrick Wells
West Tyler, FL 96763","9947 Torres Viaduct Apt. 506
Benjaminport, TX 30222",Tyne and Wear,"2642 Mallory Corner Apt. 857
West Zacharyport, AR 18854","08379 Chan Wall Apt. 394
West Elizabeth, KY 64998","1524 Matthew Trail Apt. 554
Lorichester, ID 21172","95479 Ramirez Isle
Tinaland, NV 70849","776 Roberson Terrace
Morganside, SC 13525",,Order updated by Zynk.,Complete,02/08/2011 13:37,,,,,Susan Wagner
,,Peter Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,"87091 Gonzalez Knolls
Masseyshire, UT 88665","5825 Welch Corners
Fischerport, UT 59363","212 Shelly Roads
Fischerview, LA 02288","147 Lisa Hill Apt. 512
Port Elizabethshire, ID 01425","41227 Patricia Lake
Martinezbury, LA 35700",,"26239 Michael Shoals
Gregoryview, VA 92174","Unit 3609 Box 5227
DPO AE 13554",,"31276 Michael Fork Apt. 523
New Amy, NM 45520","41543 Hall Village Apt. 361
Elizabethstad, MO 04022","930 Taylor Mill Suite 910
Robertsborough, AL 93632","25638 Ramsey Road
Jonathantown, CA 86522","7746 Kathryn Cape
Lake Sarahmouth, NM 31357",,Order updated by Zynk.,Complete,02/08/2011 13:38,,,,,Peter Montgomery
100000003.0,canceled,Theodore Mcgrath,0.0,Flat Rate - Fixed,5.0,,59.99,5.0,0.0,77.99,,,77.99,02/08/2011 13:46,Microsoft Wireless Optical Mouse 5000,micronmouse5000,59.99,59.99,1.0,0.0,0.0,1.0,0.0,20.0,12.0,0.0,59.99,"225 Wilson Mills
North Thomas, OK 67164","41489 Roger Terrace
Davisfort, IN 71770","8885 Lee Tunnel Suite 208
Port Donna, OK 50851","971 Hansen Well Suite 103
South Mary, KY 29941","028 Harris Drive Apt. 422
Amyburgh, VA 55206",Internetware,"302 Joy Spring Apt. 622
Ryanhaven, IN 88294","20866 Keith Mill
Susanton, NJ 21190",Tyne and Wear,"440 Joseph Parkway Apt. 472
North Spencerhaven, RI 74268","614 William Street
North Vincentchester, OH 46759","779 Mcgrath Lodge Apt. 422
Davidmouth, OK 51613","671 Jennifer Villages
South Jessica, OH 04954","395 Heather Turnpike
Amandaburgh, RI 14378",checkmo,,pending,02/08/2011 13:46,,,,,Theodore Mcgrath
,,Stephanie Collins,,,,,,,,,,,,,,,,,,,,,,,,,,"PSC 5642, Box 8071
APO AA 97365","014 Aaron Locks Suite 714
Justinborough, CO 05147","693 Michael Estate
Lake Michael, NM 03009","511 Berry Fork Suite 623
Sharonfort, WY 47577","PSC 2382, Box 9238
APO AA 93417",Internetware,"734 Craig Overpass Suite 589
Jefferyside, CA 23464","PSC 1174, Box 4460
APO AP 35523",Tyne and Wear,"5953 Braun Drive Apt. 720
New Melissaberg, DE 07704","4274 Shelby Vista
North Tim, MI 56400","0757 Romero Forges
Ashleytown, UT 18511","2197 Sloan Ranch Apt. 803
Rojashaven, DC 73092","Unit 4631 Box 9562
DPO AP 54393",,Order updated by Zynk.,Complete,02/08/2011 13:49,,,,,Stephanie Collins
,,Stephanie Sutton,,,,,,,,,,,,,,,,,,,,,,,,,,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742","8518 Pamela Track Apt. 164
Aprilshire, SC 28062","342 Miller Mission
Lake Jennifer, NY 92905","65873 Chen Knolls
Ramirezfurt, WI 94134","06268 Lewis Place Suite 121
Port Patriciatown, IA 98240",,"272 Green Street
Port Lacey, CA 35243","04374 Nicholas Cliff Suite 001
Adrianport, AL 04838",,"310 Jessica Tunnel Suite 689
Paulaborough, VA 05696","27582 Sarah Mount Suite 759
Timothyport, MT 90936","49630 Melissa Rest Suite 249
Port David, OK 87249","8340 Neal Haven
Andersonborough, ME 27635","46556 Meyers Trace Suite 403
Richardsonland, AL 49680",,,pending,17/08/2011 11:56,,,,,Stephanie Sutton
,,Brian Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085","864 Ramos Port Apt. 211
Moralesmouth, OH 88090","71664 Kim Throughway
Chelsealand, AK 65056","Unit 1741 Box 7253
DPO AP 25003","5641 Brenda Streets Apt. 008
Lake Seanmouth, WI 87205",,"8056 Dunn Trail Apt. 049
Blackshire, IL 61935","271 Andrew Summit
Port Craig, CA 80130",,"070 Hernandez Flats
New Daisymouth, KY 39148","211 Hall Road Apt. 694
New Brandonchester, MN 30297","7920 Sandoval Manors Suite 424
Greenbury, NH 26983","66802 Michael Fort
Kaylahaven, OK 20841","96365 Andre Roads Suite 134
East Ernestshire, WI 57455",,,canceled,08/09/2011 13:47,,,,,Brian Hamilton
100000004.0,processing,Susan Levy,0.0,Flat Rate - Fixed,5.0,,750.0,5.0,0.0,906.0,906.0,,0.0,11/08/2011 15:50,HTC Touch Diamond,HTC Touch Diamond,750.0,750.0,1.0,1.0,0.0,0.0,0.0,20.0,150.0,0.0,750.0,"75470 Lopez Roads
Port Jessicatown, TX 55221","637 Neal Island Suite 074
Lake Tyler, RI 28775","66660 Gomez Port Apt. 945
South Thomashaven, AZ 11181","USNV Porter
FPO AE 89774","92555 Shaw Spurs Suite 207
New Randy, ME 58221",company,"86187 Antonio Fort
North Carmen, CA 72324","17611 Robbins Mission
New Curtis, MN 96166",state,"8675 Black Hollow Suite 856
Sarahview, AL 28557","11892 Howard Pass
South Kimberly, PA 24998","0638 Vaughn Manors Apt. 442
Port Jason, GA 45996","06645 William Throughway Apt. 999
Port Travisbury, KY 21562","38702 Davidson Circles Apt. 474
New Stacey, SC 90473",checkmo,comments,pending,11/08/2011 15:50,100000001.0,Paid,12/08/2011 13:09,906.0,Susan Levy
