col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
432,12523.0,Norma Fisher,67.5,-119.46875,24.84375,16380047759,1,144.0,Patronage,2.0,Empire,48.0,High,6.0,Refinery,Arissa Lavigny-Duval,Exploited,32.0,1,1606530272,HD 10144,12212.0,Achenar Empire League,5.0,Depleted,"753 Padilla Circles
New Jeffrey, FL 71671"
718,8218.0,Jorge Sullivan,-33.65625,72.46875,-20.65625,14900071500,1,96.0,Democracy,1.0,Alliance,32.0,Medium,3.0,High Tech,Edmund Mahon,Control,16.0,1,1606530049,Alioth,1082.0,Alioth Independents,5.0,Depleted,"8714 Mann Plaza
Lisaside, PA 72227"
3023,8971.0,Elizabeth Woods,67.875,-61.84375,-26.40625,5196795,1,96.0,Democracy,3.0,Federation,,,,,,Contested,48.0,1,1593336929,CD-44 1695,38748.0,Movement for CD-44 1695 Values Party,,,"96593 White View Apt. 094
Jonesberg, FL 05565"
7176,,Susan Wagner,-7.34375,-20.0625,-130.71875,1288145124,1,64.0,Corporate,3.0,Federation,48.0,High,1.0,Agriculture,Li Yong-Rui,Control,16.0,0,1606516872,,76107.0,Sirius Special Forces,1.0,Pristine,"848 Melissa Springs Suite 947
Kellerstad, MD 80819"
9924,15775.0,Peter Montgomery,-65.21875,7.75,-111.03125,13814556,1,64.0,Corporate,3.0,Federation,32.0,Medium,3.0,High Tech,Li Yong-Rui,Control,16.0,0,1606530332,,23613.0,Ix Purple Comms Corp.,1.0,Pristine,"30413 Norton Isle Suite 012
North Lisa, ND 79428"
11611,18.0,Theodore Mcgrath,75.75,48.75,70.75,25000000000,1,64.0,Corporate,4.0,Independent,32.0,Medium,1.0,Agriculture,Edmund Mahon,Exploited,32.0,0,1606533304,,56909.0,Lave Radio Network,4.0,Low,"39916 Mitchell Crescent
New Andrewburgh, DE 63315"
11969,4708.0,Stephanie Collins,-30.5,38.5625,-13.4375,500,1,48.0,Confederacy,1.0,Alliance,16.0,Low,11.0,Colony,,,,0,1606532025,LHS 2819,27536.0,Terran Colonial Forces,,,"086 Mary Cliff
North Deborah, NE 24135"
15069,72910.0,Stephanie Sutton,98.53125,-92.625,97.625,0,1,208.0,Prison,4.0,Independent,48.0,High,2.0,Extraction,,,,0,1606523378,,75876.0,Independent Detention Foundation,,,"91634 Strong Mountains Apt. 302
West Alyssa, PA 58475"
16827,4345.0,Brian Hamilton,55.71875,17.59375,27.15625,85206935,1,96.0,Democracy,7.0,Pilots Federation,48.0,High,3.0,High Tech,,,,1,1606533205,,76748.0,Pilots' Federation Local Branch,3.0,Common,"6984 Price Shoals
Erictown, WA 10865"
17072,27.0,Susan Levy,0.0,0.0,0.0,22780871769,1,96.0,Democracy,3.0,Federation,48.0,High,6.0,Refinery,Zachary Hudson,Control,16.0,1,1606533407,,592.0,Mother Gaia,3.0,Common,"423 Bell Heights
Brittanyberg, ME 51359"
17715,4607.0,Sean Green,46.71875,46.625,-1.65625,506933,1,64.0,Corporate,3.0,Federation,16.0,Low,9.0,Tourism,,,,0,1606533122,,45221.0,Thraskias Crimson United PLC,,,"93523 Dana Lane
Johnsonshire, WI 87296"
18454,16714.0,Kimberly Smith,-178.65625,77.125,-87.125,9067138,1,80.0,Cooperative,4.0,Independent,32.0,Medium,4.0,Industrial,,,,0,1606525431,,14271.0,Canonn,1.0,Pristine,"1427 Odonnell Rapids
North Troyport, NH 07035"
1998684,1418617.0,Jennifer Summers,-41.3125,-58.96875,-354.78125,0,1,,,,,16.0,Low,10.0,None,,,,1,1506894523,,,,,,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198"
