col0,col1,col2,col3,col4,col5,col6,col7,col8
06/03/2006,Cross,Country,Men,Trailblazer,,,,
"Place,License",,,,,,,,
"1,0,Parker,Jones,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,Trailblazer,Senior,,,
"Place,License",,,,,,,,
"2,0,Garrett,Thyr,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,Sport,Clydesdale,B,Open,
"Place,License",,,,,,,,
"1,0,Charles,Mills,,,,",,,,,,,,
"2,0,Bill,Buckland,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,SP,Junior,13-14,,
"Place,License",,,,,,,,
"1,201595,Hudson,Thyr,Cataldo,ID,,",,,,,,,,
06/03/2006,Cross,Country,Men,SP,Junior,15-16,,
"Place,License",,,,,,,,
"1,228474,Joshua,Berry,Ketchum,ID,,",,,,,,,,
"2,233563,Dylan,Jones,Austin,TX,,",,,,,,,,
"3,0,Keaton,Keene,,,,",,,,,,,,
"4,0,Ben,Moore,,,,",,,,,,,,
"5,0,Quinn,Deppeschmidt,,,,",,,,,,,,
"6,225393,Brady,Adams,Boise,ID,,",,,,,,,,
"7,0,Riley,Black,,,,",,,,,,,,
"8,231796,William,Adicoff,Ketchum,ID,,",,,,,,,,
06/03/2006,Cross,Country,Men,SP,Open,17-18,,
"Place,License",,,,,,,,
"1,0,Allen,Steckmest,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,SP,Senior,19-29,,
"Place,License",,,,,,,,
"1,0,Nathan,Casey,,,,",,,,,,,,
"2,0,Ryan,Haughton,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,SP,Master,30-39,,
"Place,License",,,,,,,,
"1,0,Daniel,Kaslow,,,,",,,,,,,,
"2,0,Luke,Lynch,,,,",,,,,,,,
"3,0,Mugsy,Nields,,,,",,,,,,,,
"4,0,Forest,Dramis,,,,",,,,,,,,
"5,0,Mike,Winans,,,,",,,,,,,,
"6,0,Tyson,Ekstrom,,,,",,,,,,,,
"7,0,Paul,Nash,,,,",,,,,,,,
"8,0,Sam,McGee,,,,",,,,,,,,
"9,0,Bobby,McNabb","Jr.,,,,",,,,,,,
"10,0,Hal,Miller,,,,",,,,,,,,
"11,246416,james,liddle,Idaho","Falls,ID,,",,,,,,,
06/03/2006,Cross,Country,Men,SP,Master,40-49,,
"Place,License",,,,,,,,
"1,0,Chuck,Keene,,,,",,,,,,,,
"2,0,Kevin,Voyles,,,,",,,,,,,,
"3,0,Barry,Lochridge,,,,",,,,,,,,
"4,0,Richard,Fahey,,,,",,,,,,,,
"5,0,Danny,Kelly,,,,",,,,,,,,
"6,0,Gerald,Richsecker,,,,",,,,,,,,
"7,233564,Cahill,Jones,Boise,ID,,",,,,,,,,
"8,202181,Michael,Bading,Boise,ID,,",,,,,,,,
"9,176313,Montie,Milner,Reno,NV,,",,,,,,,,
"10,0,Dan,Durkin,,,,",,,,,,,,
"11,0,Steve,Rogers,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,SP,Master,50-59,,
"Place,License",,,,,,,,
"1,0,John,Sparks,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,SM,Senior,,,
"Place,License",,,,,,,,
"3,210982,Jason,Keister,Whitefish,MT,,",,,,,,,,
"4,197708,Darren,Lightfield,Boise,ID,,",,,,,,,,
06/03/2006,Cross,Country,Men,Singlespeed,B,Open,,
"Place,License",,,,,,,,
"1,0,Karl,Vanderwood,,,,",,,,,,,,
06/03/2006,Cross,Country,Men,Singlespeed,A,Open,,
"Place,License",,,,,,,,
"1,84173,Marc,Driver,Ketchum,ID,,",,,,,,,,
"2,90758,James,Moores,Boise,ID,,",,,,,,,,
