col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
9/11/2019 16:00:31,Süni,Nő,0-22,8,Korán kelés későn fekvés (bagoly típus vagyok),7,7-5,2-7,5-2,0-4,3-6,6-4,4,5,7,151.0,35.0,Termen kívül,9,8.0,7,7.0,6,6.0,0,1,6,6.0,3.0,8.0
9/11/2019 15:58:45,:),Nő,0-22,10,stressz,8,4-7,,,,,,3,7,5,155.0,37.0,Termen kívül,8,9.0,9,8.0,4,5.0,2,2,3,5.0,2.0,3.0
9/11/2019 15:55:55,mustármag,Nő,0-22,8,"nem tudok elaludni, vagy más dolgok elcsábítanak",7,4-7,,,,,,3,3,3,158.0,36.0,Teremben,6,6.0,5,6.0,2,3.0,1,2,5,4.0,0.0,14.0
9/11/2019 15:54:14,alma,Nő,0-22,9,Álmatlanság,7,2-7,4-5,4-8,,,,4,3,8,159.0,36.0,Teremben,10,9.0,8,8.0,7,8.0,1,1,6,3.0,6.0,3.0
9/11/2019 15:56:44,pupu,Nő,23+,9,szociális média,7,7-4,3-2,3-2,0-5,,,4,10,10,160.0,36.0,Teremben,8,7.0,7,7.0,8,8.0,2,2,5,6.0,5.0,3.0
9/11/2019 15:57:03,alma,Nő,0-22,8,"tanulás, stressz",8,6-3,9-7,4-9,4-1,,,5,3,6,162.0,36.0,Termen kívül,7,8.0,6,7.0,1,3.0,1,1,5,1.0,2.0,5.0
9/11/2019 16:00:57,Nindzsakommandos ,Nő,0-22,7,Chatelés,8,0-8,3-0,6-5,7-4,4-7,,5,9,10,162.0,37.5,Teremben,8,8.0,7,7.0,8,8.0,3,4,7,9.0,6.0,8.0
9/11/2019 15:56:30,brk,Nő,0-22,8,"túl sok program, tanulnivaló stb. későn jutok alváshoz",9,nem rögzítettük,,,,,,4,8,6,164.0,37.0,Termen kívül,8,7.0,6,7.0,8,9.0,1,1,8,8.0,6.0,1.5
9/11/2019 15:56:54,___,Nő,0-22,8,"inszomnia, RLS (alvászavarok)",10,7-1,7-4,9-2,7-2,5-2,,4,5,9,164.0,47.0,Termen kívül,6,7.0,5,6.0,3,4.0,0,0,5,4.0,5.0,5.0
9/11/2019 16:02:15,csoki,Nő,0-22,6,stressz,8,0-2,5-7,0-2,8-4,,,4,7,2,164.0,37.0,Teremben,8,7.0,7,7.0,7,8.0,2,2,9,8.0,5.0,5.0
9/11/2019 15:56:24,ID_02,Nő,0-22,8,,8,2-1,4-9,5-9,,,,4,2,6,165.0,35.0,Termen kívül,9,7.0,7,7.0,5,4.0,1,1,3,5.0,4.0,2.0
9/11/2019 15:59:49,ID_05,Nő,0-22,10,Halogatás,7,7-4,2-1,9-7,8-6,,,4,8,5,168.0,37.0,Teremben,8,8.0,8,7.0,5,8.0,3,2,7,8.0,1.0,0.0
9/11/2019 16:00:03,ID_01,Nő,0-22,9,"Időhiány, rossz időbeosztás",5,7-4,7-5,1-5,,,,5,10,3,168.0,37.0,Termen kívül,9,8.0,8,7.0,5,6.0,6,5,6,1.0,5.0,13.0
9/11/2019 15:55:33,zsuszty,Nő,0-22,7,"Későn érek haza, korán kell kelni",8,8-1,,,,,,5,7,2,169.0,38.0,Termen kívül,8,8.0,7,8.0,7,7.0,1,2,8,8.0,8.0,3.0
9/11/2019 15:56:09,32,Nő,0-22,8,stressz,9,6-7,6-4,7-0,0-6,2-8,semmi-1 ,3,3,6,170.0,38.0,Teremben,8,8.0,6,7.0,3,3.0,5,4,3,6.0,6.0,3.0
