col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52
ch_0IMDAfig6peNXzgDJYQKfT3B,2021-02-18 14:21:50,3293232,0,,,,,False,pm_0Hr3Oyig6peNXzgDkOfs9Dqm,,2021-02-18 14:07:57,usd,cus_IRb688lkE0TnTM,068dfcec35b4d2eb8e5655783b40608e,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDAfig6peNXzgDnE8UotlM,lindawest@kaiser.info,,,False,"207 Mccullough Well Suite 564
New Hannah, WA 10865","02489 Cook Park
Sherriport, MT 50853",,,70149,"9728 Gomez Mountains Suite 377
Trevorton, ME 19219",,Norma Fisher,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMDAVig6peNXzgDHlr1zyyW,2021-02-18 14:21:50,2040000,0,,,,,False,pm_0Hj3Mhig6peNXzgDeAoKLH7U,,2021-02-18 14:07:47,usd,cus_IHmGn2733l3GK6,403e2c77a9041c677cb45b09d65a2636,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDAVig6peNXzgDJXuKVLtD,andrea18@olsen-fernandez.org,,,False,"423 Bell Heights
Brittanyberg, ME 51359","23450 Timothy Divide
Wuland, UT 20341",,,14303,"305 Myers Branch
Lake Michellefurt, MN 05898",,Jorge Sullivan,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMD9Yig6peNXzgDUvMKMSla,2021-02-18 14:21:50,4071,0,,,,,False,pm_0HfVlUig6peNXzgDvnqkgdRQ,,2021-02-18 14:06:48,usd,cus_IEXWsmR0hA8iGL,d36f9f0f170bb3069a9b1d7055c8b412,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMD9Yig6peNXzgDtgkX3pjH,zdavis@yahoo.com,,,False,"93523 Dana Lane
Johnsonshire, WI 87296","0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",,,54345,"4329 Lee Mews
Moranfurt, MA 55775",,Elizabeth Woods,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMDGtig6peNXzgD1jdR6t7Y,2021-02-18 20:21:08,197391,0,,,,,False,pm_0I3Nemig6peNXzgDdDSfZXb9,,2021-02-18 14:14:23,usd,cus_IegzSpQ6V9deOW,f794a8544921fbec51dd986d00a443f8,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDGtig6peNXzgDCuzBH6xK,kellylopez@gmail.com,,,False,"1427 Odonnell Rapids
North Troyport, NH 07035","1097 Santos Springs Suite 264
New Michelleborough, WY 51884",,,83678,"72852 Renee Mills Suite 667
Blairborough, IL 77378",,Susan Wagner,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMDLjig6peNXzgDQ0WJ7OtY,2021-02-18 20:21:09,15000,0,,,,,False,pm_0Hw4QGig6peNXzgDCwWwFnh0,,2021-02-18 14:19:23,usd,cus_IX8c0jeM4yuzDn,cda6649904149ac57765d9deac2263e6,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDLjig6peNXzgDppN3qSTF,thomas12@mclean.net,,,False,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198","5100 Scott Burg
East Clayton, SC 66353",,,71748,"31250 Jesse Hills Apt. 845
Ellishaven, SD 72221",,Peter Montgomery,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMD9Wig6peNXzgDHxwWBPEZ,2021-02-18 14:21:50,183000,0,,,,,False,pm_0HnC5mig6peNXzgDXSNeK1Bu,,2021-02-18 14:06:46,usd,cus_INy1KScKAog1uS,3944b9f788ae4e71b100786be80205de,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMD9Vig6peNXzgDQxQe1FHT,aimee33@hotmail.com,,,False,"76104 Marsh Crescent
Dennishaven, SD 85034","412 Snow Manors Apt. 161
South Kimtown, NV 57004",,,53377,"USCGC Carpenter
FPO AA 33891",,Theodore Mcgrath,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMDDQig6peNXzgDah11dNBN,2021-02-18 14:21:50,243500,0,,,,,False,pm_0HnC5mig6peNXzgDXSNeK1Bu,,2021-02-18 14:10:48,usd,cus_INy1KScKAog1uS,dd43606ef2262a592ebf62590c9d4df5,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDDQig6peNXzgDaC9Gjkx0,shannon51@yahoo.com,,,False,"0003 Grant Lakes
Port Karafort, SD 60619","5415 David Square
West Michaeltown, IN 48447",,,97681,"4000 Michael Highway
East Brycechester, IN 80276",,Stephanie Collins,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMDDUig6peNXzgDyqDvLubr,2021-02-18 14:21:50,2786,0,,,,,False,pm_0HfVlUig6peNXzgDvnqkgdRQ,,2021-02-18 14:10:52,usd,cus_IEXWsmR0hA8iGL,7ae43df98d8720a8f8fa6cc2d7987552,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDDUig6peNXzgDsuEhnuAl,vmatthews@sanchez.com,,,False,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978","03104 Norris Rapids
Port Donald, DE 62982",,,37019,"3591 Laura Islands
Barryview, NC 06314",,Stephanie Sutton,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMDEuig6peNXzgDkP5uU3im,2021-02-18 20:21:07,73650,0,,,,,False,pm_0Hpc71ig6peNXzgDy1i9s6en,,2021-02-18 14:12:20,usd,cus_IQT24DskOLZ2yF,95175f4654496b92456b626a93b7ac33,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDEuig6peNXzgDqEn5B1gv,nathanjackson@cabrera-garcia.com,,,False,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742","03557 Phillips Wells Suite 291
New Beverlyburgh, FL 16915",,,38807,"85334 Collins Wall
Scottstad, VT 31953",,Brian Hamilton,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
ch_0IMDJ3ig6peNXzgD5HDCXZGY,2021-02-18 20:21:08,25600,0,,,,,False,pm_0I6fuwig6peNXzgDpmJZOcbj,,2021-02-18 14:16:37,usd,cus_I5NJ6elPyrZHfj,a4a3c49803b2e7ab42c1f6de44197126,,card_declined,Your card was declined.,,,,True,,declined_by_network,do_not_honor,normal,,The bank returned the decline code `do_not_honor`.,issuer_declined,False,pi_0IMDJ3ig6peNXzgDjJpHOesH,montoyacynthia@guzman.com,,,False,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894","332 Watson Shore Apt. 290
Millerland, MT 39742",,,58482,"77706 Stevens Crest
North Johnberg, IL 58256",,Susan Levy,,,,,,failed,,,,6f867b34cbc9bf57509503b3123a2ecb
