col0,col1,col2,col3,col4
__import__res_bank_1,ABANKA VIPA D.D.,ABANSI2X,Slovenia,5
__import__res_bank_2,BANKA CELJE D.D.,SBCESI2X,Slovenia,6
__import__res_bank_3,BANKA KOPER D.D.,BAKOSI2X,Slovenia,10
__import__res_bank_4,BANKA SLOVENIJE,BSLJSI2X,Slovenia,1
__import__res_bank_5,BANKA SPARKASSE D.D.,KSPKSI22,Slovenia,34
__import__res_bank_6,BKS BANK AG  BANČNA PODRUŽNICA,BFKKSI22,Slovenia,35
__import__res_bank_7,DEŽELNA BANKA SLOVENIJE D.D.,SZKBSI2X,Slovenia,19
__import__res_bank_8,FACTOR BANKA D.D.,FCTBSI2X,Slovenia,27
__import__res_bank_9,GORENJSKA BANKA D.D. KRANJ,GORESI2X,Slovenia,7
__import__res_bank_10,HYPO-ALPE-ADRIA BANK D.D.,HAABSI22,Slovenia,33
__import__res_bank_11,NOVA KREDITNA BANKA MARIBOR D.D.,KBMASI2X,Slovenia,4
__import__res_bank_12,NOVA LJUBLJANSKA BANKA D.D.,LJBASI2X,Slovenia,2
__import__res_bank_13,POŠTNA BANKA SLOVENIJE D.D.,PBSLSI22,Slovenia,90
__import__res_bank_14,PROBANKA D.D.,PROBSI2X,Slovenia,25
__import__res_bank_15,RAIFFEISEN BANKA D.D.,KREKSI22,Slovenia,24
__import__res_bank_16,SBERBANK BANKA D.D.,SABRSI2X,Slovenia,30
__import__res_bank_17,SID - Slovenska izvozna in razvojna banka D.D.,SIDRSI22,Slovenia,38
__import__res_bank_18,SKB BANKA D.D.,SKBASI2X,Slovenia,3
__import__res_bank_19,UNICREDIT BANKA SLOVENIJA D.D.,BACXSI22,Slovenia,29
__import__res_bank_20,ZVEZA BANK  PODRUŽNICA LJUBLJANA,VSGKSI22,Slovenia,37
__import__res_bank_21,DELAVSKA HRANILNICA D.D.,HDELSI22,Slovenia,61
__import__res_bank_22,HRANILNICA LON D.D. KRANJ,HLONSI22,Slovenia,60
__import__res_bank_23,HRANILNICA IN POSOJILNICA VIPAVA D.D.,HKVISI22,Slovenia,64
__import__res_bank_24,KDD-KLIRINŠKO DEPOTNA DRUŽBA D.D.,KDDSSI22,Slovenia,79
