col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57
11,Norma Fisher,,True,1,"894 Davis Union
Stewartbury, HI 25324",,,single,,,,Sheltonmouth,,,,,,,,,,,,other,,,,,,,0,,,,,,,2,6,Marketing and Community Manager,1,(916)-264-7362,,snyderjose@yahoo.com,"Building 1, Second Floor",11,1,1.0,1.0,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
12,Jorge Sullivan,,True,1,"471 Erika Curve
North Megan, UT 71358",,,single,,,,Boltonborough,,,,,,,,,,,,other,,,,,,,0,,,,,,,1,5,Human Resources Manager,1,(360)-694-7266,,dpatrick@gmail.com,"Building 1, Second Floor",12,1,1.0,1.0,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
2,Elizabeth Woods,,True,1,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",,,single,,,,North Matthew,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,2,Chief Technical Officer,1,(376)-310-7863,,justingreer@mcmahon.biz,"Building 1, Second Floor",2,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
13,Susan Wagner,,True,1,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",,,single,,,,Lisaton,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,4,Experienced Developer,1,(350)-912-1201,,mwu@miller.com,"Building 1, Second Floor",13,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
14,Peter Montgomery,,True,1,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",,,single,,,,Port Jonathan,,,,,,,,,,,,other,,,,,,,0,,,,,,,3,4,Experienced Developer,1,(114)-262-1607,,carrpaul@gmail.com,"Building 1, Second Floor",14,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
15,Theodore Mcgrath,,True,1,"87091 Gonzalez Knolls
Masseyshire, UT 88665",,,single,,,,Port Nicholas,,,,,,,,,,,,other,,,,,,,0,,,,,,,5,3,Consultant,1,(883)-331-5378,,bosborne@george.com,"Building 1, Second Floor",15,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
16,Stephanie Collins,,True,1,"225 Wilson Mills
North Thomas, OK 67164",,,single,,,,Jenniferfort,,,,,,,,,,,,other,,,,,,,0,,,,,,,2,6,Marketing and Community Manager,1,(206)-267-3735,,james71@bishop.org,"Building 1, Second Floor",16,1,,,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
1,Stephanie Sutton,2.0,True,1,"PSC 5642, Box 8071
APO AA 97365",,,single,,,,Port Christopherton,,,,,,,,,,,,other,,,,,,,0,,,,,,,3,1,Chief Executive Officer,3,(237)-125-2389,,montesjennifer@yahoo.com,"Building 1, Second Floor",1,1,,,1,2020-10-20 02:25:45,1,2020-11-25 03:08:30,100.0,,,
3,Brian Hamilton,,True,1,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",,,single,,,,East Davidport,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,4,Experienced Developer,1,(538)-497-4804,(538)-672-3185,vlloyd@lucero.com,"Building 1, Second Floor",3,1,2.0,2.0,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
4,Susan Levy,,True,1,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",,,single,,,,Port Meganmouth,,,,,,,,,,,,other,,,,,,,0,,,,,,,3,4,Experienced Developer,1,(450)-719-4182,,wwallace@gibson.com,"Building 1, Second Floor",4,1,2.0,2.0,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
5,Sean Green,,True,1,"75470 Lopez Roads
Port Jessicatown, TX 55221",,,single,,,,Port Eduardo,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,4,Experienced Developer,1,(332)-775-6660,,tuckerrachel@estrada.com,"Building 1, Second Floor",5,1,2.0,2.0,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
6,Kimberly Smith,,True,1,"08913 Charlene Flat
Joshuaburgh, NJ 52496",,,single,,,,Schmitthaven,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,4,Experienced Developer,1,(157)-363-8229,,sonia26@hotmail.com,"Building 1, Second Floor",6,1,2.0,2.0,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
8,Jennifer Summers,,True,1,"7142 Wilson Drives
Melissaton, IL 89760",,,single,,,,Santanahaven,,,,,,,,,,,,other,,,,,,,0,,,,,,,4,4,Experienced Developer,1,(449)-505-5146,,wallsrobert@gmail.com,"Building 1, Second Floor",8,1,2.0,2.0,1,2020-10-20 02:25:45,1,2020-10-20 02:25:45,0.0,,,
