col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35
EL,,,,Norma Fisher,,"48418 Olsen Plains Apt. 989
Seanfurt, OK 32234",,,22335,,,,,,,,,,,,,,,,"213 Gray Plains
North Vanessa, FL 74413",,,,,,,,,,
EL,,,,Jorge Sullivan,,"09471 Erika Curve
North Megan, UT 71358",,,57022,,,,,,,,,,,,,,,,"757 Reid Well Apt. 893
West Janicemouth, MD 05149",,,,,,,,,,
EL,,,,Elizabeth Woods,,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",,,25659,,,,,,,,,,,,,,,,"269 Robbins Valley Suite 118
North Jeffreyton, AL 59298",,,,,,,,,,
EL,,,,Susan Wagner,,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",Kabul,,47492,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"75868 Audrey Springs
Lake Ronaldborough, ND 78962",,,Fazel Rahim Farid,,http://www.bis.doc.gov/entities/default.htm,,,,,
EL,,,,Peter Montgomery,,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",Kabul,,15575,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"9930 Joy Hollow Suite 517
Sherriport, MT 50853",,,Farid,,http://www.bis.doc.gov/entities/default.htm,,,,,
EL,,,,Theodore Mcgrath,,"87091 Gonzalez Knolls
Masseyshire, UT 88665",Kabul,,08870,Afghanistan,76 FR 71867,11/21/2011,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"23450 Timothy Divide
Wuland, UT 20341",,,Engineer Idris,,http://www.bis.doc.gov/entities/default.htm,,,,,
EL,,,,Stephanie Collins,,"225 Wilson Mills
North Thomas, OK 67164",Kabul,,92514,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",,,,,http://www.bis.doc.gov/entities/default.htm,,,,,
EL,,,,Stephanie Sutton,,"PSC 5642, Box 8071
APO AA 97365",Kabul,,04121,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"1097 Santos Springs Suite 264
New Michelleborough, WY 51884",,,,,http://www.bis.doc.gov/entities/default.htm,,,,,
EL,,,,Brian Hamilton,,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",Kabul,,69420,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"5100 Scott Burg
East Clayton, SC 66353",,,,,http://www.bis.doc.gov/entities/default.htm,,,,,
EL,,,,Susan Levy,,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",Tarin Cot City,,59694,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"412 Snow Manors Apt. 161
South Kimtown, NV 57004",,,,,http://www.bis.doc.gov/entities/default.htm,,,,,
EL,,,,Sean Green,,"75470 Lopez Roads
Port Jessicatown, TX 55221",Gardez,,99124,Afghanistan,77 FR 25055,4/27/2012,,,For all items subject to the EAR. (See §744.11 of the EAR).,Presumption of denial.,,,,,,,,,"5415 David Square
West Michaeltown, IN 48447",,,,,http://www.bis.doc.gov/entities/default.htm,,,,,
