col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
ENCFF248JTU,ENCSR810WXH,ENCFF542UKZ,2,TOE1,MCF-7,Michael Snyder,no,moderate,moderate,mild,no,GRCh38,both
ENCFF524GMH,ENCSR810WXH,ENCFF542UKZ,1,TOE1,MCF-7,Michael Snyder,no,moderate,moderate,mild,no,GRCh38,both
ENCFF793MBH,ENCSR294JWV,ENCFF340TTL,2,ZFP36,A549,Michael Snyder,no,good,good,good,no,GRCh38,both
ENCFF852FET,ENCSR294JWV,ENCFF340TTL,3,ZFP36,A549,Michael Snyder,no,good,good,good,no,GRCh38,both
ENCFF706HJC,ENCSR920BLG,ENCFF446MUL,1,SIN3A,K562,Michael Snyder,no,moderate,moderate,moderate,yes,GRCh38,both
ENCFF900RPG,ENCSR920BLG,ENCFF446MUL,2,SIN3A,K562,Michael Snyder,no,moderate,moderate,moderate,yes,GRCh38,both
ENCFF953GCB,ENCSR953DVM,ENCFF723YBP,1,E2F8,K562,Michael Snyder,no,good,mild,mild,no,GRCh38,both
ENCFF034WKA,ENCSR953DVM,ENCFF723YBP,2,E2F8,K562,Michael Snyder,no,good,mild,mild,no,GRCh38,both
ENCFF732ZCF,ENCSR085QEV,ENCFF023PLP,1,NBN,K562,Michael Snyder,no,good,mild,mild,no,GRCh38,both
ENCFF106JJJ,ENCSR085QEV,ENCFF023PLP,2,NBN,K562,Michael Snyder,no,good,mild,mild,no,GRCh38,both
ENCFF262DXP,ENCSR193NSH,,1,RAD21,A549,Tim Reddy,unknown,good,good,good,no,GRCh38,GRCh38
ENCFF086MAL,ENCSR193NSH,,2,RAD21,A549,Tim Reddy,unknown,good,good,good,no,GRCh38,GRCh38
ENCFF873CGO,ENCSR150EFU,,1,SMC3,A549,Tim Reddy,unknown,good,good,good,no,GRCh38,GRCh38
ENCFF772VSQ,ENCSR150EFU,,2,SMC3,A549,Tim Reddy,unknown,good,good,good,no,GRCh38,GRCh38
ENCFF342CGZ,ENCSR150EFU,,3,SMC3,A549,Tim Reddy,unknown,good,good,good,no,GRCh38,GRCh38
ENCFF807KJE,ENCSR000BRU,,1,FOXM1,GM12878,Richard Myers,no,moderate,mild,mild,yes,GRCh38,both
ENCFF839ARD,ENCSR000BRU,,2,FOXM1,GM12878,Richard Myers,no,moderate,mild,mild,yes,GRCh38,both
ENCFF616RGW,ENCSR000BGI,ENCFF310XNW,1,USF1,GM12878,Richard Myers,no,moderate,mild,mild,no,GRCh38,both
ENCFF898NMW,ENCSR000BGI,ENCFF310XNW,2,USF1,GM12878,Richard Myers,no,moderate,mild,mild,no,GRCh38,both
ENCFF519TWC,ENCSR000BNO,,1,CTCF,T47D,Richard Myers,no,moderate,moderate,mild,yes,GRCh38,both
ENCFF619FIE,ENCSR000BNO,,2,CTCF,T47D,Richard Myers,no,moderate,,,no,GRCh38,both
ENCFF061DUL,ENCSR286PCG,ENCFF619KWZ,1,ZBED1,K562,Richard Myers,no,good,good,good,yes,GRCh38,both
ENCFF061RFH,ENCSR286PCG,ENCFF619KWZ,2,ZBED1,K562,Richard Myers,no,good,good,good,yes,GRCh38,both
ENCFF000PGN,ENCSR000BVL,ENCFF000PGL,1,CREB1,HepG2,Richard Myers,unknown,good,,,no,hg19,hg19
ENCFF000PGO,ENCSR000BVL,ENCFF000PGM,2,CREB1,HepG2,Richard Myers,unknown,good,,,no,hg19,hg19
ENCFF280WMP,ENCSR000FBC,ENCFF702EGB,1,STAT2,K562,Sherman Weissman,no,good,good,good,yes,GRCh38,both
ENCFF693OEL,ENCSR000FBC,ENCFF702EGB,2,STAT2,K562,Sherman Weissman,no,good,good,good,yes,GRCh38,both
ENCFF877JAH,ENCSR000FAZ,ENCFF695KNI,1,MYC,K562,Sherman Weissman,no,good,good,good,yes,GRCh38,both
ENCFF701IFH,ENCSR000FAZ,ENCFF695KNI,2,MYC,K562,Sherman Weissman,no,good,good,good,yes,GRCh38,both
ENCFF774XWQ,ENCSR000EZW,ENCFF673OJN,1,JUN,K562,Sherman Weissman,no,good,good,good,yes,GRCh38,both
ENCFF581CGZ,ENCSR000EZW,ENCFF673OJN,2,JUN,K562,Sherman Weissman,no,good,good,good,yes,GRCh38,both
ENCFF000XLK,ENCSR000EZK,ENCFF265EAO,1,STAT1,HeLa-S3,Sherman Weissman,unknown,good,good,good,yes,hg19,hg19
ENCFF000XLL,ENCSR000EZK,ENCFF265EAO,2,STAT1,HeLa-S3,Sherman Weissman,unknown,good,good,good,yes,hg19,hg19
ENCFF629GVZ,ENCSR945NSF,ENCFF057DYX,1,PCBP2,HepG2,Xiang-Dong Fu,no,poor,severe,severe,yes,GRCh38,both
ENCFF616NXH,ENCSR945NSF,ENCFF057DYX,2,PCBP2,HepG2,Xiang-Dong Fu,no,poor,severe,severe,yes,GRCh38,both
ENCFF221QCF,ENCSR519QAA,ENCFF463MRT,1,HNRNPK,HepG2,Xiang-Dong Fu,no,poor,severe,severe,yes,GRCh38,both
ENCFF921UWK,ENCSR519QAA,ENCFF463MRT,2,HNRNPK,HepG2,Xiang-Dong Fu,no,poor,severe,severe,yes,GRCh38,both
ENCFF188YBS,ENCSR051DXE,ENCFF500ARI,1,FUS,K562,Xiang-Dong Fu,no,good,good,good,yes,GRCh38,both
ENCFF826ECD,ENCSR051DXE,ENCFF500ARI,2,FUS,K562,Xiang-Dong Fu,no,good,good,good,yes,GRCh38,both
ENCFF822ESO,ENCSR000DON,ENCFF059ELL,1,FOS,MCF-10A,Kevin Struhl,no,moderate,moderate,mild,yes,GRCh38,both
ENCFF155YHS,ENCSR000DON,ENCFF059ELL,2,FOS,MCF-10A,Kevin Struhl,no,moderate,,,no,GRCh38,both
ENCFF369TPH,ENCSR000DNQ,ENCFF183SZO,1,ZZZ3,GM12878,Kevin Struhl,no,good,good,good,yes,GRCh38,both
ENCFF038NOW,ENCSR000DNQ,ENCFF183SZO,2,ZZZ3,GM12878,Kevin Struhl,no,good,good,good,yes,GRCh38,both
ENCFF693TLQ,ENCSR000DNN,ENCFF788ZBI,1,NFYA,GM12878,Kevin Struhl,no,good,mild,mild,yes,GRCh38,both
ENCFF743AGP,ENCSR000DNN,ENCFF788ZBI,2,NFYA,GM12878,Kevin Struhl,no,good,mild,mild,yes,GRCh38,both
ENCFF000YZD,ENCSR000DOH,ENCFF144SVY,1,SIRT6,K562,Kevin Struhl,unknown,good,good,good,yes,hg19,hg19
ENCFF000YZE,ENCSR000DOH,ENCFF144SVY,2,SIRT6,K562,Kevin Struhl,unknown,good,good,good,yes,hg19,hg19
ENCFF000XOF,ENCSR000DNT,ENCFF038KMV,1,ZZZ3,HeLa-S3,Kevin Struhl,unknown,good,good,good,yes,hg19,hg19
ENCFF000XOH,ENCSR000DNT,ENCFF038KMV,2,ZZZ3,HeLa-S3,Kevin Struhl,unknown,good,good,good,yes,hg19,hg19
ENCFF817LMJ,ENCSR892DRK,ENCFF458FNC,1,REST,A549,Bradley Bernstein,no,moderate,moderate,mild,yes,GRCh38,both
ENCFF559SXA,ENCSR892DRK,ENCFF458FNC,2,REST,A549,Bradley Bernstein,no,moderate,moderate,mild,yes,GRCh38,both
ENCFF211TQG,ENCSR000AOA,ENCFF349SPV,1,CTCF,HeLa-S3,Bradley Bernstein,no,moderate,mild,mild,yes,GRCh38,both
ENCFF046FAF,ENCSR000AOA,ENCFF349SPV,2,CTCF,HeLa-S3,Bradley Bernstein,no,moderate,,,no,GRCh38,both
ENCFF226SIV,ENCSR549NPZ,ENCFF452WYE,1,CBX3,GM12878,Bradley Bernstein,no,good,good,good,yes,GRCh38,both
ENCFF045BQI,ENCSR549NPZ,ENCFF452WYE,2,CBX3,GM12878,Bradley Bernstein,no,good,good,good,yes,GRCh38,both
ENCFF919IIQ,ENCSR384LYW,ENCFF635YAT,1,EZH2,,Bradley Bernstein,no,good,mild,mild,yes,GRCh38,both
ENCFF900VKF,ENCSR384LYW,ENCFF635YAT,2,EZH2,,Bradley Bernstein,no,good,mild,mild,yes,GRCh38,both
ENCFF880WAM,ENCSR000DSZ,ENCFF161ALY,1,CTCF,HAc,John Stamatoyannopoulos,no,moderate,mild,mild,yes,GRCh38,both
ENCFF723TFB,ENCSR000DSZ,ENCFF161ALY,2,CTCF,HAc,John Stamatoyannopoulos,no,moderate,,,no,GRCh38,both
ENCFF757VQN,ENCSR000EXZ,ENCFF927ROY,1,GATA3,SH-SY5Y,Peggy Farnham,no,moderate,mild,mild,yes,GRCh38,both
ENCFF248TCM,ENCSR000EXZ,ENCFF927ROY,2,GATA3,SH-SY5Y,Peggy Farnham,no,moderate,mild,mild,yes,GRCh38,both
ENCFF751NUI,ENCSR000EUZ,ENCFF197HIT,1,TRIM28,HEK293,Peggy Farnham,no,good,good,good,yes,GRCh38,both
ENCFF005BXI,ENCSR000EUZ,ENCFF197HIT,2,TRIM28,HEK293,Peggy Farnham,no,good,good,good,yes,GRCh38,both
ENCFF568ZAY,ENCSR000EVX,ENCFF558APS,1,ZNF274,K562,Peggy Farnham,no,moderate,moderate,moderate,yes,GRCh38,both
ENCFF587ARB,ENCSR000EVX,ENCFF558APS,2,ZNF274,K562,Peggy Farnham,no,moderate,moderate,moderate,yes,GRCh38,both
ENCFF701DUO,ENCSR000EWI,ENCFF910AUJ,1,SETDB1,K562,Peggy Farnham,no,good,good,good,yes,GRCh38,both
ENCFF534VEA,ENCSR000EWI,ENCFF910AUJ,2,SETDB1,K562,Peggy Farnham,no,good,good,good,yes,GRCh38,both
ENCFF429NUZ,ENCSR000DNI,ENCFF720CRM,1,CTCF,,Vishwanath Iyer,no,moderate,,,no,GRCh38,both
ENCFF337IBI,ENCSR000DNI,ENCFF720CRM,2,CTCF,,Vishwanath Iyer,no,moderate,moderate,mild,yes,GRCh38,both
ENCFF861CNC,ENCSR000DKR,ENCFF892KUY,1,CTCF,GM10266,Vishwanath Iyer,no,good,,,no,GRCh38,both
ENCFF506MFX,ENCSR000DKR,ENCFF892KUY,2,CTCF,GM10266,Vishwanath Iyer,no,good,mild,mild,yes,GRCh38,both
ENCFF861AUH,ENCSR000DMN,ENCFF542JWQ.,1,POLR2A,MCF-7,Vishwanath Iyer,no,moderate,,,no,GRCh38,both
ENCFF272NAY,ENCSR000DMN,ENCFF542JWQ.,2,POLR2A,MCF-7,Vishwanath Iyer,no,moderate,,,no,GRCh38,both
