col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69
1101,Norma Fisher,,,,Norma Fisher,Norma Fisher,"513 John Divide
Davismouth, NY 64632",(652) 828-9297,"9097 Bowman Landing Apt. 369
Alanberg, MA 44739",4/12/1982,2.0,3.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,183.0,84.0,,2.0,(236) 615-9756,1.0,Kimberly Simonis,"213 Ardith Hollow Suite 668  Cassinberg, CA 64757-8776",(423) 229-3351,1.0,2.0,44.10804352,0.905590154,1.130718536,208.4397503,313.5308268,2.0,,,,,,,,,,,
1101,Jorge Sullivan,,,,Jorge Sullivan,Jorge Sullivan,"185 Tamara Rapids Suite 719
Stewartbury, HI 25324",,"9004 Edward Prairie
Michaelside, LA 15560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,0.0,2.0,,,,,,
1101,Elizabeth Woods,,,,Elizabeth Woods,Elizabeth Woods,"471 Erika Curve
North Megan, UT 71358",,"42814 Houston Hills
Rodriguezside, NJ 62629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.16145643,0.909367176,1.147095256,210.2890319,305.4258863,2.0,2.0,5.0,1.0,1.0,2.0,,,,,,
1101,Susan Wagner,,,,Susan Wagner,Susan Wagner,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",,"71760 Rogers Spur Apt. 296
North Lindseyborough, IN 08516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,0.0,1.0,2.0,,,,,,
1101,Peter Montgomery,,,,Peter Montgomery,Peter Montgomery,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",,"8847 Kramer Station
South Christopher, KS 77208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.42103126,1.117378629,1.147546869,210.9967237,314.8667952,2.0,2.0,4.0,0.0,1.0,2.0,,,,,,
1101,Theodore Mcgrath,,,,Theodore Mcgrath,Theodore Mcgrath,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",,"51108 Goodwin Flats Apt. 764
Lake Bobby, IL 82213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.81735205,1.055993021,1.163357881,207.5298193,327.9040344,2.0,2.0,4.0,0.0,1.0,2.0,,1.0,,4/1/2017,,2.0
1102,Stephanie Collins,,,,Stephanie Collins,Stephanie Collins,"87091 Gonzalez Knolls
Masseyshire, UT 88665",(615) 584-9448,"6582 Vanessa Oval
New Richard, NE 68819",01/07/1984,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,180.0,75.0,,2.0,(732) 226-7557,1.0,Neva Waters,"38525 Will Curve Apt. 056  East Damonchester, AR 19092-7687",(385) 332-3168,1.0,2.0,18.99792033,0.749608868,1.119330625,253.4988748,203.0583796,2.0,,,,,,,,,,,
1102,Stephanie Sutton,,,,Stephanie Sutton,Stephanie Sutton,"225 Wilson Mills
North Thomas, OK 67164",,"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,0.0,2.0,,,,,,
1102,Brian Hamilton,,,,Brian Hamilton,Brian Hamilton,"PSC 5642, Box 8071
APO AA 97365",,"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35155298,0.668983418,1.128992945,253.6328777,199.9033958,2.0,0.0,5.0,1.0,0.0,2.0,,,,,,
1102,Susan Levy,,,,Susan Levy,Susan Levy,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",,"891 Bullock Ford
Amandachester, NJ 51431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,1.0,2.0,,,,,,
1102,Sean Green,,,,Sean Green,Sean Green,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",,"02489 Cook Park
Sherriport, MT 50853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.70980631,0.63721188,1.126365851,255.3290259,197.6129068,2.0,0.0,5.0,1.0,1.0,2.0,,,,,,
1102,Kimberly Smith,,,,Kimberly Smith,Kimberly Smith,"75470 Lopez Roads
Port Jessicatown, TX 55221",,"23450 Timothy Divide
Wuland, UT 20341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,1.0,2.0,,,,,,
