col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
393,292808,,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,", ",,,,,,0,717444.26,743679.78,,,,,
732,2201413,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,80700,MISCELLANEOUS,"CRECHE (PURPOSE BUILT), -",0 BALGRIFFIN PARK,DUBLIN,CO. DUBLIN,,,0,721552.38,741304.74,0,CRECHE,316.92,150.0,47538.0
233,357833,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,12000,MISCELLANEOUS,"CRECHE (RETAIL), -",1 CRONANS VIEW (SWORDS),DUBLIN,CO. DUBLIN,,,0,716905.5,746953.71,0,RETAIL ZONE C,3.93,62.5,245.625
686,1031469,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,14610,MISCELLANEOUS,"KENNELS, -",0 RIVER ROAD,DUBLIN,CO. DUBLIN,,,0,710527.33,737515.57,0,WORKSHOP,281.6,45.0,12672.0
535,305464,,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,", ",,,,,,0,716802.67,743633.55,,,,,
570,5011391,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,59200,MISCELLANEOUS,"CRECHE (PURPOSE BUILT), -",16 RED ARCHES AVENUE,THE COAST,BALDOYLE,DUBLIN 13,,0,723579.3,740653.72,1,CRECHE,171.0,105.0,17955.0
284,2184250,29/08/2006,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,"SCHOOL, -",First & Second Floor,"Unit 7, The Plaza",Forster Way,Swords,Co Dublin ,0,718200.13,746689.38,2,CANTEEN,17.06,0.0,0.0
306,2192307,07/07/2010,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,"MONTESSORI, -","Unit 18 Northwest Business Park,",Blanchardstown,Dublin 15.,,,0,709574.98,741372.66,0,,0.0,0.0,0.0
569,5011391,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,59200,MISCELLANEOUS,"CRECHE (PURPOSE BUILT), -",16 RED ARCHES AVENUE,THE COAST,BALDOYLE,DUBLIN 13,,0,723579.3,740653.72,0,CRECHE,275.0,150.0,41250.0
129,2164344,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,145000,MISCELLANEOUS,"CAR PARK (MULTISTOREY), -",FORSTER WAY,THE PLAZA,SWORDS,CO. DUBLIN,,0,718193.18,746654.52,0,CAR SPACES (NO. OF),290.0,500.0,145000.0
372,361302,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,24800,MISCELLANEOUS,"CAR PARK (SURFACE), -",NORTH STREET (SWORDS),DUBLIN,CO. DUBLIN,,,0,718311.07,747013.62,0,CAR SPACES (NO. OF),92.0,270.0,24840.0
542,318556,,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,", ",,,,,,0,714835.97,742365.48,,,,,
241,2180688,31/12/2009,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,"MONTESSORI, -","Nutstown,","Oldtown,",Co Dublin.,,,0,709396.11,756123.83,0,CRECHE,23.35,0.0,0.0
555,348156,31/12/2009,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,"MONTESSORI, -","52 Island View,","Coast Road,","Malahide,",Co. Dublin.,,0,723427.85,745962.58,0,CRECHE,32.52,0.0,0.0
416,305467,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,7660,MISCELLANEOUS,"ADVERTISING STATION, SHEET 48",FLOOR(S) ID 09088/09089 ETC,COLLINSTOWN CROSS (CLOGHRAN),DUBLIN,CO. DUBLIN,,0,717033.29,742160.75,G4,SHEET 48 ADD ON,2.0,80.0,160.0
246,5002245,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,6300,MISCELLANEOUS,"ADVERTISING STATION, -",FLOOR(S) ID NO 31439 ETC,BALBRIGGAN RAILWAY STATION RAILWAY STREET,DUBLIN,CO. DUBLIN,,0,720280.39,763969.04,0,SHEET 6 ADD ON,6.0,50.0,300.0
84,272931,17/09/2019,DUBLIN,FINGAL COUNTY COUNCIL,321000,MISCELLANEOUS,"ADVERTISING STATION, -",SUNDRY TOWNLANDS,DUBLIN,CO. DUBLIN,,,0,719910.28,761247.91,0,SHEET 6 ADD ON,306.0,50.0,15300.0
778,317800,08/11/2000,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,"TOLLS, -",,,,,,0,0.0,0.0,,,,,
682,482727,21/10/1993,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,"CEMETERY OR CREMATORIUM, -",,,,,,0,0.0,0.0,,,,,
35,2151459,15/10/2018,DUBLIN,FINGAL COUNTY COUNCIL,0,MISCELLANEOUS,"PLACE OF WORSHIP, -",THE MEETING HALL,RATHBEALE ROAD,SWORDS,CO DUBLIN,,0,716550.54,748129.05,1,OFFICE(S),89.97,0.0,0.0
