col0,col1,col2,col3
Koppinger,Loren,Old Forge,PA
Springe,Larae,Houma,LA
Beech,Shawna,Thousand Oaks,CA
Inouye,Eric,Chicago,IL
Husser,Jess,New York,NY
Denooyer,Carey,Indianapolis,IN
Kohnert,Joanna,Lake Worth,FL
Brossart,Maryann,Albany,NY
Ehmann,John,Portland,OR
Batman,Clara,Port Jervis,NY
Boulter,Alaine,Yonkers,NY
Duenas,Delisa,Newark,NJ
Tomblin,Gail,Thousand Palms,CA
Ragel,Kaitlyn,Baltimore,MD
Royster,Alecia,Wichita Falls,TX
Zagen,Franklyn,Philadelphia,PA
Comnick,Laurel,Baltimore,MD
Grenet,Blake,Providence,RI
Crupi,Kimberly,Hays,KS
Gleich,Irma,Randolph,NJ
Kippley,Dorothy,Boise,ID
Hoopengardner,Gwenn,Deer Park,NY
Suell,Brett,La Mesa,CA
Kohl,Staci,Pasadena,CA
Karpin,Lashawnda,Toledo,OH
Drymon,Galen,Brook Park,OH
Asar,Nancy,Greensboro,NC
Cronauer,Johnetta,Chapel Hill,NC
Klonowski,Darlene,Philadelphia,PA
Rodeigues,Caitlin,Johnston,RI
Berray,Lenna,Raleigh,NC
Caldarera,Daren,Milwaukee,WI
Demesa,Cecilia,Austin,TX
Mulqueen,Kristofer,Bloomington,IN
Ferrario,Roxane,Fairbanks,AK
Setter,Chaya,Ann Arbor,MI
Ogg,Herman,Troy,NY
Buzick,Herminia,Scottsdale,AZ
Cantres,Jennie,Scranton,PA
Schmaltz,Elizabeth,Gardena,CA
Zepp,Nieves,Portland,OR
Hidvegi,Timothy,Staten Island,NY
Melnyk,Ozell,New York,NY
Liukko,Billye,Pearl,MS
Herritt,Kristen,Arlington,TX
Figeroa,Fannie,Round Rock,TX
Loder,Sylvia,Hampstead,MD
Abdallah,Louisa,San Leandro,CA
Pinilla,Kate,Green Bay,WI
Gibes,Carmela,Chicago,IL
Keneipp,Ashlyn,Opa Locka,FL
Funnell,Sylvie,Tulsa,OK
Brucato,Heike,Little Falls,NJ
Theodorov,Tracey,Conroe,TX
Parlato,Lenna,Anchorage,AK
Vanausdal,Carin,Little Rock,AR
Sweigard,Oretha,Boston,MA
Bourbon,Leonida,Biloxi,MS
Wolfgramm,Catarina,Denville,NJ
Poullion,Leatha,Dallas,TX
Nicolozakes,France,Brooklyn,NY
Modzelewski,Kerry,Sacramento,CA
Villanueva,Cammy,Laredo,TX
Pugh,Kenneth,East Lansing,MI
Reitler,Leota,Trion,GA
Albares,Josphine,Moss,TN
Julia,Terrilyn,New Orleans,LA
Baltimore,Alpha,Cherry Hill,NJ
Bubash,Stephen,Akron,OH
Munis,Carlee,Abilene,KS
Tjepkema,Dierdre,Philadelphia,PA
Felger,Kristel,El Paso,TX
Gellinger,Tawna,New York,NY
Gobern,Yolanda,Syracuse,NY
Chesterfield,Sherita,Colorado Springs,CO
Kitzman,Alex,Tacoma,WA
Feichtner,Sharon,Syosset,NY
Ryser,Paris,Atlanta,GA
Blackwood,Nichelle,Chicago,IL
Westerbeck,Fletcher,Rockford,IL
Nievas,Veronika,San Jose,CA
Sweely,Weldon,Arlington Heights,IL
Halsey,Lili,Kearny,NJ
Saras,Dorothy,San Diego,CA
Dopico,Haydee,New York,NY
Similton,Karen,Beaverton,OR
Emigh,Donte,Worcester,MA
Mconnell,Chanel,Shawnee,KS
Aquas,Ahmed,Harrisburg,PA
Wide,Ellie,Utica,NY
Maile,Ligia,Lansing,MI
Flosi,Stevie,Costa Mesa,CA
Berganza,Winfred,Moscow,ID
Ohms,Iluminada,Mesa,AZ
Dorshorst,Dick,Gardena,CA
Gotter,Vincenza,El Cajon,CA
Canlas,Tegan,Monroe Township,NJ
Burnard,Jovita,Daytona Beach,FL
Jayson,Daniela,Trenton,NJ
Angalich,Judy,Niles,MI
Deleo,Jamal,Monroe Township,NJ
Palaia,Aliza,San Jose,CA
Scheyer,Sabra,Columbia,SC
Campain,Justine,Pomona,CA
Pelkowski,Vallie,Boise,ID
Chaffins,Selma,Jersey City,NJ
Limmel,Dulce,Rochester,MI
Discipio,Annmarie,Conroe,TX
Acuff,Kirk,Vestal,NY
Dhamer,Rosio,High Point,NC
Lary,Norah,San Francisco,CA
Miro,Gilma,Garden City,NY
Corrio,Chantell,Saint Paul,MN
Menter,Mozell,South San Francisco,CA
Sarao,Donette,Hamilton,OH
Gudroe,Layla,New York,NY
Maynerich,Ammie,Columbus,OH
Bevelacqua,Dyan,Overland Park,KS
Buemi,Lezlie,Smithfield,NC
Loader,Louvenia,Beverly Hills,CA
Paa,Tiffiny,Miami,FL
Patak,Vilma,Grand Rapids,MI
Oles,Lauran,Riverton,WY
Turinetti,Ceola,Warren,ME
Schoeneck,Karl,Flemington,NJ
Korando,Quentin,Milan,MI
Uyetake,Andra,Salem,OR
